NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 101015,'L.Belozernyi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101016,'Zheltosemyannyi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101017,'Baladi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101018,'Giza-4',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101019,'Marokkanskii',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101020,VIR-6493,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101021,Mestnyi Maslichnyi,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101022,Mestnyi Maslichnyi,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101023,Mestnyi Maslichnyi,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101024,1-ol 1(ex V437),Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101025,2-OZ.2,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101026,6 V27-2 (pop.varieta),Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101027,4-381,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101028,Mestnyi,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101029,Safi l1-1-5,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101030,Safi l 4-2-2,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101031,Mestnyi,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101032,L. Komarovii,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101033,VIR 1650,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101034,No. 68,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101035,Braginskij district,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101036,VNIIL-4264,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101037,T-10 mutation,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101038,'Nika',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101039,Svetoch mutation,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101040,VNIIL-743,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101041,VNIIL-230,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101042,B-17 mutant,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101043,'Karnobat-263',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101044,'Tekirdag Nalkara',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101045,VNIIL-4267,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101046,Prochovskij district,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101047,VNIIL-2996,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101048,'Stachanovec',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101049,'Prizyv-81',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101050,'Mocovi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101051,L-93-1,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101052,L-93-2,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101053,L-8709-5-10,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101054,VNIIL-5076,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101055,L-140-16,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101056,4025/15,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101057,VNIIL-999,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101058,No. 422,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101059,'Pskovskij 823/3',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101060,A-8,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101061,L-42-7-1,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101062,VNIIL-2978,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101063,G-5062,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101064,VNIIL-5245,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101065,'Currong',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101066,363-4,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101067,'Querandi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101068,G-4729,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101069,'Astelle',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101070,VNIIL-737,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101071,'Suenaga',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101072,'Millenium',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101073,VNIIL-234,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101074,VNIIL-357,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101075,VNIIL-4798,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101076,VNIIL-3182,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101077,VNIIL-3404,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101078,VNIIL-3931,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101079,VNIIL-213,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101080,VNIIL-212,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101081,VNIIL-5178,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101082,'Jere Parane INTA',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101083,'Krajori',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101084,AP-7,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101085,'Ariane',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101086,'Ariadna',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101087,SV-65-080,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101088,'Bertelin',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101089,'Silva',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101090,A-27 B-1,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101091,'Zhodinskij',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101092,'Kalininski-85',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101093,'Svaloeff',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101094,'Torzhokskij 4',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101095,'Zarija-87',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101096,'Novotorzhskij',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101097,'Tomskij 16',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101098,A-29,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101099,'Aleksim',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101100,'Tomskij 9',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101101,'Tomskij 10',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101102,K-6,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101103,'Dashkovskij',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101104,R-736,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101105,'Orshanskij 72',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101106,'Regina',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101107,Rd 701,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101108,'Fany',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101109,Kmen-C-20,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101110,'Horan',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101111,'Viking',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101112,VNIIL-4820,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101113,D-1444-66,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101114,AR-1,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101115,AR-2,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101116,G-1781-4-18,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101117,4018/9,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101118,B-14,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101119,L-1120,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101120,'Liana',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101121,'Zdiari',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101122,Tammes st 19,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101123,B-15,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101124,Tammes st 18,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101125,VNIIL-459,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101126,VNIIL-375,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101127,G-1847-4-1,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101128,VNIIL-5100,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101129,'Maruc',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101130,VNIIL-1166,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101131,No 3857,Linum usitatissimum L.,,,,,Krasnodar,Russian Federation,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101132,No 3860,Linum usitatissimum L.,,,,,Krasnodar,Russian Federation,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101133,No 3871 (from Krasmodar),Linum usitatissimum L.,,,,,Krasnodar,Russian Federation,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101134,'Orshanskij 2',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101135,'Far East',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101136,'Verchnevolzhkij',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101137,VNIIL-5613,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101138,VNIIL-5592,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101139,VNIIL-5640,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101140,'Querandi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101141,'Currong',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101142,l.7,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101143,'Roja',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101144,Redwing Sel,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101145,'Minnesota',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101146,'Jari Lan br 246',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101147,VIR-7963,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101148,'Jari Lan ogulin Hrvatskc 241',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101149,'Jari Lan br 245',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101150,'Lan proljetni BR 121',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101151,'Smolich',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101152,'Slavny-82',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101153,'Vasilek',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101154,'Belochka',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101155,'Tost',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101156,'Stroitel',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101157,'Rodnik',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101158,'Prometei-95',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101159,B-27,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101160,'Wiko',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101161,'Argon',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101162,'Velizhski krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101163,'Tulski krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101164,'Stokinski krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101165,'Votski krajazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101166,VNIIL-1950,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101167,VNIIL-2860,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101168,'L. Sussex',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101169,'L. Dominion',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101170,CB-PO-5,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101171,'Hermes',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101172,'Belinka',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101173,'Solido',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101174,'Rastatter',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101175,'Fasertreu',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101176,'Azur',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101177,'Herkules',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101178,'Madaras',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101179,'Sortlo',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101180,6104-295,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101181,6503-559,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101182,'Pechorski krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101183,'Zaretski krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101184,'Opochhetski kriazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101185,'Solezki krjazh',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101186,'L. Prince',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101187,VNIIMK,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101188,'Legur',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101189,'Voronezcky-1308',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101190,'Atalaute',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101191,'Barbara',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101192,'Ug.Gegor',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101193,'Flandres',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101194,VNIIL-2797,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101195,'Areco',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101196,'Arangarde',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101197,VNIIL-83,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101198,VNIIL-84,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101199,VNIIL-82,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101200,VNIIL-1404,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101201,VNIIL-1292,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101202,VNIIL-1290,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101203,VNIIL-1294,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101204,'Jari Ian Ogulin Hrvatske 24l',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101205,'Ozimi Lan No.256',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101206,'Siciliane-285',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101207,VNIIL-1175,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101208,'Np-55',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101209,VNIIL-3736,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101210,'Punjab',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101211,Local,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101212,VNIIL-3818,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101213,'Balabi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101214,'Egyptomi',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101215,VNIIL-4143,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101216,'S-MOBL',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101217,Local,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 101218,Local,Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
