NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 40479,PGR 13516,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 32276,PGR 3725,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 39690,HE-4-1,Elymus arizonicus (Scribn. & J. G. Sm.) Gould,,,,,New Mexico,United States,PGRC,Elymus,,,Elymus arizonicus,Elymus arizonicus  
CN 39692,PGR 12663,Elymus caninus (L.) L.,,,,,NA,NA,PGRC,Elymus,,,Elymus caninus,Elymus caninus  
CN 39696,TS-15-1,"Elymus trachycaulus (Link) Gould ex Shinners subsp. latiglumis (Scribn. & J. G. Sm.) Barkworth & D. R. Dewey, nom. inval.",,,,,NA,NA,PGRC,Elymus,subsp.,latiglumis,Elymus trachycaulus,Elymus trachycaulus subsp. latiglumis
CN 39698,GC-73-51,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,,,,,Wyoming,United States,PGRC,Elymus,subsp.,lanceolatus,Elymus lanceolatus,Elymus lanceolatus subsp. lanceolatus
CN 39699,CS-8-41,Elymus scribneri (Vasey) M. E. Jones,,,,,Utah,United States,PGRC,Elymus,,,Elymus scribneri,Elymus scribneri  
CN 40193,PGR 13196,Elymus dahuricus Turcz. ex Griseb.,,,,,Amur,Russian Federation,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 40063,'Karabalykskij 86',Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 40064,'Kamalinskij 185',Elymus trachycaulus (Link) Gould ex Shinners,,,,,Altay,Russian Federation,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 40065,PGR 13057,Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 40066,PGR 13058,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,,,,NA,NA,PGRC,Elymus,subsp.,excelsus,Elymus dahuricus,Elymus dahuricus subsp. excelsus
CN 40067,PGR 13059,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40068,PGR 13060,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40069,PGR 13061,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 40070,PGR 13062,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 38748,189,Elymus repens (L.) Gould subsp. repens,,,,,Trabzon,Turkey,PGRC,Elymus,subsp.,repens,Elymus repens,Elymus repens subsp. repens
CN 103878,RIB0209,Ribes oxyacanthoides L.,51.070358,-113.770527,51.06341933,-114.0853215,Alberta,Canada,CCG,Ribes,,,Ribes oxyacanthoides,Ribes oxyacanthoides  
CN 32724,PGR 4278,Elymus caninus (L.) L.,,,,,NA,NA,PGRC,Elymus,,,Elymus caninus,Elymus caninus  
CN 32972,'Revenue',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,,,,NA,NA,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 31730,PGR 3011,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 32775,PGR 4339,Elymus villosus Muhl. ex Willd.,,,,,NA,NA,PGRC,Elymus,,,Elymus villosus,Elymus villosus  
CN 32776,PGR 4340,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 32368,PGR 3835,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 32840,PGR 4409,Hordelymus europaeus (L.) Harz,,,,,NA,NA,PGRC,Hordelymus,,,Hordelymus europaeus,Hordelymus europaeus  
CN 31614,PGR 2864,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 31615,PGR 2865,Elymus virginicus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus virginicus,Elymus virginicus  
CN 31616,PGR 2866,Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 31644,PGR 2907,Elymus glaucus Buckley,,,,,NA,NA,PGRC,Elymus,,,Elymus glaucus,Elymus glaucus  
CN 32644,PGR 4189,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 32663,PGR 4208,Elymus canadensis L.,,,,,NA,NA,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 32464,PGR 3946,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 18939,'AEC Mountaineer',Elymus trachycaulus (Link) Gould ex Shinners subsp. violaceus (Hornem.) Á. Löve & D. Löve,,,,,NA,NA,PGRC,Elymus,subsp.,violaceus,Elymus trachycaulus,Elymus trachycaulus subsp. violaceus
CN 45952,IB 0717,Elymus tsukushiensis Honda,,,,,NA,NA,PGRC,Elymus,,,Elymus tsukushiensis,Elymus tsukushiensis  
CN 45955,PGR 19959,Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 45956,IB 0272,Elymus nutans Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus nutans,Elymus nutans  
CN 45957,IB 0249,Elymus dahuricus Turcz. ex Griseb. subsp. excelsus (Turcz. ex Griseb.) Tzvelev,,,,,NA,NA,PGRC,Elymus,subsp.,excelsus,Elymus dahuricus,Elymus dahuricus subsp. excelsus
CN 45636,'Duo Ye Lao Mang Mai',Elymus sibiricus L.,,,,,NA,NA,PGRC,Elymus,,,Elymus sibiricus,Elymus sibiricus  
CN 52657,'AEC Highlander',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,,,,NA,NA,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 52658,'AEC Hillcrest',Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,,,,,NA,NA,PGRC,Elymus,subsp.,subsecundus,Elymus trachycaulus,Elymus trachycaulus subsp. subsecundus
CN 104517,,Rosa spp.,51.070358,-113.770527,50.81480142,-113.0098626,Alberta,Canada,CCG,Rosa,,,Rosa spp.,Rosa spp.  
CN 105010,,Astragalus flexuosus (Hook.) Douglas ex G. Don,51.070358,-113.770527,51.16950864,-113.8429251,Alberta,Canada,PGRC,Astragalus,,,Astragalus flexuosus,Astragalus flexuosus  
CN 108589,'Sprig',Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 108590,'Polar',Elymus lanceolatus (Scribn. & J. G. Sm.) Gould,,,,,NA,NA,PGRC,Elymus,,,Elymus lanceolatus,Elymus lanceolatus  
CN 108688,00-2332,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,,,,,NA,NA,PGRC,Elymus,subsp.,subsecundus,Elymus trachycaulus,Elymus trachycaulus subsp. subsecundus
CN 108687,'AC Saltlander',Elymus hoffmannii K. B. Jensen & K. H. Asay,,,,,NA,NA,PGRC,Elymus,,,Elymus hoffmannii,Elymus hoffmannii  
CN 105037,,Glycyrrhiza lepidota Pursh,51.070358,-113.770527,51.25464246,-113.3973068,Alberta,Canada,PGRC,Glycyrrhiza,,,Glycyrrhiza lepidota,Glycyrrhiza lepidota  
CN 108694,Sask Selection 13-6,Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 108695,Manitoba Selction 9-4,Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 108696,Alberta 13-6,Elymus trachycaulus (Link) Gould ex Shinners,,,,,NA,NA,PGRC,Elymus,,,Elymus trachycaulus,Elymus trachycaulus  
CN 108666,'James',Elymus dahuricus Turcz. ex Griseb.,,,,,NA,NA,PGRC,Elymus,,,Elymus dahuricus,Elymus dahuricus  
CN 108661,'Adanac',Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,,,,,NA,NA,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 105043,,Hedysarum alpinum L.,51.070358,-113.770527,51.02737712,-114.0665254,Alberta,Canada,PGRC,Hedysarum,,,Hedysarum alpinum,Hedysarum alpinum  
CN 105044,,Hedysarum alpinum L.,51.070358,-113.770527,51.26480254,-113.3047449,Alberta,Canada,PGRC,Hedysarum,,,Hedysarum alpinum,Hedysarum alpinum  
CN 105046,,Hedysarum alpinum L.,51.070358,-113.770527,51.00786467,-113.7865526,Alberta,Canada,PGRC,Hedysarum,,,Hedysarum alpinum,Hedysarum alpinum  
CN 102240,92-24-96,Fragaria ×vescana Rud. Bauer & A. Bauer,,,,,NA,NA,CCG,Fragaria,,,Fragaria ×vescana,Fragaria ×vescana  
CN 102246,92-55-8,Fragaria ×ananassa Duchesne ex Rozier,,,,,NA,NA,CCG,Fragaria,,,Fragaria ×ananassa,Fragaria ×ananassa  
CN 105171,,Agrostis hyemalis (Walter) Britton et al. var. scabra (Willd.) H. L. Blomq.,51.070358,-113.770527,51.57364506,-114.0979806,Alberta,Canada,PGRC,Agrostis,var.,scabra,Agrostis hyemalis,Agrostis hyemalis var. scabra
CN 107284,,Linum lewisii Pursh,51.070358,-113.770527,50.71092526,-113.8815681,Alberta,Canada,PGRC,Linum,,,Linum lewisii,Linum lewisii  
CN 108901,,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,51.070358,-113.770527,50.91845473,-113.4940519,Alberta,Canada,PGRC,Elymus,subsp.,subsecundus,Elymus trachycaulus,Elymus trachycaulus subsp. subsecundus
CN 108917,,Hedysarum sulphurescens Rydb.,51.070358,-113.770527,50.99055371,-114.0185337,Alberta,Canada,PGRC,Hedysarum,,,Hedysarum sulphurescens,Hedysarum sulphurescens  
CN 108925,,Monarda fistulosa L.,51.070358,-113.770527,51.30242938,-113.4197576,Alberta,Canada,PGRC,Monarda,,,Monarda fistulosa,Monarda fistulosa  
CN 108926,,Monarda fistulosa L.,51.070358,-113.770527,51.02373744,-113.5690324,Alberta,Canada,PGRC,Monarda,,,Monarda fistulosa,Monarda fistulosa  
CN 108930,,Phleum pratense L.,51.070358,-113.770527,51.10516218,-113.5843679,Alberta,Canada,PGRC,Phleum,,,Phleum pratense,Phleum pratense  
CN 27936,CHC 2007,Hordeum brachyantherum Nevski,51.070358,-113.770527,51.36888075,-113.5035241,Alberta,Canada,PGRC,Hordeum,,,Hordeum brachyantherum,Hordeum brachyantherum  
CN 37507,R-25,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,51.070358,-113.770527,51.30079501,-113.9021701,Alberta,Canada,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 37508,R-27,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,51.070358,-113.770527,51.21572066,-113.7738926,Alberta,Canada,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 37509,R-28,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,51.070358,-113.770527,51.24710557,-113.5666873,Alberta,Canada,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
CN 37510,R-29,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,51.070358,-113.770527,51.12252945,-113.9380566,Alberta,Canada,PGRC,Elymus,subsp.,trachycaulus,Elymus trachycaulus,Elymus trachycaulus subsp. trachycaulus
