NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 99052,Native 'BC Collection: Site 28',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99140,Native 'BC Collection: Site 29',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99174,Native 'BC Collection: Site 34',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99207,Native 'BC Collection: Site 34',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99240,Native 'BC Collection: Site 34',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99274,Native 'BC Collection: Site 40',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99307,Native 'BC Collection: Site 40',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99395,Native 'BC Collection: Site 44',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99417,Native 'BC Collection: Site 44',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99450,Native 'BC Collection: Site 44',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99483,Native 'BC Collection: Site 44',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99516,Native 'BC Collection: Site 44',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99549,Native 'BC Collection: Site 45',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99605,Native 'BC Collection: Site 46',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99608,Native 'BC Collection: Site 46',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
