NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 101006,'Vrac 4 AF 627',Linum usitatissimum L.,Morocco,PGRC
CN 101007,VIR-6228,Linum usitatissimum L.,Morocco,PGRC
CN 101008,'Baladi Tall',Linum usitatissimum L.,Morocco,PGRC
CN 101009,VIR-6360,Linum usitatissimum L.,China,PGRC
CN 101010,VIR-6362,Linum usitatissimum L.,China,PGRC
CN 101011,VIR-6367,Linum usitatissimum L.,China,PGRC
CN 101012,'L. Rannii',Linum usitatissimum L.,China,PGRC
CN 101013,'L. Chernyi',Linum usitatissimum L.,China,PGRC
CN 101014,'L. Belyi',Linum usitatissimum L.,China,PGRC
CN 101015,'L.Belozernyi',Linum usitatissimum L.,China,PGRC
CN 101016,'Zheltosemyannyi',Linum usitatissimum L.,China,PGRC
CN 101017,'Baladi',Linum usitatissimum L.,Egypt,PGRC
CN 101018,'Giza-4',Linum usitatissimum L.,Egypt,PGRC
CN 101019,'Marokkanskii',Linum usitatissimum L.,Morocco,PGRC
CN 101020,VIR-6493,Linum usitatissimum L.,,PGRC
CN 101021,Mestnyi Maslichnyi,Linum usitatissimum L.,,PGRC
CN 101022,Mestnyi Maslichnyi,Linum usitatissimum L.,,PGRC
CN 101023,Mestnyi Maslichnyi,Linum usitatissimum L.,,PGRC
CN 101024,1-ol 1(ex V437),Linum usitatissimum L.,Morocco,PGRC
CN 101025,2-OZ.2,Linum usitatissimum L.,Morocco,PGRC
CN 101026,6 V27-2 (pop.varieta),Linum usitatissimum L.,Morocco,PGRC
CN 101027,4-381,Linum usitatissimum L.,Argentina,PGRC
CN 101028,Mestnyi,Linum usitatissimum L.,Tunisia,PGRC
CN 101029,Safi l1-1-5,Linum usitatissimum L.,Morocco,PGRC
CN 101030,Safi l 4-2-2,Linum usitatissimum L.,Morocco,PGRC
CN 101031,Mestnyi,Linum usitatissimum L.,Morocco,PGRC
CN 101032,L. Komarovii,Linum usitatissimum L.,,PGRC
CN 101033,VIR 1650,Linum usitatissimum L.,,PGRC
CN 101034,No. 68,Linum usitatissimum L.,,PGRC
CN 101035,Braginskij district,Linum usitatissimum L.,,PGRC
CN 101036,VNIIL-4264,Linum usitatissimum L.,Argentina,PGRC
CN 101037,T-10 mutation,Linum usitatissimum L.,,PGRC
CN 101038,'Nika',Linum usitatissimum L.,Belarus,PGRC
CN 101039,Svetoch mutation,Linum usitatissimum L.,,PGRC
CN 101040,VNIIL-743,Linum usitatissimum L.,,PGRC
CN 101041,VNIIL-230,Linum usitatissimum L.,,PGRC
CN 101042,B-17 mutant,Linum usitatissimum L.,Lithuania,PGRC
CN 101043,'Karnobat-263',Linum usitatissimum L.,Hungary,PGRC
CN 101044,'Tekirdag Nalkara',Linum usitatissimum L.,Turkey,PGRC
CN 101045,VNIIL-4267,Linum usitatissimum L.,Argentina,PGRC
CN 101046,Prochovskij district,Linum usitatissimum L.,,PGRC
CN 101047,VNIIL-2996,Linum usitatissimum L.,,PGRC
CN 101048,'Stachanovec',Linum usitatissimum L.,,PGRC
CN 101049,'Prizyv-81',Linum usitatissimum L.,Belarus,PGRC
CN 101050,'Mocovi',Linum usitatissimum L.,Argentina,PGRC
CN 101051,L-93-1,Linum usitatissimum L.,China,PGRC
CN 101052,L-93-2,Linum usitatissimum L.,China,PGRC
CN 101053,L-8709-5-10,Linum usitatissimum L.,China,PGRC
CN 101054,VNIIL-5076,Linum usitatissimum L.,,PGRC
CN 101055,L-140-16,Linum usitatissimum L.,,PGRC
CN 101056,4025/15,Linum usitatissimum L.,Ukraine,PGRC
CN 101057,VNIIL-999,Linum usitatissimum L.,Asia,PGRC
CN 101058,No. 422,Linum usitatissimum L.,,PGRC
CN 101059,'Pskovskij 823/3',Linum usitatissimum L.,,PGRC
CN 101060,A-8,Linum usitatissimum L.,Australia,PGRC
CN 101061,L-42-7-1,Linum usitatissimum L.,,PGRC
CN 101062,VNIIL-2978,Linum usitatissimum L.,Lithuania,PGRC
CN 101063,G-5062,Linum usitatissimum L.,Azerbaijan,PGRC
CN 101064,VNIIL-5245,Linum usitatissimum L.,Azerbaijan,PGRC
CN 101065,'Currong',Linum usitatissimum L.,Australia,PGRC
CN 101066,363-4,Linum usitatissimum L.,France,PGRC
CN 101067,'Querandi',Linum usitatissimum L.,Argentina,PGRC
CN 101068,G-4729,Linum usitatissimum L.,,PGRC
CN 101069,'Astelle',Linum usitatissimum L.,France,PGRC
CN 101070,VNIIL-737,Linum usitatissimum L.,,PGRC
CN 101071,'Suenaga',Linum usitatissimum L.,Poland,PGRC
CN 101072,'Millenium',Linum usitatissimum L.,Poland,PGRC
CN 101073,VNIIL-234,Linum usitatissimum L.,,PGRC
CN 101074,VNIIL-357,Linum usitatissimum L.,Belarus,PGRC
CN 101075,VNIIL-4798,Linum usitatissimum L.,Czech Republic,PGRC
CN 101076,VNIIL-3182,Linum usitatissimum L.,Ukraine,PGRC
CN 101077,VNIIL-3404,Linum usitatissimum L.,Estonia,PGRC
CN 101078,VNIIL-3931,Linum usitatissimum L.,,PGRC
CN 101079,VNIIL-213,Linum usitatissimum L.,,PGRC
CN 101080,VNIIL-212,Linum usitatissimum L.,,PGRC
CN 101081,VNIIL-5178,Linum usitatissimum L.,Venezuela,PGRC
CN 101082,'Jere Parane INTA',Linum usitatissimum L.,Argentina,PGRC
CN 101083,'Krajori',Linum usitatissimum L.,Czech Republic,PGRC
CN 101084,AP-7,Linum usitatissimum L.,,PGRC
CN 101085,'Ariane',Linum usitatissimum L.,France,PGRC
CN 101086,'Ariadna',Linum usitatissimum L.,Poland,PGRC
CN 101087,SV-65-080,Linum usitatissimum L.,Poland,PGRC
CN 101088,'Bertelin',Linum usitatissimum L.,Germany,PGRC
CN 101089,'Silva',Linum usitatissimum L.,France,PGRC
CN 101090,A-27 B-1,Linum usitatissimum L.,Belarus,PGRC
CN 101091,'Zhodinskij',Linum usitatissimum L.,Belarus,PGRC
CN 101092,'Kalininski-85',Linum usitatissimum L.,,PGRC
CN 101093,'Svaloeff',Linum usitatissimum L.,Sweden,PGRC
CN 101094,'Torzhokskij 4',Linum usitatissimum L.,,PGRC
CN 101095,'Zarija-87',Linum usitatissimum L.,,PGRC
CN 101096,'Novotorzhskij',Linum usitatissimum L.,,PGRC
CN 101097,'Tomskij 16',Linum usitatissimum L.,,PGRC
CN 101098,A-29,Linum usitatissimum L.,,PGRC
CN 101099,'Aleksim',Linum usitatissimum L.,,PGRC
CN 101100,'Tomskij 9',Linum usitatissimum L.,,PGRC
CN 101101,'Tomskij 10',Linum usitatissimum L.,,PGRC
CN 101102,K-6,Linum usitatissimum L.,,PGRC
CN 101103,'Dashkovskij',Linum usitatissimum L.,Belarus,PGRC
CN 101104,R-736,Linum usitatissimum L.,,PGRC
CN 101105,'Orshanskij 72',Linum usitatissimum L.,Belarus,PGRC
CN 101106,'Regina',Linum usitatissimum L.,Netherlands,PGRC
CN 101107,Rd 701,Linum usitatissimum L.,Czech Republic,PGRC
CN 101108,'Fany',Linum usitatissimum L.,France,PGRC
CN 101109,Kmen-C-20,Linum usitatissimum L.,Czech Republic,PGRC
CN 101110,'Horan',Linum usitatissimum L.,Czech Republic,PGRC
CN 101111,'Viking',Linum usitatissimum L.,France,PGRC
CN 101112,VNIIL-4820,Linum usitatissimum L.,Czech Republic,PGRC
CN 101113,D-1444-66,Linum usitatissimum L.,Ukraine,PGRC
CN 101114,AR-1,Linum usitatissimum L.,,PGRC
CN 101115,AR-2,Linum usitatissimum L.,,PGRC
CN 101116,G-1781-4-18,Linum usitatissimum L.,,PGRC
CN 101117,4018/9,Linum usitatissimum L.,Ukraine,PGRC
CN 101118,B-14,Linum usitatissimum L.,Lithuania,PGRC
CN 101119,L-1120,Linum usitatissimum L.,,PGRC
CN 101120,'Liana',Linum usitatissimum L.,Belarus,PGRC
CN 101121,'Zdiari',Linum usitatissimum L.,Romania,PGRC
CN 101122,Tammes st 19,Linum usitatissimum L.,Netherlands,PGRC
CN 101123,B-15,Linum usitatissimum L.,Lithuania,PGRC
CN 101124,Tammes st 18,Linum usitatissimum L.,Netherlands,PGRC
CN 101125,VNIIL-459,Linum usitatissimum L.,,PGRC
CN 101126,VNIIL-375,Linum usitatissimum L.,,PGRC
CN 101127,G-1847-4-1,Linum usitatissimum L.,,PGRC
CN 101128,VNIIL-5100,Linum usitatissimum L.,United States,PGRC
CN 101129,'Maruc',Linum usitatissimum L.,United States,PGRC
CN 101130,VNIIL-1166,Linum usitatissimum L.,China,PGRC
CN 101131,No 3857,Linum usitatissimum L.,"Krasnodar, Russian Federation",PGRC
CN 101132,No 3860,Linum usitatissimum L.,"Krasnodar, Russian Federation",PGRC
CN 101133,No 3871 (from Krasmodar),Linum usitatissimum L.,"Krasnodar, Russian Federation",PGRC
CN 101134,'Orshanskij 2',Linum usitatissimum L.,,PGRC
CN 101135,'Far East',Linum usitatissimum L.,,PGRC
CN 101136,'Verchnevolzhkij',Linum usitatissimum L.,,PGRC
CN 101137,VNIIL-5613,Linum usitatissimum L.,,PGRC
CN 101138,VNIIL-5592,Linum usitatissimum L.,,PGRC
CN 101139,VNIIL-5640,Linum usitatissimum L.,,PGRC
CN 101140,'Querandi',Linum usitatissimum L.,Argentina,PGRC
CN 101141,'Currong',Linum usitatissimum L.,Argentina,PGRC
CN 101142,l.7,Linum usitatissimum L.,Argentina,PGRC
CN 101143,'Roja',Linum usitatissimum L.,Canada,PGRC
CN 101144,Redwing Sel,Linum usitatissimum L.,United States,PGRC
CN 101145,'Minnesota',Linum usitatissimum L.,United States,PGRC
CN 101146,'Jari Lan br 246',Linum usitatissimum L.,,PGRC
CN 101147,VIR-7963,Linum usitatissimum L.,,PGRC
CN 101148,'Jari Lan ogulin Hrvatskc 241',Linum usitatissimum L.,,PGRC
CN 101149,'Jari Lan br 245',Linum usitatissimum L.,,PGRC
CN 101150,'Lan proljetni BR 121',Linum usitatissimum L.,,PGRC
CN 101151,'Smolich',Linum usitatissimum L.,,PGRC
CN 101152,'Slavny-82',Linum usitatissimum L.,,PGRC
CN 101153,'Vasilek',Linum usitatissimum L.,,PGRC
CN 101154,'Belochka',Linum usitatissimum L.,,PGRC
CN 101155,'Tost',Linum usitatissimum L.,,PGRC
CN 101156,'Stroitel',Linum usitatissimum L.,Belarus,PGRC
CN 101157,'Rodnik',Linum usitatissimum L.,Belarus,PGRC
CN 101158,'Prometei-95',Linum usitatissimum L.,Ukraine,PGRC
CN 101159,B-27,Linum usitatissimum L.,Lithuania,PGRC
CN 101160,'Wiko',Linum usitatissimum L.,Poland,PGRC
CN 101161,'Argon',Linum usitatissimum L.,Czech Republic,PGRC
CN 101162,'Velizhski krjazh',Linum usitatissimum L.,,PGRC
CN 101163,'Tulski krjazh',Linum usitatissimum L.,,PGRC
CN 101164,'Stokinski krjazh',Linum usitatissimum L.,,PGRC
CN 101165,'Votski krajazh',Linum usitatissimum L.,,PGRC
CN 101166,VNIIL-1950,Linum usitatissimum L.,,PGRC
CN 101167,VNIIL-2860,Linum usitatissimum L.,,PGRC
CN 101168,'L. Sussex',Linum usitatissimum L.,Ireland,PGRC
CN 101169,'L. Dominion',Linum usitatissimum L.,Ireland,PGRC
CN 101170,CB-PO-5,Linum usitatissimum L.,Czech Republic,PGRC
CN 101171,'Hermes',Linum usitatissimum L.,France,PGRC
CN 101172,'Belinka',Linum usitatissimum L.,Netherlands,PGRC
CN 101173,'Solido',Linum usitatissimum L.,Netherlands,PGRC
CN 101174,'Rastatter',Linum usitatissimum L.,Germany,PGRC
CN 101175,'Fasertreu',Linum usitatissimum L.,Germany,PGRC
CN 101176,'Azur',Linum usitatissimum L.,Belgium,PGRC
CN 101177,'Herkules',Linum usitatissimum L.,Sweden,PGRC
CN 101178,'Madaras',Linum usitatissimum L.,Romania,PGRC
CN 101179,'Sortlo',Linum usitatissimum L.,China,PGRC
CN 101180,6104-295,Linum usitatissimum L.,China,PGRC
CN 101181,6503-559,Linum usitatissimum L.,China,PGRC
CN 101182,'Pechorski krjazh',Linum usitatissimum L.,,PGRC
CN 101183,'Zaretski krjazh',Linum usitatissimum L.,,PGRC
CN 101184,'Opochhetski kriazh',Linum usitatissimum L.,,PGRC
CN 101185,'Solezki krjazh',Linum usitatissimum L.,,PGRC
CN 101186,'L. Prince',Linum usitatissimum L.,Ireland,PGRC
CN 101187,VNIIMK,Linum usitatissimum L.,,PGRC
CN 101188,'Legur',Linum usitatissimum L.,,PGRC
CN 101189,'Voronezcky-1308',Linum usitatissimum L.,,PGRC
CN 101190,'Atalaute',Linum usitatissimum L.,France,PGRC
CN 101191,'Barbara',Linum usitatissimum L.,Hungary,PGRC
CN 101192,'Ug.Gegor',Linum usitatissimum L.,,PGRC
CN 101193,'Flandres',Linum usitatissimum L.,Canada,PGRC
CN 101194,VNIIL-2797,Linum usitatissimum L.,Georgia,PGRC
CN 101195,'Areco',Linum usitatissimum L.,Argentina,PGRC
CN 101196,'Arangarde',Linum usitatissimum L.,Australia,PGRC
CN 101197,VNIIL-83,Linum usitatissimum L.,,PGRC
CN 101198,VNIIL-84,Linum usitatissimum L.,,PGRC
CN 101199,VNIIL-82,Linum usitatissimum L.,,PGRC
CN 101200,VNIIL-1404,Linum usitatissimum L.,Ukraine,PGRC
CN 101201,VNIIL-1292,Linum usitatissimum L.,Ukraine,PGRC
CN 101202,VNIIL-1290,Linum usitatissimum L.,,PGRC
CN 101203,VNIIL-1294,Linum usitatissimum L.,,PGRC
CN 101204,'Jari Ian Ogulin Hrvatske 24l',Linum usitatissimum L.,,PGRC
CN 101205,'Ozimi Lan No.256',Linum usitatissimum L.,,PGRC
CN 101206,'Siciliane-285',Linum usitatissimum L.,,PGRC
CN 101207,VNIIL-1175,Linum usitatissimum L.,,PGRC
CN 101208,'Np-55',Linum usitatissimum L.,,PGRC
CN 101209,VNIIL-3736,Linum usitatissimum L.,,PGRC
CN 101210,'Punjab',Linum usitatissimum L.,,PGRC
CN 101211,Local,Linum usitatissimum L.,,PGRC
CN 101212,VNIIL-3818,Linum usitatissimum L.,,PGRC
CN 101213,'Balabi',Linum usitatissimum L.,,PGRC
CN 101214,'Egyptomi',Linum usitatissimum L.,,PGRC
CN 101215,VNIIL-4143,Linum usitatissimum L.,,PGRC
CN 101216,'S-MOBL',Linum usitatissimum L.,,PGRC
CN 101217,Local,Linum usitatissimum L.,,PGRC
CN 101218,Local,Linum usitatissimum L.,,PGRC
CN 101219,Local,Linum usitatissimum L.,,PGRC
CN 101220,VNIIL-3866,Linum usitatissimum L.,,PGRC
CN 101221,VNIIL-3867,Linum usitatissimum L.,,PGRC
CN 101222,VNIIL-3872,Linum usitatissimum L.,,PGRC
CN 101223,VNIIL-2791,Linum usitatissimum L.,,PGRC
CN 101224,VNIIL-2793,Linum usitatissimum L.,,PGRC
CN 101225,VNIIL-3744,Linum usitatissimum L.,,PGRC
CN 101226,VNIIL-3745,Linum usitatissimum L.,,PGRC
CN 101227,'Karazygyr',Linum usitatissimum L.,,PGRC
CN 101228,AP 7,Linum usitatissimum L.,,PGRC
CN 101229,VNIIL-5502,Linum usitatissimum L.,China,PGRC
CN 101230,VNIIL-5520,Linum usitatissimum L.,China,PGRC
CN 101231,VNIIL-5404,Linum usitatissimum L.,Japan,PGRC
CN 101232,VNIIL-5405,Linum usitatissimum L.,Japan,PGRC
CN 101233,'Rolin',Linum usitatissimum L.,Romania,PGRC
CN 101234,B-31,Linum usitatissimum L.,Lithuania,PGRC
CN 101235,E-68,Linum usitatissimum L.,Belarus,PGRC
CN 101236,B-42,Linum usitatissimum L.,Lithuania,PGRC
CN 101237,'Artemida',Linum usitatissimum L.,Lithuania,PGRC
CN 101238,AP5,Linum usitatissimum L.,,PGRC
CN 101239,G-1407-7-28,Linum usitatissimum L.,,PGRC
CN 101240,B-55,Linum usitatissimum L.,Lithuania,PGRC
CN 101241,AP 6,Linum usitatissimum L.,,PGRC
CN 101242,B-71,Linum usitatissimum L.,Lithuania,PGRC
CN 101243,B-8,Linum usitatissimum L.,Lithuania,PGRC
CN 101244,'Gloria',Linum usitatissimum L.,Poland,PGRC
CN 101245,'Bryta',Linum usitatissimum L.,Poland,PGRC
CN 101246,VNIIL-5429,Linum usitatissimum L.,Japan,PGRC
CN 101247,VNIIL-5628,Linum usitatissimum L.,,PGRC
CN 101248,VNIIL-5365,Linum usitatissimum L.,Japan,PGRC
CN 101249,VNIIL-5382,Linum usitatissimum L.,Japan,PGRC
CN 101250,VNIIL-5383,Linum usitatissimum L.,Japan,PGRC
CN 101251,VNIIL-5386,Linum usitatissimum L.,Japan,PGRC
CN 101252,VNIIL-5413,Linum usitatissimum L.,Japan,PGRC
CN 101253,Line 8714-12,Linum usitatissimum L.,China,PGRC
CN 101254,Line 87287-7,Linum usitatissimum L.,China,PGRC
CN 101255,G-8110-93-7,Linum usitatissimum L.,,PGRC
CN 101256,K-65,Linum usitatissimum L.,Belarus,PGRC
CN 101257,G-1783-4-18,Linum usitatissimum L.,,PGRC
CN 101258,Z 95197,Linum usitatissimum L.,Romania,PGRC
CN 101259,Z 95575,Linum usitatissimum L.,Romania,PGRC
CN 101260,Z 95196,Linum usitatissimum L.,Romania,PGRC
CN 101261,Z 95198,Linum usitatissimum L.,Romania,PGRC
CN 101262,Z 95199,Linum usitatissimum L.,Romania,PGRC
CN 101263,'Taragur',Linum usitatissimum L.,Czech Republic,PGRC
CN 101264,'Diane',Linum usitatissimum L.,Netherlands,PGRC
CN 101265,'Amason',Linum usitatissimum L.,,PGRC
CN 101266,FCFL,Linum usitatissimum L.,France,PGRC
CN 101267,Line 4-2-1,Linum usitatissimum L.,,PGRC
CN 101268,'Raisa',Linum usitatissimum L.,Netherlands,PGRC
CN 101269,'Texa',Linum usitatissimum L.,Czech Republic,PGRC
CN 101270,'Marina',Linum usitatissimum L.,Netherlands,PGRC
CN 101271,'Verne',Linum usitatissimum L.,Netherlands,PGRC
CN 101272,'Clark',Linum usitatissimum L.,Netherlands,PGRC
CN 101273,'Ariane',Linum usitatissimum L.,France,PGRC
CN 101274,'AC Emerson',Linum usitatissimum L.,,PGRC
CN 101275,'Bison',Linum usitatissimum L.,United States,PGRC
CN 101276,VNIIL-1709,Linum usitatissimum L.,United States,PGRC
CN 101277,'Minesota',Linum usitatissimum L.,United States,PGRC
CN 101278,No 3896,Linum usitatissimum L.,,PGRC
CN 101279,No 3825,Linum usitatissimum L.,,PGRC
CN 101280,LM 92,Linum usitatissimum L.,,PGRC
CN 101281,'Linda',Linum usitatissimum L.,Canada,PGRC
CN 101282,Fr 681,Linum usitatissimum L.,Canada,PGRC
CN 101283,Fr 646,Linum usitatissimum L.,Canada,PGRC
CN 101284,Roja Line 8,Linum usitatissimum L.,Canada,PGRC
CN 101285,Linota Line 12,Linum usitatissimum L.,United States,PGRC
CN 101286,Dakota Line 8,Linum usitatissimum L.,United States,PGRC
CN 101287,G-2101-4-7 Line 7,Linum usitatissimum L.,,PGRC
CN 101288,'Svetoch',Linum usitatissimum L.,,PGRC
CN 101289,A-93,Linum usitatissimum L.,,PGRC
CN 101290,'Lenok',Linum usitatissimum L.,,PGRC
CN 101291,'Tverskoy',Linum usitatissimum L.,,PGRC
CN 101292,'Zarjanka',Linum usitatissimum L.,,PGRC
CN 101293,'Escalina',Linum usitatissimum L.,Netherlands,PGRC
CN 101294,Line 93 Escalina,Linum usitatissimum L.,,PGRC
CN 101295,L. 00-187-60,Linum usitatissimum L.,,PGRC
CN 101296,L. 270-68,Linum usitatissimum L.,,PGRC
CN 101297,L. 222-68,Linum usitatissimum L.,,PGRC
CN 101298,L. 541-02,Linum usitatissimum L.,,PGRC
CN 101299,L. 00-207,Linum usitatissimum L.,,PGRC
CN 101300,L. 81-4-1871,Linum usitatissimum L.,,PGRC
CN 101301,L. 1200-4-3,Linum usitatissimum L.,,PGRC
CN 101302,L. 1344-4-1,Linum usitatissimum L.,,PGRC
CN 101303,G-2741-5-5,Linum usitatissimum L.,Unknown,PGRC
CN 101304,L. 00-8,Linum usitatissimum L.,,PGRC
CN 101305,A-176,Linum usitatissimum L.,,PGRC
CN 101306,A-163,Linum usitatissimum L.,,PGRC
CN 101307,LM-95,Linum usitatissimum L.,,PGRC
CN 101308,VNIIL-180,Linum usitatissimum L.,,PGRC
CN 101309,VNIIL-568,Linum usitatissimum L.,,PGRC
CN 101310,VNIIL-571,Linum usitatissimum L.,,PGRC
CN 101311,VNIIL-574,Linum usitatissimum L.,,PGRC
CN 101312,VNIIL-575,Linum usitatissimum L.,,PGRC
CN 101313,VNIIL-839,Linum usitatissimum L.,,PGRC
CN 101314,VNIIL-1099,Linum usitatissimum L.,,PGRC
CN 101315,VNIIL-1100,Linum usitatissimum L.,,PGRC
CN 101316,VNIIL-1341,Linum usitatissimum L.,,PGRC
CN 101317,VNIIL-1353,Linum usitatissimum L.,,PGRC
CN 101318,VNIIL-582,Linum usitatissimum L.,,PGRC
CN 101319,VNIIL-1135,Linum usitatissimum L.,,PGRC
CN 101320,VNIIL-1141,Linum usitatissimum L.,,PGRC
CN 101321,,Linum usitatissimum L.,,PGRC
CN 101322,VNIIL-1147,Linum usitatissimum L.,,PGRC
CN 101323,VNIIL-3455,Linum usitatissimum L.,,PGRC
CN 101324,VNIIL-3770,Linum usitatissimum L.,,PGRC
CN 101325,VNIIL-1104,Linum usitatissimum L.,,PGRC
CN 101326,VNIIL-1227,Linum usitatissimum L.,,PGRC
CN 101327,VNIIL-6148,Linum usitatissimum L.,,PGRC
CN 101328,L. graine,Linum usitatissimum L.,,PGRC
CN 101329,VNIIL-519,Linum usitatissimum L.,,PGRC
CN 101330,Gisa sel,Linum usitatissimum L.,,PGRC
CN 101331,VNIIL-918,Linum usitatissimum L.,,PGRC
CN 101332,VNIIL-1046,Linum usitatissimum L.,,PGRC
CN 101333,VNIIL-635,Linum usitatissimum L.,,PGRC
CN 101334,VNIIL-641,Linum usitatissimum L.,,PGRC
CN 101335,VNIIL-644,Linum usitatissimum L.,,PGRC
CN 101336,VNIIL-650,Linum usitatissimum L.,,PGRC
CN 101337,VNIIL-651,Linum usitatissimum L.,,PGRC
CN 101338,VNIIL-655,Linum usitatissimum L.,,PGRC
CN 101339,VNIIL-662,Linum usitatissimum L.,,PGRC
CN 101340,VNIIL-1169,Linum usitatissimum L.,,PGRC
CN 101341,VNIIL-1555,Linum usitatissimum L.,,PGRC
CN 101342,VNIIL-1556,Linum usitatissimum L.,,PGRC
CN 101343,VNIIL-55,Linum usitatissimum L.,,PGRC
CN 101344,VNIIL-287,Linum usitatissimum L.,,PGRC
CN 101345,VNIIL-1295,Linum usitatissimum L.,,PGRC
CN 101346,VNIIL-1436,Linum usitatissimum L.,,PGRC
CN 101347,VNIIL-289,Linum usitatissimum L.,,PGRC
CN 101348,VNIIL-742,Linum usitatissimum L.,,PGRC
CN 101349,VNIIL-267,Linum usitatissimum L.,,PGRC
CN 101350,U-7,Linum usitatissimum L.,,PGRC
CN 101351,Pnadischik,Linum usitatissimum L.,,PGRC
CN 101352,1288/12,Linum usitatissimum L.,,PGRC
CN 101353,A-2176,Linum usitatissimum L.,,PGRC
CN 101354,Pskovski krjazh,Linum usitatissimum L.,,PGRC
CN 101355,Gdovski krjazh,Linum usitatissimum L.,,PGRC
CN 101356,Solezki krjazh,Linum usitatissimum L.,,PGRC
CN 101357,Gdovski krjazh,Linum usitatissimum L.,,PGRC
CN 101358,Porkovski krjazh,Linum usitatissimum L.,,PGRC
CN 101359,Ostrovski krjazh,Linum usitatissimum L.,,PGRC
CN 101360,VNIIL-772,Linum usitatissimum L.,,PGRC
CN 101361,VNIIL-773,Linum usitatissimum L.,,PGRC
CN 101362,VNIIL-774,Linum usitatissimum L.,,PGRC
CN 101363,VNIIL-775,Linum usitatissimum L.,,PGRC
CN 101364,VNIIL-776,Linum usitatissimum L.,,PGRC
CN 101365,VNIIL-724,Linum usitatissimum L.,,PGRC
CN 101366,VNIIL-725,Linum usitatissimum L.,,PGRC
CN 101367,VNIIL-2785,Linum usitatissimum L.,,PGRC
CN 101368,VNIIL-2786,Linum usitatissimum L.,,PGRC
CN 101369,VNIIL-2788,Linum usitatissimum L.,,PGRC
CN 101370,VNIIL-2789,Linum usitatissimum L.,,PGRC
CN 101371,VNIIL-2796,Linum usitatissimum L.,,PGRC
CN 101372,VNIIL-726,Linum usitatissimum L.,,PGRC
CN 101373,VNIIL-868,Linum usitatissimum L.,,PGRC
CN 101374,VNIIL-3529,Linum usitatissimum L.,,PGRC
CN 101375,VNIIL-3531,Linum usitatissimum L.,,PGRC
CN 101376,VNIIL-402,Linum usitatissimum L.,,PGRC
CN 101377,VNIIL-405,Linum usitatissimum L.,,PGRC
CN 101378,VNIIL-409,Linum usitatissimum L.,,PGRC
CN 101379,VNIIL-492,Linum usitatissimum L.,,PGRC
CN 101380,VNIIL-497,Linum usitatissimum L.,,PGRC
CN 101381,VNIIL-499,Linum usitatissimum L.,,PGRC
CN 101382,Keteni Tekirdak Hagrobobu,Linum usitatissimum L.,,PGRC
CN 101383,VNIIL-5092,Linum usitatissimum L.,,PGRC
CN 101384,VNIIL-4244,Linum usitatissimum L.,,PGRC
CN 101385,TR 35141,Linum usitatissimum L.,,PGRC
CN 101386,TR 42713,Linum usitatissimum L.,,PGRC
CN 101387,Evelin,Linum usitatissimum L.,,PGRC
CN 101388,Saskai,Linum usitatissimum L.,,PGRC
CN 101389,Hancheberger st 8,Linum usitatissimum L.,,PGRC
CN 101390,Fibra,Linum usitatissimum L.,,PGRC
CN 101391,Reina,Linum usitatissimum L.,,PGRC
CN 101392,Tajga,Linum usitatissimum L.,,PGRC
CN 101393,Norland,Linum usitatissimum L.,,PGRC
CN 101394,Line 548-01,Linum usitatissimum L.,,PGRC
CN 101395,Line 629-01,Linum usitatissimum L.,,PGRC
CN 101396,Line 657-01,Linum usitatissimum L.,,PGRC
CN 101397,Pskovski 2976,Linum usitatissimum L.,,PGRC
CN 101398,Pskovski 2979,Linum usitatissimum L.,,PGRC
CN 101399,Candidis,Linum usitatissimum L.,,PGRC
CN 101400,VNIIL-5435,Linum usitatissimum L.,,PGRC
CN 101401,G 2063-5-10,Linum usitatissimum L.,,PGRC
CN 101402,VNIIL-5631,Linum usitatissimum L.,,PGRC
CN 101403,L-500004-2-84,Linum usitatissimum L.,,PGRC
CN 101404,L-60016-3-87,Linum usitatissimum L.,,PGRC
CN 101405,Mures,Linum usitatissimum L.,,PGRC
CN 101406,L-41,Linum usitatissimum L.,,PGRC
CN 101407,Concurent,Linum usitatissimum L.,,PGRC
CN 101408,Dacos 2,Linum usitatissimum L.,,PGRC
CN 101409,Biera iynzaad,Linum usitatissimum L.,,PGRC
CN 101410,Linum Winter,Linum usitatissimum L.,,PGRC
CN 101411,'FP 980',Linum usitatissimum L.,,PGRC
CN 101412,FP976,Linum usitatissimum L.,,PGRC
CN 101413,'Vimy',Linum usitatissimum L.,,PGRC
CN 101414,'AC Carnduff',Linum usitatissimum L.,,PGRC
CN 101415,'Tai Chung SEL. No.1',Linum usitatissimum L.,,PGRC
CN 101416,China 1,Linum usitatissimum L.,China,PGRC
CN 101417,China 2,Linum usitatissimum L.,China,PGRC
CN 101418,China 3,Linum usitatissimum L.,China,PGRC
CN 101419,China 4,Linum usitatissimum L.,China,PGRC
CN 101420,China 5,Linum usitatissimum L.,China,PGRC
CN 101421,China 6,Linum usitatissimum L.,China,PGRC
CN 101422,,Linum usitatissimum L.,,PGRC
CN 101423,'Slavnyj 82',Linum usitatissimum L.,,PGRC
CN 101424,'Torzhokshij 4',Linum usitatissimum L.,,PGRC
CN 101425,'Opaline',Linum usitatissimum L.,,PGRC
CN 101426,'Baltuchiai',Linum usitatissimum L.,,PGRC
CN 101427,'Banga',Linum usitatissimum L.,,PGRC
