TAXON,GENUS,SPECIES,RANK,verbatimScientificName,INFRASPECIFIC,PROVINCE
Dasiphora fruticosa,Dasiphora,Dasiphora fruticosa,,Dasiphora fruticosa,,Nunavut
Cornus amomum,Cornus,Cornus amomum,,Cornus obliqua,,New Brunswick
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,Chenopodium berlandieri Moq. var. zschackei Murr.,zschackei,Manitoba
Chamaenerion angustifolium,Chamaenerion,Chamaenerion angustifolium,,Chamaenerion angustifolium,,Nunavut
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum hermaphroditum,hermaphroditum,Ontario
Claytonia caroliniana,Claytonia,Claytonia caroliniana,,Claytonia caroliniana Michx.,,British Columbia
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum L. subsp. hermaphroditum (Hagerup) Böcher,hermaphroditum,Yukon
Claytonia megarhiza,Claytonia,Claytonia megarhiza,,Claytonia megarhiza,,British Columbia
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri,,Northwest Territories
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium bushianum,,Nova Scotia
Drymocallis glandulosa var. glandulosa,Drymocallis,Drymocallis glandulosa,var.,Potentilla glandulosa subsp. glandulosa,glandulosa,British Columbia
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamerion angustifolium subsp. circumvagum,circumvagum,Alberta
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Alberta
Empetrum nigrum subsp. nigrum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum nigrum,nigrum,Ontario
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,Elymus alaskanus (Scribn. & Merr.) Á. Löve ssp. alaskanus,alaskanus,Nunavut
Elymus violaceus,Elymus,Elymus violaceus,,Elymus violaceus (Hornem.) Feilberg,,Nunavut
Coleataenia longifolia subsp. longifolia,Coleataenia,Coleataenia longifolia,subsp.,Coleataenia longifolia longifolia,longifolia,Nova Scotia
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea sericea,sericea,Northwest Territories
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium (Linnaeus) Scopoli subsp. angustifolium,angustifolium,Manitoba
Elymus hystrix,Elymus,Elymus hystrix,,Elymus hystrix,,New Brunswick
Conioselinum gmelinii,Conioselinum,Conioselinum gmelinii,,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,,British Columbia
Chenopodium hians,Chenopodium,Chenopodium hians,,Chenopodium hians Standl.,,British Columbia
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,Elymus alaskanus (Scribn. & Merr.) A. Love subsp. alaskanus,alaskanus,British Columbia
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,Elymus canadensis L. var. canadensis,canadensis,British Columbia
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamerion angustifolium (L.) Holub subsp. angustifolium,angustifolium,British Columbia
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Epilobium angustifolium L. subsp. circumvagum Mosquin,circumvagum,British Columbia
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,Elymus elymoides (Raf.) Swezey subsp. californicus (J.G. Sm.) Barkworth,californicus,British Columbia
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri Moq.,,British Columbia
Elymus glaucus,Elymus,Elymus glaucus,,Elymus glaucus Buckley,,Alberta
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,Chenopodium fremontii S. Watson,,British Columbia
Elymus glaucus,Elymus,Elymus glaucus,,Elymus virescens Piper,,Northwest Territories
Elymus lanceolatus,Elymus,Elymus lanceolatus,,Elymus lanceolatus (Scribn. & J.G. Sm.) Gould,,Yukon
Elymus sibiricus,Elymus,Elymus sibiricus,,Elymus sibiricus L.,,Alberta
Elymus sibiricus,Elymus,Elymus sibiricus,,Elymus sibiricus L.,,British Columbia
Elymus macrourus,Elymus,Elymus macrourus,,Elymus macrourus,,Yukon
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Saskatchewan
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,Elymus alaskanus subsp. alaskanus,alaskanus,Yukon
Elymus alaskanus,Elymus,Elymus alaskanus,,Elymus alaskanus,,Yukon
Elymus albicans,Elymus,Elymus albicans,,Elymus albicans,,British Columbia
Empetrum nigrum subsp. nigrum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum subsp. nigrum,nigrum,Quebec
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,Elymus elymoides (Raf.) Swezey ssp. elymoides,elymoides,British Columbia
Elymus alaskanus,Elymus,Elymus alaskanus,,Elymus alaskanus (Scribn. & Merr.) A. Löve,,British Columbia
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,Chenopodium desiccatum A. Nels.,,British Columbia
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,Chenopodium simplex (Torr.) Raf.,,British Columbia
Elymus macrourus,Elymus,Elymus macrourus,,Agropyron boreale,,British Columbia
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,Elymus glaucus Buckl. ssp. glaucus,glaucus,Yukon
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Yukon
Elymus virginicus,Elymus,Elymus virginicus,,Elymus virginicus,,Saskatchewan
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium circumvagum,circumvagum,Nova Scotia
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,Chenopodium berlandieri var. zschackei,zschackei,Yukon
Claytonia caroliniana,Claytonia,Claytonia caroliniana,,Claytonia caroliniana,,Prince Edward Island
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,Chenopodium simplex (Torr.) Raf.,,Alberta
Chenopodium berlandieri var. macrocalycium,Chenopodium,Chenopodium berlandieri,var.,Chenopodium berlandieri var. macrocalycium (Aellen) Cronquist,macrocalycium,Nova Scotia
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,Cornus intermedia (Farr) Calder & Roy L. Taylor,,Nova Scotia
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,Chenopodium desiccatum A. Nels.,,Nova Scotia
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea L.,sericea,Nova Scotia
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea L.,sericea,Prince Edward Island
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamerion angustifolium subsp. angustifolium (L.) Holub,angustifolium,Prince Edward Island
Elymus violaceus,Elymus,Elymus violaceus,,Elymus trachycaulus (Link) Gould ex Shinners,,Prince Edward Island
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium subsp. angustifolium,angustifolium,Nunavut
Corylus americana,Corylus,Corylus americana,,Corylus americana Walter,,Quebec
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Ontario
Elymus elymoides,Elymus,Elymus elymoides,,Elymus elymoides,,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,New Brunswick
Elymus lanceolatus,Elymus,Elymus lanceolatus,,Agropyron psammophilum,,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Quebec
Elymus alaskanus,Elymus,Elymus alaskanus,,Elymus alaskanus,,Alberta
Elymus glaucus,Elymus,Elymus glaucus,,Elymus glaucus,,Saskatchewan
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Manitoba
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,Chenopodium leptophyllum,,Manitoba
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Nunavut
Elymus glaucus,Elymus,Elymus glaucus,,Elymus glaucus,,Ontario
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium subsp. angustifolium,angustifolium,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,Cornus sericea subsp. sericea,sericea,Newfoundland and Labrador
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,Chenopodium gigantospermum,,Manitoba
Elymus scribneri,Elymus,Elymus scribneri,,Elymus scribneri,,Alberta
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,Chenopodium berlandieri var. zschackei,zschackei,British Columbia
Panicum sphaerocarpon,Panicum,Panicum sphaerocarpon,,Dichanthelium sphaerocarpon,,Ontario
Drymocallis glandulosa,Drymocallis,Drymocallis glandulosa,,Potentilla glandulosa,,Ontario
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,Chenopodium gigantospermum,,Quebec
Elymus macrourus,Elymus,Elymus macrourus,,Agropyron boreale (Turczaninow) Drobow,,Ontario
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,Elymus elymoides elymoides,elymoides,Saskatchewan
Elymus hystrix,Elymus,Elymus hystrix,,Elymus hystrix L.,,Manitoba
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,Chenopodium fremontii S. Wats.,,Manitoba
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri Moq.,,Manitoba
Elymus lanceolatus,Elymus,Elymus lanceolatus,,Agropyron dasystachyum (Hooker) Scribner,,Manitoba
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium circumvagum,circumvagum,Newfoundland and Labrador
Elymus sibiricus,Elymus,Elymus sibiricus,,Elymus sibiricus L.,,Yukon
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,Chenopodium leptophyllum (Moq.) Nutt. ex S. Wats.,,Yukon
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri L.,,Yukon
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Epilobium angustifolium L. ssp. angustifolium,angustifolium,Northwest Territories
Elymus sibiricus,Elymus,Elymus sibiricus,,Elymus sibiricus L.,,Northwest Territories
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,Elymus glaucus Buckley ssp. glaucus,glaucus,Alberta
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,Chenopodium leptophyllum (Moq.) Nutt. ex S. Wats.,,Alberta
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamerion angustifolium subsp. angustifolium,angustifolium,Alberta
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium subsp. angustifolium,angustifolium,Newfoundland and Labrador
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium subsp. angustifolium,angustifolium,Quebec
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamaenerion angustifolium subsp. angustifolium,angustifolium,Yukon
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri Moq.,,Ontario
Drymocallis glandulosa var. glandulosa,Drymocallis,Drymocallis glandulosa,var.,Drymocallis glandulosa (Lindley) Rydberg var. glandulosa,glandulosa,Alberta
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,Elymus canadensis var. canadensis L.,canadensis,Quebec
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,Elymus alaskanus subsp. alaskanus,alaskanus,Quebec
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Epilobium angustifolium subsp. circumvagum Mosquin,circumvagum,Quebec
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum subsp. hermaphroditum (Lange) Böcher,hermaphroditum,Nunavut
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,Cornus unalaschkensis Ledeb.,,Newfoundland and Labrador
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,Cornus unalaschkensis Ledeb.,,Quebec
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,Epilobium angustifolium cricumvagum,circumvagum,Manitoba
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,Elymus canadensis L. var. canadensis,canadensis,Manitoba
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,Chenopodium fremontii S. Wats.,,Alberta
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,Elymus virginicus L. var. virginicus,virginicus,Alberta
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum L. ssp. hermaphroditum (Hagerup) Böcher,hermaphroditum,Alberta
Cornus suecica,Cornus,Cornus suecica,,Cornus suecica L.,,Northwest Territories
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,Elymus canadensis L. var. canadensis,canadensis,Alberta
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,Chenopodium desiccatum A. Nelson,,Alberta
Chenopodium watsonii,Chenopodium,Chenopodium watsonii,,Chenopodium watsoni A. Nelson,,Alberta
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium berlandieri Moq.,,Saskatchewan
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,Chenopodium fremontii S.Watson,,Saskatchewan
Dioscorea villosa,Dioscorea,Dioscorea villosa,,Dioscorea villosa Linnaeus,,Quebec
Elymus virginicus var. halophilus,Elymus,Elymus virginicus,var.,Elymus virginicus var. halophilus (E.P. Bicknell) Wiegand,halophilus,Nova Scotia
Elymus violaceus,Elymus,Elymus violaceus,,Elymus trachycaulus (Link) Gould ex Shinners,,New Brunswick
Elymus virginicus,Elymus,Elymus virginicus,,Elymus virginicus Linnaeus,,Newfoundland and Labrador
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,Chenopodium boscianum Moquin-Tandon,,Quebec
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,Empetrum nigrum subsp. hermaphroditum (Lange ex Hagerup) Böcher,hermaphroditum,Nova Scotia
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,Chamerion angustifolium subsp. angustifolium (L.) Holub,angustifolium,New Brunswick
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,Elymus virginicus var. virginicus L.,virginicus,Quebec
Elymus virginicus,Elymus,Elymus virginicus,,Elymus virginicus L.,,Prince Edward Island
Elymus virginicus var. intermedius,Elymus,Elymus virginicus,var.,Elymus virginicus var. intermedius,intermedius,Nova Scotia
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,Ontario
Fagus grandifolia,Fagus,Fagus grandifolia,,Fagus grandifolia,,Ontario
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Alberta
Fagus grandifolia,Fagus,Fagus grandifolia,,Fagus grandifolia,,Nova Scotia
Holodiscus discolor,Holodiscus,Holodiscus discolor,,Holodiscus discolor,,British Columbia
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,Fraxinus pennsylvanica,,Ontario
Gaultheria shallon,Gaultheria,Gaultheria shallon,,Gaultheria shallon,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Nova Scotia
Fragaria vesca,Fragaria,Fragaria vesca,,Fragaria vesca,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,Nova Scotia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,Quebec
Fraxinus quadrangulata,Fraxinus,Fraxinus quadrangulata,,Fraxinus quadrangulata,,Ontario
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,Gaylussacia baccata,,Ontario
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Ontario
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,British Columbia
Fraxinus americana,Fraxinus,Fraxinus americana,,Fraxinus americana,,Ontario
Juglans cinerea,Juglans,Juglans cinerea,,Juglans cinerea,,Ontario
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,Fraxinus pennsylvanica,,Quebec
Fraxinus nigra,Fraxinus,Fraxinus nigra,,Fraxinus nigra,,Quebec
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Ontario
Gaillardia aristata,Gaillardia,Gaillardia aristata,,Gaillardia aristata,,Alberta
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Nova Scotia
Gaillardia aristata,Gaillardia,Gaillardia aristata,,Gaillardia aristata,,British Columbia
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,Hamamelis virginiana,,Ontario
Fagus grandifolia,Fagus,Fagus grandifolia,,Fagus grandifolia,,New Brunswick
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,Gaylussacia bigeloviana,,Nova Scotia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Alberta
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,Alberta
Fraxinus nigra,Fraxinus,Fraxinus nigra,,Fraxinus nigra,,Ontario
Fragaria chiloensis,Fragaria,Fragaria chiloensis,,Fragaria chiloensis,,British Columbia
Fagus grandifolia,Fagus,Fagus grandifolia,,Fagus grandifolia,,Quebec
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Newfoundland and Labrador
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Alberta
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,Gaylussacia baccata,,Nova Scotia
Fritillaria affinis,Fritillaria,Fritillaria affinis,,Fritillaria affinis,,British Columbia
Honckenya peploides,Honckenya,Honckenya peploides,,Honckenya peploides,,British Columbia
Gaultheria ovatifolia,Gaultheria,Gaultheria ovatifolia,,Gaultheria ovatifolia,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,Manitoba
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,British Columbia
Erythronium americanum,Erythronium,Erythronium americanum,,Erythronium americanum,,Ontario
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,British Columbia
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,Hamamelis virginiana,,Quebec
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,Hamamelis virginiana,,Nova Scotia
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,Fraxinus pennsylvanica,,Manitoba
Frangula purshiana,Frangula,Frangula purshiana,,Frangula purshiana,,British Columbia
Fraxinus nigra,Fraxinus,Fraxinus nigra,,Fraxinus nigra,,New Brunswick
Honckenya peploides,Honckenya,Honckenya peploides,,Honckenya peploides,,Nova Scotia
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Manitoba
Fraxinus americana,Fraxinus,Fraxinus americana,,Fraxinus americana,,Nova Scotia
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,Helianthus tuberosus,,Ontario
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,Manitoba
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,Ontario
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,Saskatchewan
Juglans cinerea,Juglans,Juglans cinerea,,Juglans cinerea,,Quebec
Fraxinus nigra,Fraxinus,Fraxinus nigra,,Fraxinus nigra,,Nova Scotia
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Saskatchewan
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Ontario
Helianthus decapetalus,Helianthus,Helianthus decapetalus,,Helianthus decapetalus,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Prince Edward Island
Fagus grandifolia,Fagus,Fagus grandifolia,,Fagus grandifolia,,Prince Edward Island
Honckenya peploides,Honckenya,Honckenya peploides,,Honckenya peploides,,Quebec
Erythronium oregonum,Erythronium,Erythronium oregonum,,Erythronium oregonum,,British Columbia
Helianthus laetiflorus,Helianthus,Helianthus laetiflorus,,Helianthus × laetiflorus,,Ontario
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,New Brunswick
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,Helianthus maximiliani,,Saskatchewan
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,British Columbia
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,Helianthus maximiliani,,Manitoba
Fragaria vesca,Fragaria,Fragaria vesca,,Fragaria vesca,,Ontario
Fritillaria pudica,Fritillaria,Fritillaria pudica,,Fritillaria pudica,,British Columbia
Fritillaria camschatcensis,Fritillaria,Fritillaria camschatcensis,,Fritillaria camschatcensis,,British Columbia
Fraxinus americana,Fraxinus,Fraxinus americana,,Fraxinus americana,,New Brunswick
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,New Brunswick
Helianthus divaricatus,Helianthus,Helianthus divaricatus,,Helianthus divaricatus,,Ontario
Hedysarum boreale,Hedysarum,Hedysarum boreale,,Hedysarum boreale,,Alberta
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Nova Scotia
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,Helianthus tuberosus,,Nova Scotia
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,Gaylussacia baccata,,Quebec
Helianthus giganteus,Helianthus,Helianthus giganteus,,Helianthus giganteus,,Ontario
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,New Brunswick
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Northwest Territories
Honckenya peploides,Honckenya,Honckenya peploides,,Honckenya peploides,,Prince Edward Island
Fraxinus americana,Fraxinus,Fraxinus americana,,Fraxinus americana,,Quebec
Fraxinus americana,Fraxinus,Fraxinus americana,,Fraxinus americana,,Prince Edward Island
Hedysarum sulphurescens,Hedysarum,Hedysarum sulphurescens,,Hedysarum sulphurescens,,Alberta
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,Helianthus tuberosus,,Quebec
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Quebec
Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,Helianthus pauciflorus subrhomboideus,subrhomboideus,Ontario
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,British Columbia
Helianthus strumosus,Helianthus,Helianthus strumosus,,Helianthus strumosus,,Ontario
Erythronium grandiflorum,Erythronium,Erythronium grandiflorum,,Erythronium grandiflorum,,British Columbia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Prince Edward Island
Fraxinus nigra,Fraxinus,Fraxinus nigra,,Fraxinus nigra,,Newfoundland and Labrador
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Nova Scotia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,Gaultheria procumbens,,Prince Edward Island
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,Fraxinus pennsylvanica,,Nova Scotia
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Newfoundland and Labrador
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,Fraxinus pennsylvanica,,New Brunswick
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Saskatchewan
Festuca occidentalis,Festuca,Festuca occidentalis,,Festuca occidentalis,,Alberta
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Prince Edward Island
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Yukon
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,Quebec
Humulus lupulus,Humulus,Humulus lupulus,,Humulus lupulus,,Nova Scotia
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,Helianthus pauciflorus,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,Gaultheria hispidula,,Manitoba
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,Gaylussacia baccata,,Prince Edward Island
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,Helianthus tuberosus,,Manitoba
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,Nova Scotia
Hedysarum boreale,Hedysarum,Hedysarum boreale,,Hedysarum boreale,,Yukon
Gaultheria humifusa,Gaultheria,Gaultheria humifusa,,Gaultheria humifusa,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,Fragaria virginiana,,Yukon
Helianthus decapetalus,Helianthus,Helianthus decapetalus,,Helianthus decapetalus,,Quebec
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,Helianthus maximiliani,,Ontario
Helianthus petiolaris,Helianthus,Helianthus petiolaris,,Helianthus petiolaris,,Alberta
Gaillardia aristata,Gaillardia,Gaillardia aristata,,Gaillardia aristata,,Saskatchewan
Erythronium americanum,Erythronium,Erythronium americanum,,Erythronium americanum,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Prince Edward Island
Fragaria vesca,Fragaria,Fragaria vesca,,Fragaria vesca,,Nova Scotia
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,Alberta
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,Helianthus pauciflorus,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,Heracleum maximum,,Northwest Territories
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,Gaylussacia baccata,,New Brunswick
Fragaria vesca,Fragaria,Fragaria vesca,,Fragaria vesca,,Alberta
Helianthus annuus,Helianthus,Helianthus annuus,,Helianthus annuus,,Manitoba
Hordeum jubatum,Hordeum,Hordeum jubatum,,Hordeum jubatum,,Quebec
Honckenya peploides,Honckenya,Honckenya peploides,,Honckenya peploides,,New Brunswick
