"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE"
"19","Astragalus miser var. miser","Astragalus","Astragalus miser","var.","miser","Milk-vetch",NA,"Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"20","Astragalus racemosus var. racemosus","Astragalus","Astragalus racemosus","var.","racemosus","Milk-vetch",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"21","Astragalus robbinsii var. fernaldii","Astragalus","Astragalus robbinsii","var.","fernaldii","Milk-vetch",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"22","Calamagrostis canadensis var. langsdorffii","Calamagrostis","Calamagrostis canadensis","var.","langsdorffii","Bluejoint",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","",""
"23","Camassia scilloides","Camassia","Camassia scilloides",NA,NA,"Camas",NA,"Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"24","Chenopodium berlandieri var. bushianum","Chenopodium","Chenopodium berlandieri","var.","bushianum","Quinoa",NA,"Y","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"25","Chenopodium standleyanum","Chenopodium","Chenopodium standleyanum",NA,NA,"Quinoa",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"26","Claytonia perfoliata subsp. intermontana","Claytonia","Claytonia perfoliata","subsp.","intermontana","Spring-beauty",NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"27","Coleataenia longifolia","Coleataenia","Coleataenia longifolia",NA,NA,"Proso millet",NA,"N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"28","Coleataenia longifolia var. longifolia","Coleataenia","Coleataenia longifolia","var.","longifolia","Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"29","Coleataenia rigidula subsp. rigidula","Coleataenia","Coleataenia rigidula","subsp.","rigidula","Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"30","Conioselinum pacificum","Conioselinum","Conioselinum pacificum",NA,NA,"Hemlock-parsley",NA,"Y","N","Y","wild carrot","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"31","Cornus obliqua","Cornus","Cornus obliqua",NA,NA,"Dogwood",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"32","Corylus californica","Corylus","Corylus californica",NA,NA,"Filbert",NA,"Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,"1B",1,"Secondary","","","","","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"33","Dichanthelium boreale","Dichanthelium","Dichanthelium boreale",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"34","Dichanthelium clandestinum","Dichanthelium","Dichanthelium clandestinum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"35","Dichanthelium depauperatum","Dichanthelium","Dichanthelium depauperatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"36","Dichanthelium dichotomum","Dichanthelium","Dichanthelium dichotomum",NA,NA,"Proso millet",NA,"N","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"37","Dichanthelium dichotomum subsp. dichotomum","Dichanthelium","Dichanthelium dichotomum","subsp.","dichotomum","Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"38","Dichanthelium implicatum","Dichanthelium","Dichanthelium implicatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"39","Dichanthelium latifolium","Dichanthelium","Dichanthelium latifolium",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"40","Dichanthelium leibergii","Dichanthelium","Dichanthelium leibergii",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"41","Dichanthelium linearifolium","Dichanthelium","Dichanthelium linearifolium",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"42","Dichanthelium meridionale","Dichanthelium","Dichanthelium meridionale",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"43","Dichanthelium perlongum","Dichanthelium","Dichanthelium perlongum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"44","Dichanthelium praecocius","Dichanthelium","Dichanthelium praecocius",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"45","Dichanthelium sphaerocarpon","Dichanthelium","Dichanthelium sphaerocarpon",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"46","Dichanthelium subvillosum","Dichanthelium","Dichanthelium subvillosum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"47","Dichanthelium wilcoxianum","Dichanthelium","Dichanthelium wilcoxianum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"48","Dichanthelium xanthophysum","Dichanthelium","Dichanthelium xanthophysum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"49","Elymus alaskanus subsp. hyperarcticus","Elymus","Elymus alaskanus","subsp.","hyperarcticus","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"50","Elymus canadensis var. brachystachys","Elymus","Elymus canadensis","var.","brachystachys","Wheat","Wild-rye","Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"51","Elymus glaucus subsp. virescens ","Elymus","Elymus glaucus","subsp.","virescens","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"52","Elymus trachycaulus","Elymus","Elymus trachycaulus",NA,NA,"Wheat","Wild-rye","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"53","Elymus trachycaulus subsp. subsecundus","Elymus","Elymus trachycaulus","subsp.","subsecundus","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"54","Elymus trachycaulus subsp. trachycaulus","Elymus","Elymus trachycaulus","subsp.","trachycaulus","Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"55","Elymus wiegandii ","Elymus","Elymus wiegandii","",NA,"Wheat","Wild-rye","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"56","Festuca rubra subsp. arctica","Festuca","Festuca rubra","subsp.","arctica","Fescue",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Forage and Feed","Ornamentals","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"57","Festuca rubra subsp. mediana","Festuca","Festuca rubra","subsp.","mediana","Fescue",NA,"Y","Y","N","","Y","Food","Cultural",NA,"Forage and Feed","Ornamentals","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"58","Fragaria ×ananassa","Fragaria","Fragaria ×ananassa",NA,NA,"Strawberry",NA,"N","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"59","Fragaria ×ananassa subsp. ananassa","Fragaria","Fragaria ×ananassa","subsp.","ananassa","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"60","Fragaria ×ananassa subsp. cuneifolia","Fragaria","Fragaria ×ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"61","Frangula purshiana subsp. purshiana","Frangula","Frangula purshiana","subsp.","purshiana","Buckthorn",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"62","Hedysarum occidentale var. occidentale","Hedysarum","Hedysarum occidentale","var.","occidentale","Sainfoin",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"63","Helianthus ×laetiflorus","Helianthus","Helianthus ×laetiflorus",NA,NA,"Sunflower",NA,"Y","Y","N","","N","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021",""
"64","Helianthus nuttallii subsp. nuttallii","Helianthus","Helianthus nuttallii","subsp.","nuttallii","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"65","Helianthus petiolaris subsp. petiolaris","Helianthus","Helianthus petiolaris","subsp.","petiolaris","Sunflower",NA,"Y","Y","N","","Y","Food","",NA,"Oils","","",NA,"1B",1,"Secondary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"66","Heracleum maximum","Heracleum","Heracleum maximum",NA,NA,"Cow-parsnip",NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"67","Hordeum brachyantherum subsp. brachyantherum","Hordeum","Hordeum brachyantherum","subsp.","brachyantherum","Barley",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"68","Hordeum depressum","Hordeum","Hordeum depressum",NA,NA,"Barley",NA,"Y","Y","N","","N","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"69","Hordeum pusillum","Hordeum","Hordeum pusillum",NA,NA,"Barley",NA,"Y","Y","N","","N","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"70","Humulus lupulus var. neomexicanus","Humulus","Humulus lupulus","var.","neomexicanus","Hop",NA,"Y","Y","Y","hops; greens edible, flowers in beer brewing","Y","Food","",NA,"Herbs and Spices","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"71","Juniperus maritima","Juniperus","Juniperus maritima",NA,NA,"Juniper",NA,"Y","N","Y","tea, leaves and shoots edible","Y","Cultural","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"72","Lathyrus lanszwertii","Lathyrus","Lathyrus lanszwertii",NA,NA,"Lathyrus",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"73","Lathyrus lanszwertii var. bijugatus","Lathyrus","Lathyrus lanszwertii","var.","bijugatus","Lathyrus",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"74","Leymus mollis subsp. villosissimus","Leymus","Leymus mollis","subsp.","villosissimus","Barley","Wheat","Y","Y","Y","wild rye grass; grains","Y","Food","","Food","Cereals and pseudocereals","","","Cereals and pseudocereals","1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"75","Linum rigidum var. rigidum","Linum","Linum rigidum","var.","rigidum","Flax",NA,"Y","Y","N","","Y","Materials","",NA,"Materials","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"76","Linum virginianum","Linum","Linum virginianum",NA,NA,"Flax",NA,"Y","Y","N","","Y","Materials","",NA,"Materials","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"77","Lupinus littoralis var. littoralis","Lupinus","Lupinus littoralis","var.","littoralis","Andean lupin",NA,"Y","Y","Y","","Y","Food","",NA,"Pulses","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"78","Lupinus nootkatensis var. fruiticosus","Lupinus","Lupinus nootkatensis","var.","fruiticosus","Andean lupin",NA,"Y","Y","Y","","Y","Food","",NA,"Pulses","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"79","Lupinus polyphyllus var. burkei","Lupinus","Lupinus polyphyllus","var.","burkei","Andean lupin",NA,"Y","Y","Y","used directly as an ornamental","Y","Food","Cultural",NA,"Pulses","Ornamentals","",NA,"1A",1,"Progenitor","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020"
"80","Lupinus polyphyllus var. humicola","Lupinus","Lupinus polyphyllus","var.","humicola","Andean lupin",NA,"Y","Y","Y","used directly as an ornamental","Y","Food","Cultural",NA,"Pulses","Ornamentals","",NA,"1A",1,"Progenitor","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020"
"81","Mahonia aquifolia","Mahonia","Mahonia aquifolia",NA,NA,"Barberry",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"82","Malus fusca","Malus","Malus fusca",NA,NA,"Apple",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Tertiary","Graftstock","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"83","Nuphar polysepala","Nuphar","Nuphar polysepala",NA,NA,"Water-lily",NA,"Y","N","Y","","Y","Food","Cultural",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"84","Oxybasis rubra var. rubra","Oxybasis","Oxybasis rubra","var.","rubra","Quinoa",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"85","Panicum dichotomiflorum subsp. puritanorum","Panicum","Panicum dichotomiflorum","subsp.","puritanorum","Proso millet",NA,"Y","Y","N","","N","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"86","Pascopyrum smithii","Pascopyrum","Pascopyrum smithii",NA,NA,"Wheat",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"87","Phalaris arundinacea var. arundinaceae","Phalaris","Phalaris arundinacea","var.","arundinaceae","Canary Grass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"88","Picea engelmannii var. engelmannii","Picea","Picea engelmannii","var.","engelmannii","Spruce",NA,"Y","N","Y","gum, needles, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"89","Poa ×gaspensis","Poa","Poa ×gaspensis",NA,NA,"Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"90","Poa abbreviata subsp. pattersonii","Poa","Poa abbreviata","subsp.","pattersonii","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"91","Poa arctica subsp. caespitans","Poa","Poa arctica","subsp.","caespitans","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"92","Poa arctica subsp. grayana","Poa","Poa arctica","subsp.","grayana","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"93","Poa arctica subsp. lanata","Poa","Poa arctica","subsp.","lanata","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
