"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"2526","Rubus setosus","Rubus","Rubus setosus","","","New Brunswick"
"2527","Rubus setosus","Rubus","Rubus setosus","","","Nova Scotia"
"2528","Ribes americanum","Ribes","Ribes americanum","","","Saskatchewan"
"2529","Rosa nitida","Rosa","Rosa nitida","","","Prince Edward Island"
"2530","Ribes hudsonianum","Ribes","Ribes hudsonianum","","","Saskatchewan"
"2531","Prunus virginiana var. demissa","Prunus","Prunus virginiana","var.","demissa","Alberta"
"2532","Rubus arcticus subsp. stellatus","Rubus","Rubus arcticus","subsp.","stellatus","Yukon"
"2533","Rosa nitida","Rosa","Rosa nitida","","","New Brunswick"
"2534","Rosa nitida","Rosa","Rosa nitida","","","Quebec"
"2535","Prunus pumila","Prunus","Prunus pumila","","","Saskatchewan"
"2536","Prunella vulgaris subsp. vulgaris","Prunella","Prunella vulgaris","subsp.","vulgaris","New Brunswick"
"2537","Rosa virginiana","Rosa","Rosa virginiana","","","Prince Edward Island"
"2538","Rosa palustris","Rosa","Rosa palustris","","","New Brunswick"
"2539","Prunus virginiana","Prunus","Prunus virginiana","","","Northwest Territories"
"2540","Populus trichocarpa","Populus","Populus trichocarpa","","","Yukon"
"2541","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Northwest Territories"
"2542","Ribes aureum","Ribes","Ribes aureum","","","New Brunswick"
"2543","Ribes sanguineum var. sanguineum","Ribes","Ribes sanguineum","var.","sanguineum","British Columbia"
"2544","Rubus allegheniensis","Rubus","Rubus allegheniensis","","","British Columbia"
"2545","Rosa woodsii subsp. ultramontana","Rosa","Rosa woodsii","subsp.","ultramontana","British Columbia"
"2546","Rhododendron groenlandicum","Rhododendron","Rhododendron groenlandicum","","","Nunavut"
"2547","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Yukon"
"2548","Ribes triste","Ribes","Ribes triste","","","Nova Scotia"
"2549","Rosa woodsii","Rosa","Rosa woodsii","","","Northwest Territories"
"2550","Ribes oxyacanthoides subsp. setosum","Ribes","Ribes oxyacanthoides","subsp.","setosum","Manitoba"
"2551","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Northwest Territories"
"2552","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","Northwest Territories"
"2553","Ribes lacustre","Ribes","Ribes lacustre","","","Northwest Territories"
"2554","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Ontario"
"2555","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Manitoba"
"2556","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","British Columbia"
"2557","Ribes hirtellum","Ribes","Ribes hirtellum","","","Alberta"
"2558","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Prince Edward Island"
"2559","Ribes oxyacanthoides","Ribes","Ribes oxyacanthoides","","","Nunavut"
"2560","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","Alberta"
"2561","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Nunavut"
"2562","Rosa carolina","Rosa","Rosa carolina","","","Prince Edward Island"
"2563","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","British Columbia"
"2564","Ribes aureum var. aureum","Ribes","Ribes aureum","var.","aureum","Alberta"
"2565","Ribes hirtellum","Ribes","Ribes hirtellum","","","Manitoba"
"2566","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","Yukon"
"2567","Ribes inerme","Ribes","Ribes inerme","","","Alberta"
"2568","Rosa nutkana subsp. macdougalii","Rosa","Rosa nutkana","subsp.","macdougalii","British Columbia"
"2569","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Manitoba"
"2570","Rosa nutkana subsp. nutkana","Rosa","Rosa nutkana","subsp.","nutkana","British Columbia"
"2571","Ribes lacustre","Ribes","Ribes lacustre","","","Saskatchewan"
"2572","Prunus virginiana var. demissa","Prunus","Prunus virginiana","var.","demissa","British Columbia"
"2573","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Northwest Territories"
"2574","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Saskatchewan"
"2575","Ribes divaricatum var. divaricatum","Ribes","Ribes divaricatum","var.","divaricatum","British Columbia"
"2576","Elymus spicatus","Elymus","Elymus spicatus","","","Yukon"
"2577","Rosa woodsii subsp. woodsii","Rosa","Rosa woodsii","subsp.","woodsii","British Columbia"
"2578","Rubus arcticus subsp. acaulis","Rubus","Rubus arcticus","subsp.","acaulis","Manitoba"
"2579","Rosa nutkana","Rosa","Rosa nutkana","","","Yukon"
"2580","Ribes hudsonianum var. hudsonianum","Ribes","Ribes hudsonianum","var.","hudsonianum","British Columbia"
"2581","Ribes oxyacanthoides subsp. cognatum","Ribes","Ribes oxyacanthoides","subsp.","cognatum","British Columbia"
"2582","Ribes inerme var. inerme","Ribes","Ribes inerme","var.","inerme","British Columbia"
"2583","Ribes oxyacanthoides subsp. oxyacanthoides","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides","Saskatchewan"
"2584","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Ontario"
"2585","Ribes laxiflorum","Ribes","Ribes laxiflorum","","","Alberta"
"2586","Rosa woodsii subsp. woodsii","Rosa","Rosa woodsii","subsp.","woodsii","Northwest Territories"
"2587","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Saskatchewan"
"2588","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","British Columbia"
"2589","Rosa woodsii subsp. woodsii","Rosa","Rosa woodsii","subsp.","woodsii","Saskatchewan"
"2590","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","Quebec"
"2591","Ribes hudsonianum var. hudsonianum","Ribes","Ribes hudsonianum","var.","hudsonianum","Quebec"
"2592","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","British Columbia"
"2593","Ribes inerme","Ribes","Ribes inerme","","","British Columbia"
"2594","Ribes divaricatum","Ribes","Ribes divaricatum","","","Alberta"
"2595","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Newfoundland and Labrador"
"2596","Rhododendron neoglandulosum","Rhododendron","Rhododendron neoglandulosum","","","Alberta"
"2597","Rubus arcticus","Rubus","Rubus arcticus","","","Nunavut"
"2598","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","New Brunswick"
"2599","Prunus pumila var. besseyi","Prunus","Prunus pumila","var.","besseyi","Manitoba"
"2600","Rosa palustris","Rosa","Rosa palustris","","","Quebec"
"2601","Rorippa aquatica","Rorippa","Rorippa aquatica","","","Quebec"
"2602","Rubus recurvicaulis","Rubus","Rubus recurvicaulis","","","Nova Scotia"
"2603","Rubus paracaulis","Rubus","Rubus paracaulis","","","Ontario"
"2604","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","Northwest Territories"
"2605","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Nunavut"
"2606","Rubus recurvicaulis","Rubus","Rubus recurvicaulis","","","Quebec"
"2607","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Nunavut"
"2608","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","Alberta"
"2609","Prunus pensylvanica","Prunus","Prunus pensylvanica","","","Northwest Territories"
"2610","Ribes lacustre","Ribes","Ribes lacustre","","","Manitoba"
"2611","Rosa blanda","Rosa","Rosa blanda","","","Northwest Territories"
"2612","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Ontario"
"2613","Ribes hudsonianum","Ribes","Ribes hudsonianum","","","Quebec"
"2614","Rubus paracaulis","Rubus","Rubus paracaulis","","","Saskatchewan"
"2615","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Newfoundland and Labrador"
"2616","Ribes hirtellum","Ribes","Ribes hirtellum","","","Newfoundland and Labrador"
"2617","Rubus paracaulis","Rubus","Rubus paracaulis","","","Quebec"
"2618","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Yukon"
"2619","Rubus arcticus subsp. stellatus","Rubus","Rubus arcticus","subsp.","stellatus","Alberta"
"2620","Ribes aureum var. villosum","Ribes","Ribes aureum","var.","villosum","Ontario"
"2621","Argentina anserina subsp. groenlandica","Argentina","Argentina anserina","subsp.","groenlandica","Manitoba"
"2622","Prunus pumila var. pumila","Prunus","Prunus pumila","var.","pumila","Manitoba"
"2623","Prunella vulgaris","Prunella","Prunella vulgaris","","","Yukon"
"2624","Rubus paracaulis","Rubus","Rubus paracaulis","","","Alberta"
"2625","Quercus rubra","Quercus","Quercus rubra","","","Alberta"
"2626","Prunella vulgaris subsp. lanceolata","Prunella","Prunella vulgaris","subsp.","lanceolata","Nova Scotia"
"2627","Rosa virginiana","Rosa","Rosa virginiana","","","Ontario"
"2628","Elymus spicatus","Elymus","Elymus spicatus","","","Alberta"
"2629","Ribes oxyacanthoides","Ribes","Ribes oxyacanthoides","","","Quebec"
"2630","Prunus virginiana var. virginiana","Prunus","Prunus virginiana","var.","virginiana","Quebec"
"2631","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","Manitoba"
"2632","Rosa blanda","Rosa","Rosa blanda","","","Alberta"
