"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"598","Astragalus kentrophyta","Astragalus","Astragalus kentrophyta","","","Alberta"
"599","Astragalus laxmannii","Astragalus","Astragalus laxmannii","","","Yukon"
"600","Blitum capitatum subsp. capitatum","Blitum","Blitum capitatum","subsp.","capitatum","Yukon"
"601","Astragalus laxmannii","Astragalus","Astragalus laxmannii","","","British Columbia"
"602","Astragalus beckwithii","Astragalus","Astragalus beckwithii","","","British Columbia"
"603","Astragalus americanus","Astragalus","Astragalus americanus","","","Northwest Territories"
"604","Astragalus canadensis","Astragalus","Astragalus canadensis","","","Northwest Territories"
"605","Astragalus bourgovii","Astragalus","Astragalus bourgovii","","","Alberta"
"606","Caltha leptosepala","Caltha","Caltha leptosepala","","","Yukon"
"607","Astragalus robbinsii var. minor","Astragalus","Astragalus robbinsii","var.","minor","British Columbia"
"608","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","British Columbia"
"609","Betula papyrifera","Betula","Betula papyrifera","","","Yukon"
"610","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","Quebec"
"611","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Quebec"
"612","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Newfoundland and Labrador"
"613","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Nunavut"
"614","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","Nunavut"
"615","Bromus sitchensis","Bromus","Bromus sitchensis","","","British Columbia"
"616","Blitum capitatum","Blitum","Blitum capitatum","","","Quebec"
"617","Calypso bulbosa","Calypso","Calypso bulbosa","","","Yukon"
"618","Bromus anomalus","Bromus","Bromus anomalus","","","Alberta"
"619","Bromus porteri","Bromus","Bromus porteri","","","Alberta"
"620","Camassia quamash subsp. quamash","Camassia","Camassia quamash","subsp.","quamash","Alberta"
"621","Bromus anomalus","Bromus","Bromus anomalus","","","British Columbia"
"622","Astragalus miser","Astragalus","Astragalus miser","","","Alberta"
"623","Blitum capitatum subsp. capitatum","Blitum","Blitum capitatum","subsp.","capitatum","Alberta"
"624","Carya ovalis","Carya","Carya ovalis","","","Ontario"
"625","Astragalus tenellus","Astragalus","Astragalus tenellus","","","Northwest Territories"
"626","Astragalus tenellus","Astragalus","Astragalus tenellus","","","British Columbia"
"627","Calypso bulbosa","Calypso","Calypso bulbosa","","","Northwest Territories"
"628","Astragalus vexilliflexus","Astragalus","Astragalus vexilliflexus","","","Saskatchewan"
"629","Astragalus robbinsii","Astragalus","Astragalus robbinsii","","","Alberta"
"630","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","Alberta"
"631","Astragalus missouriensis","Astragalus","Astragalus missouriensis","","","Manitoba"
"632","Betula occidentalis","Betula","Betula occidentalis","","","Nunavut"
"633","Astragalus robbinsii","Astragalus","Astragalus robbinsii","","","Nova Scotia"
"634","Astragalus robbinsii var. minor","Astragalus","Astragalus robbinsii","var.","minor","Nova Scotia"
"635","Calypso bulbosa var. americana","Calypso","Calypso bulbosa","var.","americana","Newfoundland and Labrador"
"636","Astragalus filipes","Astragalus","Astragalus filipes","","","British Columbia"
"637","Astragalus miser var. serotinus","Astragalus","Astragalus miser","var.","serotinus","British Columbia"
"638","Bromus ciliatus","Bromus","Bromus ciliatus","","","Northwest Territories"
"639","Astragalus bodinii","Astragalus","Astragalus bodinii","","","Newfoundland and Labrador"
"640","Astragalus tenellus","Astragalus","Astragalus tenellus","","","Ontario"
"641","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","British Columbia"
"642","Bromus marginatus","Bromus","Bromus marginatus","","","Saskatchewan"
"643","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Yukon"
"644","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","British Columbia"
"645","Astragalus miser var. serotinus","Astragalus","Astragalus miser","var.","serotinus","Alberta"
"646","Bromus marginatus","Bromus","Bromus marginatus","","","Alberta"
"647","Bromus porteri","Bromus","Bromus porteri","","","British Columbia"
"648","Astragalus lentiginosus var. salinus","Astragalus","Astragalus lentiginosus","var.","salinus","British Columbia"
"649","Astragalus canadensis var. brevidens","Astragalus","Astragalus canadensis","var.","brevidens","British Columbia"
"650","Astragalus robbinsii var. minor","Astragalus","Astragalus robbinsii","var.","minor","Yukon"
"651","Bromus ciliatus","Bromus","Bromus ciliatus","","","Yukon"
"652","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Quebec"
"653","Astragalus canadensis var. canadensis","Astragalus","Astragalus canadensis","var.","canadensis","British Columbia"
"654","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","British Columbia"
"655","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Alberta"
"656","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","British Columbia"
"657","Astragalus vexilliflexus var. vexilliflexus","Astragalus","Astragalus vexilliflexus","var.","vexilliflexus","British Columbia"
"658","Astragalus lentiginosus","Astragalus","Astragalus lentiginosus","","","British Columbia"
"659","Astragalus beckwithii var. weiserensis","Astragalus","Astragalus beckwithii","var.","weiserensis","British Columbia"
"660","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Ontario"
"661","Astragalus purshii var. glareosus","Astragalus","Astragalus purshii","var.","glareosus","British Columbia"
"662","Astragalus lotiflorus","Astragalus","Astragalus lotiflorus","","","British Columbia"
"663","Astragalus collinus var. collinus","Astragalus","Astragalus collinus","var.","collinus","British Columbia"
"664","Astragalus canadensis var. mortonii","Astragalus","Astragalus canadensis","var.","mortonii","British Columbia"
"665","Bromus sitchensis var. aleutensis","Bromus","Bromus sitchensis","var.","aleutensis","British Columbia"
"666","Bromus sitchensis var. sitchensis","Bromus","Bromus sitchensis","var.","sitchensis","British Columbia"
"667","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Saskatchewan"
"668","Bromus anomalus","Bromus","Bromus anomalus","","","Ontario"
"669","Astragalus bodinii","Astragalus","Astragalus bodinii","","","Northwest Territories"
"670","Astragalus purshii var. purshii","Astragalus","Astragalus purshii","var.","purshii","Saskatchewan"
"671","Astragalus robbinsii var. minor","Astragalus","Astragalus robbinsii","var.","minor","Alberta"
"672","Astragalus vexilliflexus var. vexilliflexus","Astragalus","Astragalus vexilliflexus","var.","vexilliflexus","Alberta"
"673","Astragalus bisulcatus var. bisulcatus","Astragalus","Astragalus bisulcatus","var.","bisulcatus","Alberta"
"674","Astragalus flexuosus var. flexuosus","Astragalus","Astragalus flexuosus","var.","flexuosus","Alberta"
"675","Astragalus lotiflorus","Astragalus","Astragalus lotiflorus","","","Alberta"
"676","Astragalus bisulcatus var. bisulcatus","Astragalus","Astragalus bisulcatus","var.","bisulcatus","Saskatchewan"
"677","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Northwest Territories"
"678","Astragalus flexuosus var. flexuosus","Astragalus","Astragalus flexuosus","var.","flexuosus","Saskatchewan"
"679","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","Yukon"
"680","Astragalus canadensis var. canadensis","Astragalus","Astragalus canadensis","var.","canadensis","Northwest Territories"
"681","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Alberta"
"682","Astragalus alpinus var. brunetianus","Astragalus","Astragalus alpinus","var.","brunetianus","Quebec"
"683","Astragalus laxmannii var. tananaicus","Astragalus","Astragalus laxmannii","var.","tananaicus","Yukon"
"684","Astragalus umbellatus","Astragalus","Astragalus umbellatus","","","Nunavut"
"685","Astragalus canadensis var. canadensis","Astragalus","Astragalus canadensis","var.","canadensis","Alberta"
"686","Astragalus crassicarpus var. crassicarpus","Astragalus","Astragalus crassicarpus","var.","crassicarpus","Alberta"
"687","Astragalus bisulcatus var. bisulcatus","Astragalus","Astragalus bisulcatus","var.","bisulcatus","Manitoba"
"688","Astragalus eucosmus","Astragalus","Astragalus eucosmus","","","Alberta"
"689","Astragalus missouriensis var. missouriensis","Astragalus","Astragalus missouriensis","var.","missouriensis","Alberta"
"690","Astragalus alpinus var. alpinus","Astragalus","Astragalus alpinus","var.","alpinus","Yukon"
"691","Calamagrostis canadensis","Calamagrostis","Calamagrostis canadensis","","","Nunavut"
"692","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","Northwest Territories"
"693","Carya ovata var. ovata","Carya","Carya ovata","var.","ovata","Ontario"
"694","Astragalus kentrophyta","Astragalus","Astragalus kentrophyta","","","Saskatchewan"
"695","Astragalus laxmannii","Astragalus","Astragalus laxmannii","","","Northwest Territories"
"696","Astragalus racemosus","Astragalus","Astragalus racemosus","","","Saskatchewan"
"697","Bromus ciliatus","Bromus","Bromus ciliatus","","","Prince Edward Island"
"698","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Northwest Territories"
"699","Astragalus crassicarpus var. crassicarpus","Astragalus","Astragalus crassicarpus","var.","crassicarpus","Manitoba"
"700","Calypso bulbosa","Calypso","Calypso bulbosa","","","Quebec"
"701","Betula papyrifera","Betula","Betula papyrifera","","","Nunavut"
"702","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","Manitoba"
"703","Bromus anomalus","Bromus","Bromus anomalus","","","Manitoba"
"704","Calamagrostis canadensis var. macouniana","Calamagrostis","Calamagrostis canadensis","var.","macouniana","Manitoba"
"705","Astragalus robbinsii var. fernaldii","Astragalus","Astragalus robbinsii","var.","fernaldii","Ontario"
"706","Astragalus bisulcatus","Astragalus","Astragalus bisulcatus","","","Manitoba"
"707","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","Manitoba"
"708","Calypso bulbosa","Calypso","Calypso bulbosa","","","Manitoba"
"709","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Manitoba"
"710","Astragalus canadensis","Astragalus","Astragalus canadensis","","","Yukon"
"711","Astragalus laxmannii var. tananaicus","Astragalus","Astragalus laxmannii","var.","tananaicus","Alberta"
"712","Astragalus americanus","Astragalus","Astragalus americanus","","","Manitoba"
"713","Camassia quamash subsp. quamash","Camassia","Camassia quamash","subsp.","quamash","British Columbia"
"714","Calamagrostis canadensis var. macouniana","Calamagrostis","Calamagrostis canadensis","var.","macouniana","New Brunswick"
"715","Calypso bulbosa","Calypso","Calypso bulbosa","","","New Brunswick"
"716","Astragalus bodinii","Astragalus","Astragalus bodinii","","","Manitoba"
"717","Astragalus laxmannii var. robustior","Astragalus","Astragalus laxmannii","var.","robustior","Saskatchewan"
"718","Astragalus neglectus","Astragalus","Astragalus neglectus","","","Quebec"
"719","Bromus vulgaris","Bromus","Bromus vulgaris","","","Alberta"
"720","Calamagrostis canadensis var. macouniana","Calamagrostis","Calamagrostis canadensis","var.","macouniana","Newfoundland and Labrador"
"721","Betula lenta","Betula","Betula lenta","","","Quebec"
"722","Astragalus kentrophyta var. kentrophyta","Astragalus","Astragalus kentrophyta","var.","kentrophyta","Alberta"
"723","Astragalus crassicarpus","Astragalus","Astragalus crassicarpus","","","British Columbia"
"724","Bromus anomalus","Bromus","Bromus anomalus","","","Saskatchewan"
"725","Bromus kalmii","Bromus","Bromus kalmii","","","Alberta"
"726","Astragalus robbinsii","Astragalus","Astragalus robbinsii","","","Quebec"
"727","Astragalus robbinsii","Astragalus","Astragalus robbinsii","","","Northwest Territories"
"728","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Nova Scotia"
"729","Carya ovata var. ovata","Carya","Carya ovata","var.","ovata","Quebec"
"730","Astragalus alpinus","Astragalus","Astragalus alpinus","","","New Brunswick"
"731","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","Ontario"
"732","Blitum capitatum","Blitum","Blitum capitatum","","","New Brunswick"
"733","Carya ovalis","Carya","Carya ovalis","","","Nova Scotia"
"734","Calamagrostis canadensis var. canadensis","Calamagrostis","Calamagrostis canadensis","var.","canadensis","Newfoundland and Labrador"
"735","Calamagrostis canadensis var. macouniana","Calamagrostis","Calamagrostis canadensis","var.","macouniana","Quebec"
"736","Bromus pubescens","Bromus","Bromus pubescens","","","Quebec"
"737","Bromus pubescens","Bromus","Bromus pubescens","","","New Brunswick"
"738","Bromus marginatus","Bromus","Bromus marginatus","","","Quebec"
"739","Blitum nuttallianum","Blitum","Blitum nuttallianum","","","Nova Scotia"
"740","Astragalus americanus","Astragalus","Astragalus americanus","","","Quebec"
"741","Astragalus neglectus","Astragalus","Astragalus neglectus","","","Manitoba"
"742","Bromus kalmii","Bromus","Bromus kalmii","","","New Brunswick"
"743","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Nunavut"
"744","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","British Columbia"
"745","Elymus canadensis","Elymus","Elymus canadensis","","","Ontario"
"746","Cornus canadensis","Cornus","Cornus canadensis","","","Saskatchewan"
"747","Cornus sericea","Cornus","Cornus sericea","","","British Columbia"
"748","Cornus sericea","Cornus","Cornus sericea","","","Ontario"
"749","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","British Columbia"
"750","Empetrum nigrum","Empetrum","Empetrum nigrum","","","British Columbia"
"751","Cornus canadensis","Cornus","Cornus canadensis","","","Nova Scotia"
"752","Comarum palustre","Comarum","Comarum palustre","","","British Columbia"
"753","Corylus cornuta","Corylus","Corylus cornuta","","","Ontario"
"754","Claytonia sibirica","Claytonia","Claytonia sibirica","","","British Columbia"
"755","Dicentra formosa","Dicentra","Dicentra formosa","","","British Columbia"
"756","Cornus sericea","Cornus","Cornus sericea","","","Manitoba"
"757","Cornus unalaschkensis","Cornus","Cornus unalaschkensis","","","British Columbia"
"758","Elymus virginicus","Elymus","Elymus virginicus","","","Ontario"
"759","Cornus canadensis","Cornus","Cornus canadensis","","","Ontario"
"760","Cornus canadensis","Cornus","Cornus canadensis","","","British Columbia"
"761","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Nova Scotia"
"762","Castanea dentata","Castanea","Castanea dentata","","","Ontario"
"763","Cornus canadensis","Cornus","Cornus canadensis","","","Alberta"
"764","Cornus canadensis","Cornus","Cornus canadensis","","","Quebec"
"765","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Ontario"
"766","Celtis occidentalis","Celtis","Celtis occidentalis","","","Ontario"
"767","Elymus villosus","Elymus","Elymus villosus","","","Ontario"
"768","Crataegus douglasii","Crataegus","Crataegus douglasii","","","British Columbia"
"769","Corylus cornuta","Corylus","Corylus cornuta","","","Quebec"
"770","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Nova Scotia"
"771","Corylus cornuta","Corylus","Corylus cornuta","","","Nova Scotia"
"772","Cornus canadensis","Cornus","Cornus canadensis","","","New Brunswick"
"773","Cornus sericea","Cornus","Cornus sericea","","","Nova Scotia"
"774","Elymus hystrix","Elymus","Elymus hystrix","","","Ontario"
"775","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Manitoba"
"776","Cornus sericea","Cornus","Cornus sericea","","","Alberta"
"777","Cornus canadensis","Cornus","Cornus canadensis","","","Newfoundland and Labrador"
"778","Cornus sericea","Cornus","Cornus sericea","","","Quebec"
"779","Panicum linearifolium","Panicum","Panicum linearifolium","","","Ontario"
"780","Comarum palustre","Comarum","Comarum palustre","","","Ontario"
"781","Empetrum nigrum","Empetrum","Empetrum nigrum","","","New Brunswick"
"782","Comarum palustre","Comarum","Comarum palustre","","","Alberta"
"783","Cornus sericea","Cornus","Cornus sericea","","","New Brunswick"
"784","Crataegus macracantha","Crataegus","Crataegus macracantha","","","Quebec"
"785","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Alberta"
"786","Corylus cornuta","Corylus","Corylus cornuta","","","Prince Edward Island"
"787","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Yukon"
"788","Drymocallis glandulosa","Drymocallis","Drymocallis glandulosa","","","Alberta"
"789","Panicum xanthophysum","Panicum","Panicum xanthophysum","","","Ontario"
"790","Elymus canadensis","Elymus","Elymus canadensis","","","Saskatchewan"
"791","Cornus sericea subsp. occidentalis","Cornus","Cornus sericea","subsp.","occidentalis","British Columbia"
"792","Corylus americana","Corylus","Corylus americana","","","Ontario"
"793","Corylus cornuta","Corylus","Corylus cornuta","","","British Columbia"
"794","Cornus amomum","Cornus","Cornus amomum","","","Quebec"
"795","Cornus canadensis","Cornus","Cornus canadensis","","","Prince Edward Island"
"796","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Alberta"
"797","Corylus cornuta","Corylus","Corylus cornuta","","","Alberta"
"798","Cornus canadensis","Cornus","Cornus canadensis","","","Manitoba"
"799","Cornus sericea","Cornus","Cornus sericea","","","Prince Edward Island"
"800","Cornus suecica","Cornus","Cornus suecica","","","Nova Scotia"
"801","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Manitoba"
"802","Claytonia lanceolata","Claytonia","Claytonia lanceolata","","","British Columbia"
"803","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Newfoundland and Labrador"
"804","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","New Brunswick"
"805","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Ontario"
"806","Cornus canadensis","Cornus","Cornus canadensis","","","Yukon"
"807","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","Ontario"
"808","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Nova Scotia"
"809","Corylus cornuta","Corylus","Corylus cornuta","","","Manitoba"
"810","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Quebec"
"811","Celtis occidentalis","Celtis","Celtis occidentalis","","","Quebec"
"812","Elymus virginicus","Elymus","Elymus virginicus","","","New Brunswick"
"813","Elymus virginicus","Elymus","Elymus virginicus","","","Nova Scotia"
"814","Claytonia virginica","Claytonia","Claytonia virginica","","","Ontario"
"815","Comarum palustre","Comarum","Comarum palustre","","","Nova Scotia"
"816","Elymus canadensis","Elymus","Elymus canadensis","","","Manitoba"
"817","Elymus violaceus","Elymus","Elymus violaceus","","","Ontario"
"818","Elymus glaucus subsp. virescens","Elymus","Elymus glaucus","subsp.","virescens","British Columbia"
"819","Elymus sibiricus","Elymus","Elymus sibiricus","","","Ontario"
"820","Elymus virginicus","Elymus","Elymus virginicus","","","Quebec"
"821","Elymus canadensis","Elymus","Elymus canadensis","","","Alberta"
"822","Chenopodium berlandieri var. zschackei","Chenopodium","Chenopodium berlandieri","var.","zschackei","Northwest Territories"
"823","Comarum palustre","Comarum","Comarum palustre","","","Yukon"
"824","Dioscorea villosa","Dioscorea","Dioscorea villosa","","","Ontario"
"825","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Quebec"
"826","Elymus violaceus","Elymus","Elymus violaceus","","","Yukon"
"827","Celtis occidentalis","Celtis","Celtis occidentalis","","","Manitoba"
"828","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","New Brunswick"
"829","Corylus cornuta","Corylus","Corylus cornuta","","","New Brunswick"
"830","Cornus sericea","Cornus","Cornus sericea","","","Newfoundland and Labrador"
"831","Elymus violaceus","Elymus","Elymus violaceus","","","Saskatchewan"
"832","Corylus americana","Corylus","Corylus americana","","","Manitoba"
"833","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Yukon"
"834","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Quebec"
"835","Cornus sericea","Cornus","Cornus sericea","","","Saskatchewan"
"836","Cornus sericea","Cornus","Cornus sericea","","","Yukon"
"837","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Alberta"
"838","Claytonia perfoliata","Claytonia","Claytonia perfoliata","","","British Columbia"
"839","Elymus albicans","Elymus","Elymus albicans","","","Saskatchewan"
"840","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","Quebec"
"841","Cornus sericea","Cornus","Cornus sericea","","","Northwest Territories"
"842","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Saskatchewan"
"843","Elymus lanceolatus subsp. lanceolatus","Elymus","Elymus lanceolatus","subsp.","lanceolatus","Saskatchewan"
"844","Drymocallis glandulosa","Drymocallis","Drymocallis glandulosa","","","British Columbia"
"845","Elymus lanceolatus","Elymus","Elymus lanceolatus","","","Saskatchewan"
"846","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Prince Edward Island"
"847","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Saskatchewan"
"848","Comarum palustre","Comarum","Comarum palustre","","","Prince Edward Island"
"849","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Newfoundland and Labrador"
"850","Claytonia lanceolata","Claytonia","Claytonia lanceolata","","","Alberta"
"851","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Northwest Territories"
"852","Crataegus douglasii","Crataegus","Crataegus douglasii","","","Ontario"
"853","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Yukon"
"854","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Ontario"
"855","Cornus amomum","Cornus","Cornus amomum","","","Ontario"
"856","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Northwest Territories"
"857","Elymus violaceus","Elymus","Elymus violaceus","","","Quebec"
"858","Elymus violaceus","Elymus","Elymus violaceus","","","British Columbia"
"859","Crataegus macracantha","Crataegus","Crataegus macracantha","","","British Columbia"
"860","Cornus suecica","Cornus","Cornus suecica","","","Newfoundland and Labrador"
"861","Comarum palustre","Comarum","Comarum palustre","","","Newfoundland and Labrador"
"862","Comarum palustre","Comarum","Comarum palustre","","","Quebec"
"863","Chamaenerion angustifolium","Chamaenerion","Chamaenerion angustifolium","","","Newfoundland and Labrador"
"864","Dasiphora fruticosa","Dasiphora","Dasiphora fruticosa","","","Saskatchewan"
"865","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Northwest Territories"
"866","Elymus lanceolatus subsp. psammophilus","Elymus","Elymus lanceolatus","subsp.","psammophilus","Ontario"
"867","Elymus elymoides","Elymus","Elymus elymoides","","","British Columbia"
"868","Chenopodium desiccatum","Chenopodium","Chenopodium desiccatum","","","Saskatchewan"
"869","Chenopodium watsonii","Chenopodium","Chenopodium watsonii","","","Saskatchewan"
"870","Claytonia virginica","Claytonia","Claytonia virginica","","","Quebec"
"871","Elymus diversiglumis","Elymus","Elymus diversiglumis","","","Manitoba"
"872","Chenopodium leptophyllum","Chenopodium","Chenopodium leptophyllum","","","Saskatchewan"
"873","Comarum palustre","Comarum","Comarum palustre","","","Saskatchewan"
"874","Cornus canadensis","Cornus","Cornus canadensis","","","Northwest Territories"
"875","Comarum palustre","Comarum","Comarum palustre","","","Northwest Territories"
"876","Daucus pusillus","Daucus","Daucus pusillus","","","British Columbia"
"877","Panicum wilcoxianum","Panicum","Panicum wilcoxianum","","","Saskatchewan"
"878","Chenopodium berlandieri var. zschackei","Chenopodium","Chenopodium berlandieri","var.","zschackei","Quebec"
"879","Chenopodium berlandieri var. zschackei","Chenopodium","Chenopodium berlandieri","var.","zschackei","Ontario"
"880","Cornus suecica","Cornus","Cornus suecica","","","Quebec"
"881","Corylus cornuta","Corylus","Corylus cornuta","","","Saskatchewan"
"882","Corylus cornuta","Corylus","Corylus cornuta","","","Newfoundland and Labrador"
"883","Elymus canadensis","Elymus","Elymus canadensis","","","Quebec"
"884","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Prince Edward Island"
"885","Elymus curvatus","Elymus","Elymus curvatus","","","Ontario"
"886","Panicum acuminatum","Panicum","Panicum acuminatum","","","Ontario"
"887","Elymus alaskanus subsp. alaskanus","Elymus","Elymus alaskanus","subsp.","alaskanus","Northwest Territories"
"888","Claytonia perfoliata subsp. perfoliata","Claytonia","Claytonia perfoliata","subsp.","perfoliata","British Columbia"
"889","Elymus riparius","Elymus","Elymus riparius","","","Ontario"
"890","Elymus virginicus","Elymus","Elymus virginicus","","","Manitoba"
"891","Elymus alaskanus","Elymus","Elymus alaskanus","","","Nunavut"
"892","Elymus violaceus","Elymus","Elymus violaceus","","","Northwest Territories"
"893","Elymus lanceolatus subsp. psammophilus","Elymus","Elymus lanceolatus","subsp.","psammophilus","Yukon"
"894","Elymus hystrix","Elymus","Elymus hystrix","","","Quebec"
"895","Elymus glaucus","Elymus","Elymus glaucus","","","British Columbia"
"896","Claytonia megarhiza","Claytonia","Claytonia megarhiza","","","Alberta"
"897","Comarum palustre","Comarum","Comarum palustre","","","Nunavut"
"898","Panicum boreale","Panicum","Panicum boreale","","","Ontario"
"899","Comarum palustre","Comarum","Comarum palustre","","","New Brunswick"
"900","Panicum depauperatum","Panicum","Panicum depauperatum","","","Ontario"
"901","Comarum palustre","Comarum","Comarum palustre","","","Manitoba"
"902","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","New Brunswick"
"903","Crataegus douglasii","Crataegus","Crataegus douglasii","","","Alberta"
"904","Crataegus macracantha","Crataegus","Crataegus macracantha","","","Ontario"
"905","Elymus glaucus subsp. glaucus","Elymus","Elymus glaucus","subsp.","glaucus","British Columbia"
"906","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","Nova Scotia"
"907","Chenopodium leptophyllum","Chenopodium","Chenopodium leptophyllum","","","British Columbia"
"908","Cornus sericea subsp. sericea","Cornus","Cornus sericea","subsp.","sericea","British Columbia"
"909","Elymus violaceus","Elymus","Elymus violaceus","","","Nova Scotia"
"910","Elymus violaceus","Elymus","Elymus violaceus","","","Manitoba"
"911","Corylus cornuta subsp. californica","Corylus","Corylus cornuta","subsp.","californica","British Columbia"
"912","Elymus canadensis","Elymus","Elymus canadensis","","","British Columbia"
"913","Empetrum nigrum subsp. hermaphroditum","Empetrum","Empetrum nigrum","subsp.","hermaphroditum","Manitoba"
"914","Elymus curvatus","Elymus","Elymus curvatus","","","Manitoba"
"915","Elymus alaskanus","Elymus","Elymus alaskanus","","","Northwest Territories"
"916","Elymus macrourus","Elymus","Elymus macrourus","","","Northwest Territories"
"917","Elymus violaceus","Elymus","Elymus violaceus","","","Alberta"
"918","Elymus lanceolatus","Elymus","Elymus lanceolatus","","","British Columbia"
"919","Elymus virginicus","Elymus","Elymus virginicus","","","Alberta"
"920","Panicum acuminatum","Panicum","Panicum acuminatum","","","Quebec"
"921","Elymus riparius","Elymus","Elymus riparius","","","Quebec"
"922","Elymus villosus","Elymus","Elymus villosus","","","Quebec"
"923","Claytonia caroliniana","Claytonia","Claytonia caroliniana","","","Newfoundland and Labrador"
"924","Claytonia lanceolata","Claytonia","Claytonia lanceolata","","","Saskatchewan"
"925","Elymus virginicus var. intermedius","Elymus","Elymus virginicus","var.","intermedius","Ontario"
"926","Elymus violaceus","Elymus","Elymus violaceus","","","Newfoundland and Labrador"
"927","Elymus canadensis","Elymus","Elymus canadensis","","","Northwest Territories"
"928","Elymus virginicus var. virginicus","Elymus","Elymus virginicus","var.","virginicus","Ontario"
"929","Elymus lanceolatus","Elymus","Elymus lanceolatus","","","Alberta"
"930","Elymus virginicus var. virginicus","Elymus","Elymus virginicus","var.","virginicus","Nova Scotia"
"931","Crataegus douglasii","Crataegus","Crataegus douglasii","","","Saskatchewan"
"932","Empetrum nigrum","Empetrum","Empetrum nigrum","","","Manitoba"
"933","Elymus lanceolatus subsp. lanceolatus","Elymus","Elymus lanceolatus","subsp.","lanceolatus","British Columbia"
"934","Elymus hirsutus","Elymus","Elymus hirsutus","","","British Columbia"
