issue,new_taxon,TAXON,GENUS,SPECIES,RANK,INFRASPECIFC,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,CATEGORY,TIER,GENEPOOL,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
misspelling,Phalaris arundinacea var. arundinacea,Phalaris arundinacea var. arundinaceae,Phalaris,Phalaris arundinacea,var.,arundinaceae,Canary Grass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,Restoration,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
misspelling,Poa gaspensis,Poa ×gaspensis,Poa,Poa ×gaspensis,NA,NA,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa pattersonii,Poa abbreviata subsp. pattersonii,Poa,Poa abbreviata,subsp.,pattersonii,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa tolmatchewii,Poa arctica subsp. caespitans,Poa,Poa arctica,subsp.,caespitans,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa lanata,Poa arctica subsp. lanata,Poa,Poa arctica,subsp.,lanata,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa hartzii,Poa hartzii subsp. vrangelica,Poa,Poa hartzii,subsp.,vrangelica,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa alpigena,Poa pratensis subsp. alpigena,Poa,Poa pratensis,subsp.,alpigena,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa angustifolia,Poa pratensis subsp. angustifolia,Poa,Poa pratensis,subsp.,angustifolia,Bluegrass,NA,Y,Y,N,,N,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa humilis,Poa pratensis subsp. irrigata,Poa,Poa pratensis,subsp.,irrigata,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa juncifolia,Poa secunda subsp. juncifolia,Poa,Poa secunda,subsp.,juncifolia,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Poa stenantha var. stenantha,Poa stenantha subsp. stenantha,Poa,Poa stenantha,subsp.,stenantha,Bluegrass,NA,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,2,NA,,,,,,,,,,,Davidson 1995,,
synonym,Argentina anserina subsp. anserina,Potentilla anserina subsp. anserina,Potentilla,Potentilla anserina,subsp.,anserina,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. groenlandica,Potentilla anserina subsp. groenlandica,Potentilla,Potentilla anserina,subsp.,groenlandica,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. pacifica,Potentilla anserina subsp. pacifica,Potentilla,Potentilla anserina,subsp.,pacifica,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Argentina anserina subsp. anserina,Potentilla anserina subsp. yukonensis,Potentilla,Potentilla anserina,subsp.,yukonensis,Potentilla,NA,Y,N,Y,,Y,Food,Cultural,NA,Vegetables,Medicinals,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
synonym,Prunus depressa,Prunus pumila var. depressa,Prunus,Prunus pumila,var.,depressa,"Apricot, Cherry, Peach, Plum",Almond,Y,Y,N,,Y,Food,Cultural,Food,Fruits,Ornamentals,Materials,Nuts,1A,1,Progenitor,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Prunus susquehanae,Prunus pumila var. susquehanae,Prunus,Prunus pumila,var.,susquehanae,"Apricot, Cherry, Peach, Plum",Almond,Y,Y,N,,Y,Food,Cultural,Food,Fruits,Ornamentals,Materials,Nuts,1A,1,Progenitor,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
synonym,Elymus spicatus,Pseudoroegneria spicata,Pseudoroegneria,Pseudoroegneria spicata,NA,NA,Wheat,NA,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1C,1,Assume distant,,,,,,,,,,,Davidson 1995,,
misspelling,Ribes aureum var. villosum,Ribes aureum var. vilosum,Ribes,Ribes aureum,var.,vilosum,"Currant, Gooseberry",NA,Y,Y,Y,fruit,N,Food,,NA,Fruits,Ornamentals,,NA,1A,1,Tertiary,Graftstock,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
