TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,British Columbia
Elymus elymoides subsp. californicus,Elymus,Elymus elymoides,subsp.,californicus,British Columbia
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,British Columbia
Elymus glaucus,Elymus,Elymus glaucus,,,Alberta
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,British Columbia
Elymus glaucus,Elymus,Elymus glaucus,,,Northwest Territories
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Yukon
Elymus sibiricus,Elymus,Elymus sibiricus,,,Alberta
Elymus sibiricus,Elymus,Elymus sibiricus,,,British Columbia
Elymus macrourus,Elymus,Elymus macrourus,,,Yukon
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Saskatchewan
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Yukon
Elymus alaskanus,Elymus,Elymus alaskanus,,,Yukon
Elymus albicans,Elymus,Elymus albicans,,,British Columbia
Empetrum nigrum subsp. nigrum,Empetrum,Empetrum nigrum,subsp.,nigrum,Quebec
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,elymoides,British Columbia
Elymus alaskanus,Elymus,Elymus alaskanus,,,British Columbia
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,British Columbia
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,British Columbia
Elymus macrourus,Elymus,Elymus macrourus,,,British Columbia
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Yukon
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Yukon
Elymus virginicus,Elymus,Elymus virginicus,,,Saskatchewan
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Nova Scotia
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,Yukon
Claytonia caroliniana,Claytonia,Claytonia caroliniana,,,Prince Edward Island
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Alberta
Chenopodium berlandieri var. macrocalycium,Chenopodium,Chenopodium berlandieri,var.,macrocalycium,Nova Scotia
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Nova Scotia
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,Nova Scotia
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Nova Scotia
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Prince Edward Island
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Prince Edward Island
Elymus violaceus,Elymus,Elymus violaceus,,,Prince Edward Island
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Nunavut
Corylus americana,Corylus,Corylus americana,,,Quebec
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,New Brunswick
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Quebec
Elymus alaskanus,Elymus,Elymus alaskanus,,,Alberta
Elymus glaucus,Elymus,Elymus glaucus,,,Saskatchewan
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Manitoba
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Nunavut
Elymus glaucus,Elymus,Elymus glaucus,,,Ontario
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Ontario
Cornus sericea subsp. sericea,Cornus,Cornus sericea,subsp.,sericea,Newfoundland and Labrador
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Manitoba
Elymus scribneri,Elymus,Elymus scribneri,,,Alberta
Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,British Columbia
Panicum sphaerocarpon,Panicum,Panicum sphaerocarpon,,,Ontario
Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,,,Quebec
Elymus macrourus,Elymus,Elymus macrourus,,,Ontario
Elymus elymoides subsp. elymoides,Elymus,Elymus elymoides,subsp.,elymoides,Saskatchewan
Elymus hystrix,Elymus,Elymus hystrix,,,Manitoba
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Manitoba
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Manitoba
Elymus lanceolatus,Elymus,Elymus lanceolatus,,,Manitoba
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Newfoundland and Labrador
Elymus sibiricus,Elymus,Elymus sibiricus,,,Yukon
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Yukon
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Yukon
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Northwest Territories
Elymus sibiricus,Elymus,Elymus sibiricus,,,Northwest Territories
Elymus glaucus subsp. glaucus,Elymus,Elymus glaucus,subsp.,glaucus,Alberta
Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,,,Alberta
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Alberta
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Newfoundland and Labrador
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Quebec
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,Yukon
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Ontario
Drymocallis glandulosa var. glandulosa,Drymocallis,Drymocallis glandulosa,var.,glandulosa,Alberta
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Quebec
Elymus alaskanus subsp. alaskanus,Elymus,Elymus alaskanus,subsp.,alaskanus,Quebec
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Quebec
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Nunavut
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Newfoundland and Labrador
Cornus unalaschkensis,Cornus,Cornus unalaschkensis,,,Quebec
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,Manitoba
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Manitoba
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Alberta
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,virginicus,Alberta
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Alberta
Cornus suecica,Cornus,Cornus suecica,,,Northwest Territories
Elymus canadensis var. canadensis,Elymus,Elymus canadensis,var.,canadensis,Alberta
Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,,,Alberta
Chenopodium watsonii,Chenopodium,Chenopodium watsonii,,,Alberta
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Saskatchewan
Chenopodium fremontii,Chenopodium,Chenopodium fremontii,,,Saskatchewan
Dioscorea villosa,Dioscorea,Dioscorea villosa,,,Quebec
Elymus virginicus var. halophilus,Elymus,Elymus virginicus,var.,halophilus,Nova Scotia
Elymus violaceus,Elymus,Elymus violaceus,,,New Brunswick
Elymus virginicus,Elymus,Elymus virginicus,,,Newfoundland and Labrador
Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,,,Quebec
Empetrum nigrum subsp. hermaphroditum,Empetrum,Empetrum nigrum,subsp.,hermaphroditum,Nova Scotia
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,New Brunswick
Elymus virginicus var. virginicus,Elymus,Elymus virginicus,var.,virginicus,Quebec
Elymus virginicus,Elymus,Elymus virginicus,,,Prince Edward Island
Elymus virginicus var. intermedius,Elymus,Elymus virginicus,var.,intermedius,Nova Scotia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Ontario
Fagus grandifolia,Fagus,Fagus grandifolia,,,Ontario
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Alberta
Fagus grandifolia,Fagus,Fagus grandifolia,,,Nova Scotia
Holodiscus discolor,Holodiscus,Holodiscus discolor,,,British Columbia
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Ontario
Gaultheria shallon,Gaultheria,Gaultheria shallon,,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Nova Scotia
Fragaria vesca,Fragaria,Fragaria vesca,,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Nova Scotia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Quebec
Fraxinus quadrangulata,Fraxinus,Fraxinus quadrangulata,,,Ontario
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Ontario
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Ontario
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,British Columbia
Fraxinus americana,Fraxinus,Fraxinus americana,,,Ontario
Juglans cinerea,Juglans,Juglans cinerea,,,Ontario
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Quebec
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Quebec
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Ontario
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,Alberta
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Nova Scotia
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,British Columbia
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,Ontario
Fagus grandifolia,Fagus,Fagus grandifolia,,,New Brunswick
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,Nova Scotia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Alberta
Humulus lupulus,Humulus,Humulus lupulus,,,Alberta
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Ontario
Fragaria chiloensis,Fragaria,Fragaria chiloensis,,,British Columbia
Fagus grandifolia,Fagus,Fagus grandifolia,,,Quebec
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Newfoundland and Labrador
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Alberta
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Nova Scotia
Fritillaria affinis,Fritillaria,Fritillaria affinis,,,British Columbia
Honckenya peploides,Honckenya,Honckenya peploides,,,British Columbia
Gaultheria ovatifolia,Gaultheria,Gaultheria ovatifolia,,,British Columbia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Manitoba
Humulus lupulus,Humulus,Humulus lupulus,,,British Columbia
Erythronium americanum,Erythronium,Erythronium americanum,,,Ontario
Hordeum jubatum,Hordeum,Hordeum jubatum,,,British Columbia
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,Quebec
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,Nova Scotia
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Manitoba
Frangula purshiana,Frangula,Frangula purshiana,,,British Columbia
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,New Brunswick
Honckenya peploides,Honckenya,Honckenya peploides,,,Nova Scotia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Manitoba
Fraxinus americana,Fraxinus,Fraxinus americana,,,Nova Scotia
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,Ontario
Humulus lupulus,Humulus,Humulus lupulus,,,Manitoba
Humulus lupulus,Humulus,Humulus lupulus,,,Ontario
Humulus lupulus,Humulus,Humulus lupulus,,,Saskatchewan
Juglans cinerea,Juglans,Juglans cinerea,,,Quebec
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Nova Scotia
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Saskatchewan
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Ontario
Helianthus decapetalus,Helianthus,Helianthus decapetalus,,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Prince Edward Island
Fagus grandifolia,Fagus,Fagus grandifolia,,,Prince Edward Island
Honckenya peploides,Honckenya,Honckenya peploides,,,Quebec
Erythronium oregonum,Erythronium,Erythronium oregonum,,,British Columbia
Helianthus laetiflorus,Helianthus,Helianthus laetiflorus,,,Ontario
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,New Brunswick
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,,Saskatchewan
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,British Columbia
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,,Manitoba
Fragaria vesca,Fragaria,Fragaria vesca,,,Ontario
Fritillaria pudica,Fritillaria,Fritillaria pudica,,,British Columbia
Fritillaria camschatcensis,Fritillaria,Fritillaria camschatcensis,,,British Columbia
Fraxinus americana,Fraxinus,Fraxinus americana,,,New Brunswick
Helianthus annuus,Helianthus,Helianthus annuus,,,New Brunswick
Helianthus divaricatus,Helianthus,Helianthus divaricatus,,,Ontario
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Alberta
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Nova Scotia
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,Nova Scotia
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Quebec
Helianthus giganteus,Helianthus,Helianthus giganteus,,,Ontario
Helianthus annuus,Helianthus,Helianthus annuus,,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,New Brunswick
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Northwest Territories
Honckenya peploides,Honckenya,Honckenya peploides,,,Prince Edward Island
Fraxinus americana,Fraxinus,Fraxinus americana,,,Quebec
Fraxinus americana,Fraxinus,Fraxinus americana,,,Prince Edward Island
Hedysarum sulphurescens,Hedysarum,Hedysarum sulphurescens,,,Alberta
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,Quebec
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Quebec
Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,subrhomboideus,Ontario
Helianthus annuus,Helianthus,Helianthus annuus,,,British Columbia
Helianthus strumosus,Helianthus,Helianthus strumosus,,,Ontario
Erythronium grandiflorum,Erythronium,Erythronium grandiflorum,,,British Columbia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Prince Edward Island
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Newfoundland and Labrador
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Nova Scotia
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Prince Edward Island
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Nova Scotia
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Newfoundland and Labrador
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,New Brunswick
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Saskatchewan
Festuca occidentalis,Festuca,Festuca occidentalis,,,Alberta
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Prince Edward Island
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Yukon
Helianthus annuus,Helianthus,Helianthus annuus,,,Quebec
Humulus lupulus,Humulus,Humulus lupulus,,,Nova Scotia
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,,Ontario
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Manitoba
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Prince Edward Island
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,Manitoba
Helianthus annuus,Helianthus,Helianthus annuus,,,Nova Scotia
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Yukon
Gaultheria humifusa,Gaultheria,Gaultheria humifusa,,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Yukon
Helianthus decapetalus,Helianthus,Helianthus decapetalus,,,Quebec
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,,Ontario
Helianthus petiolaris,Helianthus,Helianthus petiolaris,,,Alberta
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,Saskatchewan
Erythronium americanum,Erythronium,Erythronium americanum,,,Quebec
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Prince Edward Island
Fragaria vesca,Fragaria,Fragaria vesca,,,Nova Scotia
Helianthus annuus,Helianthus,Helianthus annuus,,,Alberta
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,,Manitoba
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Northwest Territories
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,New Brunswick
Fragaria vesca,Fragaria,Fragaria vesca,,,Alberta
Helianthus annuus,Helianthus,Helianthus annuus,,,Manitoba
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Quebec
Honckenya peploides,Honckenya,Honckenya peploides,,,New Brunswick
Hosackia pinnata,Hosackia,Hosackia pinnata,,,British Columbia
Festuca altaica,Festuca,Festuca altaica,,,Yukon
Helianthus strumosus,Helianthus,Helianthus strumosus,,,Quebec
Fragaria ananassa,Fragaria,Fragaria ananassa,,,Alberta
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Manitoba
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,,Alberta
Festuca rubra,Festuca,Festuca rubra,,,Ontario
Fragaria vesca,Fragaria,Fragaria vesca,,,Saskatchewan
Helianthus petiolaris,Helianthus,Helianthus petiolaris,,,Saskatchewan
Helianthus annuus,Helianthus,Helianthus annuus,,,Saskatchewan
Honckenya peploides,Honckenya,Honckenya peploides,,,Manitoba
Humulus lupulus,Humulus,Humulus lupulus,,,Quebec
Hedysarum occidentale,Hedysarum,Hedysarum occidentale,,,British Columbia
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,New Brunswick
Festuca subulata,Festuca,Festuca subulata,,,British Columbia
Hordeum jubatum,Hordeum,Hordeum jubatum,,,New Brunswick
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,Quebec
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Yukon
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,,Alberta
Hordeum brachyantherum,Hordeum,Hordeum brachyantherum,,,British Columbia
Festuca rubra,Festuca,Festuca rubra,,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Northwest Territories
Festuca occidentalis,Festuca,Festuca occidentalis,,,British Columbia
Helianthus hirsutus,Helianthus,Helianthus hirsutus,,,Ontario
Helianthus nuttallii,Helianthus,Helianthus nuttallii,,,Alberta
Fragaria virginiana subsp. virginiana,Fragaria,Fragaria virginiana,subsp.,virginiana,Manitoba
Helianthus nuttallii,Helianthus,Helianthus nuttallii,,,Saskatchewan
Fraxinus nigra,Fraxinus,Fraxinus nigra,,,Prince Edward Island
Humulus lupulus,Humulus,Humulus lupulus,,,Newfoundland and Labrador
Erythronium grandiflorum,Erythronium,Erythronium grandiflorum,,,Alberta
Festuca rubra,Festuca,Festuca rubra,,,Nova Scotia
Fragaria vesca subsp. bracteata,Fragaria,Fragaria vesca,subsp.,bracteata,Yukon
Fragaria virginiana subsp. glauca,Fragaria,Fragaria virginiana,subsp.,glauca,Alberta
Juglans cinerea,Juglans,Juglans cinerea,,,New Brunswick
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,Quebec
Gaillardia aristata,Gaillardia,Gaillardia aristata,,,Manitoba
Honckenya peploides,Honckenya,Honckenya peploides,,,Newfoundland and Labrador
Fragaria virginiana,Fragaria,Fragaria virginiana,,,Newfoundland and Labrador
Hedysarum sulphurescens,Hedysarum,Hedysarum sulphurescens,,,British Columbia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,New Brunswick
Hosackia gracilis,Hosackia,Hosackia gracilis,,,British Columbia
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Newfoundland and Labrador
Erythronium revolutum,Erythronium,Erythronium revolutum,,,British Columbia
Fragaria virginiana,Fragaria,Fragaria virginiana,,,New Brunswick
Humulus lupulus var. lupuloides,Humulus,Humulus lupulus,var.,lupuloides,Ontario
Fragaria vesca,Fragaria,Fragaria vesca,,,New Brunswick
Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,subrhomboideus,Manitoba
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Northwest Territories
Festuca altaica,Festuca,Festuca altaica,,,British Columbia
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,New Brunswick
Erythronium americanum,Erythronium,Erythronium americanum,,,New Brunswick
Festuca subverticillata,Festuca,Festuca subverticillata,,,Ontario
Heracleum sphondylium,Heracleum,Heracleum sphondylium,,,Saskatchewan
Hamamelis virginiana,Hamamelis,Hamamelis virginiana,,,Prince Edward Island
Helianthus pauciflorus,Helianthus,Helianthus pauciflorus,,,Saskatchewan
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,British Columbia
Fragaria vesca,Fragaria,Fragaria vesca,,,Newfoundland and Labrador
Festuca rubra,Festuca,Festuca rubra,,,Alberta
Festuca subuliflora,Festuca,Festuca subuliflora,,,British Columbia
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,Alberta
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Newfoundland and Labrador
Fritillaria pudica,Fritillaria,Fritillaria pudica,,,Alberta
Fragaria virginiana subsp. glauca,Fragaria,Fragaria virginiana,subsp.,glauca,Yukon
Fragaria virginiana subsp. glauca,Fragaria,Fragaria virginiana,subsp.,glauca,Northwest Territories
Fragaria ananassa subsp. cuneifolia,Fragaria,Fragaria ananassa,subsp.,cuneifolia,British Columbia
Fragaria vesca,Fragaria,Fragaria vesca,,,Quebec
Erythronium americanum,Erythronium,Erythronium americanum,,,Nova Scotia
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Alberta
Erythronium americanum,Erythronium,Erythronium americanum,,,Prince Edward Island
Fragaria virginiana subsp. virginiana,Fragaria,Fragaria virginiana,subsp.,virginiana,Quebec
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Prince Edward Island
Humulus lupulus,Humulus,Humulus lupulus,,,New Brunswick
Honckenya peploides,Honckenya,Honckenya peploides,,,Nunavut
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,Newfoundland and Labrador
Fragaria virginiana subsp. glauca,Fragaria,Fragaria virginiana,subsp.,glauca,Ontario
Gaultheria humifusa,Gaultheria,Gaultheria humifusa,,,Alberta
Fritillaria affinis var. affinis,Fritillaria,Fritillaria affinis,var.,affinis,British Columbia
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,Saskatchewan
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,Ontario
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,New Brunswick
Festuca rubra,Festuca,Festuca rubra,,,Quebec
Festuca altaica,Festuca,Festuca altaica,,,Northwest Territories
Gaylussacia baccata,Gaylussacia,Gaylussacia baccata,,,Newfoundland and Labrador
Honckenya peploides,Honckenya,Honckenya peploides,,,Ontario
Fragaria ananassa,Fragaria,Fragaria ananassa,,,Ontario
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Saskatchewan
Honckenya peploides subsp. diffusa,Honckenya,Honckenya peploides,subsp.,diffusa,Ontario
Hordeum jubatum,Hordeum,Hordeum jubatum,,,Nunavut
Hedysarum americanum,Hedysarum,Hedysarum americanum,,,Alberta
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Nunavut
Heuchera chlorantha,Heuchera,Heuchera chlorantha,,,British Columbia
Fragaria virginiana subsp. platypetala,Fragaria,Fragaria virginiana,subsp.,platypetala,British Columbia
Humulus lupulus,Humulus,Humulus lupulus,,,Prince Edward Island
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,New Brunswick
Helianthus annuus,Helianthus,Helianthus annuus,,,Newfoundland and Labrador
Helianthus tuberosus,Helianthus,Helianthus tuberosus,,,Saskatchewan
Helianthus annuus,Helianthus,Helianthus annuus,,,Prince Edward Island
Gaultheria procumbens,Gaultheria,Gaultheria procumbens,,,Newfoundland and Labrador
Helianthus divaricatus,Helianthus,Helianthus divaricatus,,,Quebec
Hedysarum boreale subsp. boreale,Hedysarum,Hedysarum boreale,subsp.,boreale,Alberta
Hedysarum boreale subsp. mackenziei,Hedysarum,Hedysarum boreale,subsp.,mackenziei,Ontario
Helianthus pauciflorus subsp. pauciflorus,Helianthus,Helianthus pauciflorus,subsp.,pauciflorus,Ontario
Helianthus laetiflorus,Helianthus,Helianthus laetiflorus,,,New Brunswick
Fragaria vesca subsp. vesca,Fragaria,Fragaria vesca,subsp.,vesca,New Brunswick
Fragaria ananassa,Fragaria,Fragaria ananassa,,,British Columbia
Hedysarum boreale,Hedysarum,Hedysarum boreale,,,Ontario
Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,subrhomboideus,Alberta
Helianthus laetiflorus,Helianthus,Helianthus laetiflorus,,,Quebec
Helianthus nuttallii,Helianthus,Helianthus nuttallii,,,Ontario
Helianthus maximiliani,Helianthus,Helianthus maximiliani,,,Quebec
Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,subrhomboideus,Quebec
Festuca rubra,Festuca,Festuca rubra,,,Yukon
Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,,,Saskatchewan
Honckenya peploides subsp. robusta,Honckenya,Honckenya peploides,subsp.,robusta,Nova Scotia
Fragaria vesca subsp. americana,Fragaria,Fragaria vesca,subsp.,americana,British Columbia
Festuca rubra,Festuca,Festuca rubra,,,Newfoundland and Labrador
Festuca rubra,Festuca,Festuca rubra,,,Manitoba
Festuca rubra,Festuca,Festuca rubra,,,Nunavut
Festuca rubra,Festuca,Festuca rubra,,,Northwest Territories
Gaylussacia bigeloviana,Gaylussacia,Gaylussacia bigeloviana,,,Prince Edward Island
Festuca rubra,Festuca,Festuca rubra,,,New Brunswick
Festuca subverticillata,Festuca,Festuca subverticillata,,,Nova Scotia
Gaultheria hispidula,Gaultheria,Gaultheria hispidula,,,Saskatchewan
Hedysarum boreale subsp. mackenziei,Hedysarum,Hedysarum boreale,subsp.,mackenziei,Yukon
Festuca altaica,Festuca,Festuca altaica,,,Quebec
Fragaria virginiana subsp. virginiana,Fragaria,Fragaria virginiana,subsp.,virginiana,New Brunswick
Hedysarum boreale subsp. mackenziei,Hedysarum,Hedysarum boreale,subsp.,mackenziei,Nunavut
Fragaria virginiana subsp. glauca,Fragaria,Fragaria virginiana,subsp.,glauca,Manitoba
