TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Amelanchier spicata,Amelanchier,Amelanchier spicata,,,Ontario
Andropogon hallii,Andropogon,Andropogon hallii,,,Manitoba
Acer glabrum,Acer,Acer glabrum,,,Alberta
Allium cernuum,Allium,Allium cernuum,,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Northwest Territories
Alnus incana,Alnus,Alnus incana,,,New Brunswick
Acer negundo,Acer,Acer negundo,,,New Brunswick
Allium cernuum,Allium,Allium cernuum,,,Manitoba
Apios americana,Apios,Apios americana,,,New Brunswick
Alnus alnobetula,Alnus,Alnus alnobetula,,,Yukon
Agrostis perennans,Agrostis,Agrostis perennans,,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Newfoundland and Labrador
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Ontario
Acer saccharinum,Acer,Acer saccharinum,,,Nova Scotia
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Northwest Territories
Alnus incana,Alnus,Alnus incana,,,Yukon
Allium canadense,Allium,Allium canadense,,,Ontario
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Ontario
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Alberta
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,,Northwest Territories
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Nunavut
Arnica cordifolia,Arnica,Arnica cordifolia,,,Yukon
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,Ontario
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,New Brunswick
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Yukon
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Manitoba
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Quebec
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Yukon
Amaranthus albus,Amaranthus,Amaranthus albus,,,Saskatchewan
Alnus alnobetula,Alnus,Alnus alnobetula,,,Northwest Territories
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Ontario
Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi,,,Quebec
Agastache foeniculum,Agastache,Agastache foeniculum,,,Saskatchewan
Allium stellatum,Allium,Allium stellatum,,,Saskatchewan
Alnus incana subsp. tenuifolia,Alnus,Alnus incana,subsp.,tenuifolia,Yukon
Allium schoenoprasum,Allium,Allium schoenoprasum,,,New Brunswick
Agastache foeniculum,Agastache,Agastache foeniculum,,,Quebec
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Quebec
Acer negundo,Acer,Acer negundo,,,Yukon
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Northwest Territories
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Newfoundland and Labrador
Allium geyeri var. tenerum,Allium,Allium geyeri,var.,tenerum,Alberta
Alnus alnobetula,Alnus,Alnus alnobetula,,,Newfoundland and Labrador
Alnus alnobetula,Alnus,Alnus alnobetula,,,Quebec
Agrostis exarata,Agrostis,Agrostis exarata,,,British Columbia
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,Newfoundland and Labrador
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Northwest Territories
Abies balsamea,Abies,Abies balsamea,,,Alberta
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,Newfoundland and Labrador
Allium textile,Allium,Allium textile,,,Manitoba
Allium stellatum,Allium,Allium stellatum,,,Ontario
Allium cernuum,Allium,Allium cernuum,,,Saskatchewan
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Quebec
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,New Brunswick
Acer rubrum,Acer,Acer rubrum,,,British Columbia
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,Newfoundland and Labrador
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,,New Brunswick
Alnus incana,Alnus,Alnus incana,,,Northwest Territories
Amelanchier sanguinea,Amelanchier,Amelanchier sanguinea,,,Ontario
Alnus alnobetula,Alnus,Alnus alnobetula,,,Alberta
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Newfoundland and Labrador
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,Ontario
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,Nova Scotia
Alnus incana,Alnus,Alnus incana,,,Saskatchewan
Abies balsamea,Abies,Abies balsamea,,,Saskatchewan
Amphicarpaea bracteata,Amphicarpaea,Amphicarpaea bracteata,,,Nova Scotia
Alnus alnobetula,Alnus,Alnus alnobetula,,,New Brunswick
Allium tricoccum,Allium,Allium tricoccum,,,Nova Scotia
Arnica cordifolia,Arnica,Arnica cordifolia,,,Saskatchewan
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,Nova Scotia
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,British Columbia
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Prince Edward Island
Acmispon americanus,Acmispon,Acmispon americanus,,,British Columbia
Aruncus dioicus,Aruncus,Aruncus dioicus,,,Ontario
Aruncus dioicus,Aruncus,Aruncus dioicus,,,Quebec
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,New Brunswick
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Nova Scotia
Alnus alnobetula,Alnus,Alnus alnobetula,,,Prince Edward Island
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Newfoundland and Labrador
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,Quebec
Amelanchier humilis,Amelanchier,Amelanchier humilis,,,Ontario
Amelanchier spicata,Amelanchier,Amelanchier spicata,,,Quebec
Asarum canadense,Asarum,Asarum canadense,,,Nova Scotia
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Prince Edward Island
Acer spicatum,Acer,Acer spicatum,,,Saskatchewan
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Prince Edward Island
Alnus incana,Alnus,Alnus incana,,,Newfoundland and Labrador
Acer rubrum,Acer,Acer rubrum,,,Newfoundland and Labrador
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Manitoba
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Alberta
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Manitoba
Alnus alnobetula,Alnus,Alnus alnobetula,,,Manitoba
Amelanchier interior,Amelanchier,Amelanchier interior,,,Nova Scotia
Amelanchier humilis,Amelanchier,Amelanchier humilis,,,Quebec
Amelanchier sanguinea,Amelanchier,Amelanchier sanguinea,,,Quebec
Amaranthus albus,Amaranthus,Amaranthus albus,,,British Columbia
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,New Brunswick
Allium canadense var. canadense,Allium,Allium canadense,var.,canadense,Ontario
Asarum canadense,Asarum,Asarum canadense,,,New Brunswick
Aruncus dioicus var. acuminatus,Aruncus,Aruncus dioicus,var.,acuminatus,British Columbia
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Yukon
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Ontario
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Saskatchewan
Agastache foeniculum,Agastache,Agastache foeniculum,,,British Columbia
Allium schoenoprasum,Allium,Allium schoenoprasum,,,Manitoba
Allium canadense,Allium,Allium canadense,,,Quebec
Amaranthus hybridus,Amaranthus,Amaranthus hybridus,,,Quebec
Amaranthus albus,Amaranthus,Amaranthus albus,,,Quebec
Amelanchier alnifolia var. alnifolia,Amelanchier,Amelanchier alnifolia,var.,alnifolia,Yukon
Alnus alnobetula,Alnus,Alnus alnobetula,,,Saskatchewan
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,,Nova Scotia
Amaranthus tuberculatus,Amaranthus,Amaranthus tuberculatus,,,Quebec
Aruncus dioicus,Aruncus,Aruncus dioicus,,,Alberta
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Nunavut
Amphicarpaea bracteata var. comosa,Amphicarpaea,Amphicarpaea bracteata,var.,comosa,Ontario
Alnus alnobetula subsp. sinuata,Alnus,Alnus alnobetula,subsp.,sinuata,Alberta
Amelanchier interior,Amelanchier,Amelanchier interior,,,Ontario
Agrostis perennans,Agrostis,Agrostis perennans,,,Quebec
Aruncus dioicus,Aruncus,Aruncus dioicus,,,Nova Scotia
Aruncus dioicus,Aruncus,Aruncus dioicus,,,New Brunswick
Agrostis exarata,Agrostis,Agrostis exarata,,,Yukon
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Newfoundland and Labrador
Alnus incana,Alnus,Alnus incana,,,Alberta
Acer saccharinum,Acer,Acer saccharinum,,,Prince Edward Island
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,Prince Edward Island
Amelanchier canadensis,Amelanchier,Amelanchier canadensis,,,Ontario
Amaranthus albus,Amaranthus,Amaranthus albus,,,Alberta
Amelanchier intermedia,Amelanchier,Amelanchier intermedia,,,New Brunswick
Amelanchier arborea,Amelanchier,Amelanchier arborea,,,New Brunswick
Aralia nudicaulis,Aralia,Aralia nudicaulis,,,Northwest Territories
Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia,,,Quebec
Acer negundo,Acer,Acer negundo,,,Newfoundland and Labrador
Allium tricoccum,Allium,Allium tricoccum,,,New Brunswick
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Nunavut
Amelanchier interior,Amelanchier,Amelanchier interior,,,Quebec
Achillea millefolium,Achillea,Achillea millefolium,,,Nunavut
Amelanchier laevis,Amelanchier,Amelanchier laevis,,,New Brunswick
Agrostis mertensii,Agrostis,Agrostis mertensii,,,Yukon
Amaranthus albus,Amaranthus,Amaranthus albus,,,Manitoba
Amaranthus hybridus,Amaranthus,Amaranthus hybridus,,,Ontario
Allium canadense,Allium,Allium canadense,,,New Brunswick
