"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Botanical.Name","Common.Name","Count","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"13","Amelanchier canadensis","Amelanchier","Amelanchier canadensis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier canadensis","Serviceberry",66,"Amelanchier","canadensis","","","","","Amelanchier canadensis"
"14","Amelanchier laevis","Amelanchier","Amelanchier laevis",NA,NA,"Saskatoon",NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Cultural",NA,"Fruits","Ornamental","",NA,"1",1,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Amelanchier laevis","Allegheny Serviceberry",5,"Amelanchier","laevis","","","","","Amelanchier laevis"
"15","Asimina triloba","Asimina","Asimina triloba",NA,NA,"Pawpaw",NA,"Y","N","Y","pawpaw' or custard apple","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Asimina triloba","Pawpaw",2,"Asimina","triloba","","","","","Asimina triloba"
"16","Betula alleghaniensis","Betula","Betula alleghaniensis",NA,NA,"Birch",NA,"Y","N","Y","twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula alleghaniensis","Yellow Birch",2,"Betula","alleghaniensis","","","","","Betula alleghaniensis"
"17","Betula lenta","Betula","Betula lenta",NA,NA,"Birch",NA,"Y","N","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula lenta","Cherry Birch",3,"Betula","lenta","","","","","Betula lenta"
"18","Betula papyrifera","Betula","Betula papyrifera",NA,NA,"Birch",NA,"Y","N","Y","leaves, twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula papyrifera","Paper Birch",56,"Betula","papyrifera","","","","","Betula papyrifera"
"19","Betula populifolia","Betula","Betula populifolia",NA,NA,"Birch",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Betula populifolia","Gray Birch",2,"Betula","populifolia","","","","","Betula populifolia"
"20","Carya cordiformis","Carya","Carya cordiformis",NA,NA,"Pecan, Hickory",NA,"Y","Y","Y","swamp hickory, bitternut hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Carya cordiformis","Bitternut Hickory",4,"Carya","cordiformis","","","","","Carya cordiformis"
"21","Carya laciniosa","Carya","Carya laciniosa",NA,NA,"Pecan, Hickory",NA,"Y","Y","N","","Y","Food","Materials",NA,"Nuts","Materials","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Carya laciniosa","Shellbark Hickory",1,"Carya","laciniosa","","","","","Carya laciniosa"
"22","Carya ovata","Carya","Carya ovata",NA,NA,"Pecan, Hickory",NA,"N","Y","Y","shagbark hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Carya ovata","Shagbark Hickory",75,"Carya","ovata","","","","","Carya ovata"
