GARDEN_CODE,INSTITUTION,TAXON,GENUS,SPECIES,RANK,INFRASPECIFC,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,CATEGORY,TIER,GENEPOOL,PROVENANCE,COUNTRY,LOCALITY,LATITUDE,LONGITUDE,PROVINCE,QUANTITY
357,BG,Fragaria vesca,Fragaria,Fragaria vesca,NA,NA,Strawberry,NA,N,Y,Y,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Tertiary,G,, ,,,,mass
358,BG,Fragaria vesca,Fragaria,Fragaria vesca,NA,NA,Strawberry,NA,N,Y,Y,strawberry; fruit,Y,Food,,NA,Fruits,,,NA,1C,1,Tertiary,G,, ,,,,mass
359,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
360,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
361,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
362,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
363,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
364,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
365,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
366,BG,Fraxinus americana,Fraxinus,Fraxinus americana,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
367,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
368,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,15
369,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
370,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
371,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,15
372,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
373,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
374,BG,Fraxinus nigra,Fraxinus,Fraxinus nigra,NA,NA,Ash,NA,Y,N,Y,ash; leaves and seeds,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
375,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
376,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
377,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
378,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
379,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
380,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
381,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
382,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
383,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
384,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
385,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
386,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
387,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
388,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
389,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
390,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
391,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
392,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
393,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
394,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
395,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
396,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
397,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
398,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
399,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
400,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
401,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
402,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
403,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
404,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
405,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
406,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
407,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
408,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
409,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
410,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
411,BG,Fraxinus pennsylvanica,Fraxinus,Fraxinus pennsylvanica,NA,NA,Ash,NA,Y,N,Y,ash; inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,NA,NA,G,, ,,,,1
412,BG,Fritillaria pudica,Fritillaria,Fritillaria pudica,NA,NA,Fritillaria,NA,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,G,, ,,,,10
413,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,mass
414,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,5
415,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,4
416,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,15
417,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,12
418,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,mass
419,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,3
420,BG,Gaultheria procumbens,Gaultheria,Gaultheria procumbens,NA,NA,Salal berry,NA,Y,N,Y,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,NA,NA,NA,G,, ,,,,4
421,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,9
422,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
423,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,2
424,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
425,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,3
426,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
427,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
428,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
429,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
430,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
431,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
432,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
433,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
434,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
435,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
436,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
437,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,2
438,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
439,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
440,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,2
441,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
442,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
443,BG,Hamamelis virginiana,Hamamelis,Hamamelis virginiana,NA,NA,Witch-Hazel,NA,Y,N,Y,witch-hazel; leaves dried as tea,Y,Cultural,,NA,Ornamentals,,,NA,1A,NA,Assume distant,G,, ,,,,1
444,BG,Helianthus annuus,Helianthus,Helianthus annuus,NA,NA,Sunflower,NA,Y,Y,Y,sunflower; seeds,N,Food,,NA,Oils,,,NA,1A,1,Primary,G,, ,,,,1
445,BG,Helianthus annuus,Helianthus,Helianthus annuus,NA,NA,Sunflower,NA,Y,Y,Y,sunflower; seeds,N,Food,,NA,Oils,,,NA,1A,1,Primary,G,, ,,,,1
446,BG,Helianthus giganteus,Helianthus,Helianthus giganteus,NA,NA,Sunflower,NA,Y,Y,Y,sunflower; seeds,Y,Food,,NA,Oils,,,NA,1C,1,Tertiary,G,, ,,,,mass
447,BG,Holodiscus discolor,Holodiscus,Holodiscus discolor,NA,NA,Oceanspray,NA,N,N,Y,,Y,Cultural,,NA,Medicinals,,,NA,NA,NA,NA,G,, ,,,,2
448,BG,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,Hop,NA,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1A,1,Primary,G,, ,,,,1
449,BG,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,Hop,NA,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1A,1,Primary,G,, ,,,,26
450,BG,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,Hop,NA,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1A,1,Primary,G,, ,,,,1
451,BG,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,Hop,NA,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1A,1,Primary,G,, ,,,,3
452,BG,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,Hop,NA,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1A,1,Primary,G,, ,,,,mass
453,BG,Juglans nigra,Juglans,Juglans nigra,NA,NA,Walnut,NA,Y,Y,Y,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamental,NA,1A,1,Progenitor,G,, ,,,,1
454,BG,Juglans nigra,Juglans,Juglans nigra,NA,NA,Walnut,NA,Y,Y,Y,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamental,NA,1A,1,Progenitor,G,, ,,,,1
455,BG,Juglans nigra,Juglans,Juglans nigra,NA,NA,Walnut,NA,Y,Y,Y,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamental,NA,1A,1,Progenitor,G,, ,,,,1
456,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
457,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
458,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
459,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
460,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
461,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,2
462,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,2
463,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
464,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
465,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
466,BG,Juniperus communis,Juniperus,Juniperus communis,NA,NA,Juniper,NA,N,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
467,BG,Juniperus communis var. depressa,Juniperus,Juniperus communis,var.,depressa,Juniper,NA,Y,N,Y,,Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,mass
468,BG,Juniperus communis var. depressa,Juniperus,Juniperus communis,var.,depressa,Juniper,NA,Y,N,Y,,Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,mass
469,BG,Juniperus communis var. depressa,Juniperus,Juniperus communis,var.,depressa,Juniper,NA,Y,N,Y,,Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,2
470,BG,Juniperus communis var. depressa,Juniperus,Juniperus communis,var.,depressa,Juniper,NA,Y,N,Y,,Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,4
471,BG,Juniperus communis var. saxatilis,Juniperus,Juniperus communis,var.,saxatilis,Juniper,NA,Y,N,Y,,Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
472,BG,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,Juniper,NA,Y,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,3
473,BG,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,Juniper,NA,Y,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,2
474,BG,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,Juniper,NA,Y,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,3
475,BG,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,Juniper,NA,Y,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,mass
476,BG,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,Juniper,NA,Y,N,Y,"tea, leaves and shoots edible",Y,Cultural,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,G,, ,,,,1
