"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","NAME","COMMON.NAME","FAMILY","NATIVITY","NSC","LOCATION.and.QUANTITY","ACCN..","PT","LATITUDE","LONGITUDE","PSOURCE","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"386","Monarda fistulosa","Monarda","Monarda fistulosa",NA,NA,"Monarda",NA,"N","N","Y","leaves, tea","Y","Cultural","",NA,"Medicinals","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Monarda fistulosa","wild bee balm, bergamot","Lamiaceae","N Amer","!HD","80A (12), 60A (6)","2019-0287"," "," "," ","Free Spirit","Monarda","fistulosa","","","","","Monarda fistulosa"
"387","Myrica gale","Myrica","Myrica gale",NA,NA,"Bayberry",NA,"Y","N","Y","fruit, leaves","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Myrica gale","bog myrtle, sweet gale","Myricaceae","N Amer, Eurasia","!SD","135A (4)                                                 ","1997-0304"," "," "," ","Plant Sale","Myrica","gale","","","","","Myrica gale"
"388","Myrica gale","Myrica","Myrica gale",NA,NA,"Bayberry",NA,"Y","N","Y","fruit, leaves","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Myrica gale","bog myrtle, sweet gale","Myricaceae","N Amer, Eurasia","!SD","66 (1), 65 (1), 22A (1), 24A (1)","1973-0374"," "," "," ","Forster","Myrica","gale","","","","","Myrica gale"
"389","Myrica gale","Myrica","Myrica gale",NA,NA,"Bayberry",NA,"Y","N","Y","fruit, leaves","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Myrica gale","bog myrtle, sweet gale","Myricaceae","N Amer, Eurasia","!SD","137F (2)                                                 ","2013-0219"," "," "," ","BC's Wild","Myrica","gale","","","","","Myrica gale"
"390","Nymphaea tetragona","Nymphaea","Nymphaea tetragona",NA,NA,"Water-lily",NA,"Y","N","N","","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Nymphaea tetragona","pygmy waterlily","Nymphaeaceae","N Hem","!HD","LK04 (1)                                                 ","1991-0118"," "," "," ","Paridon","Nymphaea","tetragona","","","","","Nymphaea tetragona"
"391","Nymphaea tetragona","Nymphaea","Nymphaea tetragona",NA,NA,"Water-lily",NA,"Y","N","N","","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Nymphaea tetragona","pygmy waterlily","Nymphaeaceae","N Hem","!HD","LK04 (1)                                                 ","1991-0117"," "," "," ","Paridon","Nymphaea","tetragona","","","","","Nymphaea tetragona"
"392","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","135C (1)                                                 ","1995-0415"," "," "," ","Misc.","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"393","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","79A (5), 79B (3)","2018-0082"," "," "," ","N.A.T.S.","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"394","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","35B (1), 4 (3), 23B (2), 35D (1), 22A (1)","1997-0316"," "," "," ","Plant Sale","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"395","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","135C (1)                                                 ","1995-0276"," "," "," ","BC's Wild","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"396","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","24B (1)                                                 ","2017-0037"," "," "," ","Sunset","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"397","Oemleria cerasiformis","Oemleria","Oemleria cerasiformis",NA,NA,"Oso",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria cerasiformis","Oregon plum","Rosaceae","W North America","!SD","135C (1)                                                 ","1995-0191"," "," "," ","Turner","Oemleria","cerasiformis","","","","","Oemleria cerasiformis"
"398","Panicum clandestinum","Panicum","Panicum clandestinum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","","Panicum clandestinum","tioga deertongue","Poaceae","C&E Canada & USA","!HD","136 (2)                                                 ","1996-1164"," "," "," ","Sweet Grass","Panicum","clandestinum","","","","","Panicum clandestinum"
"399","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Rotstrahlbusch'","switch grass","Poaceae","Garden Origin","!HD","35A (1)                                                 ","2009-0193"," "," "," ","Bluestem","Panicum","virgatum","","","","","Panicum virgatum"
"400","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Rotstrahlbusch'","switch grass","Poaceae","Garden Origin","!HD","35C (12), 35A (9)","2009-0529"," "," "," ","Valleybrook","Panicum","virgatum","","","","","Panicum virgatum"
"401","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Shenandoah'","switch grass","Poaceae","Garden Origin","!HD","21 (10), 156 (31), 29 (28)","2005-0174"," "," "," ","Campbell Val","Panicum","virgatum","","","","","Panicum virgatum"
"402","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Rotstrahlbusch'","switch grass","Poaceae","Garden Origin","!HD","48S (1)                                                 ","1999-0542"," "," "," ","Forestfarm","Panicum","virgatum","","","","","Panicum virgatum"
"403","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Shenandoah'","switch grass","Poaceae","Garden Origin","!HD","35C (35), 35B (9)","2007-0172"," "," "," ","Exemplar","Panicum","virgatum","","","","","Panicum virgatum"
"404","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum [Ruby Ribbons] = 'RR1'","switch grass","Poaceae","Garden Origin","!HD","55 (8)                                                 ","2012-0106"," "," "," ","Exemplar","Panicum","virgatum","","","","","Panicum virgatum"
"405","Panicum virgatum","Panicum","Panicum virgatum",NA,NA,"Proso millet",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","GRIN-Global 2021","","","Panicum virgatum 'Prairie Sky'","switch grass","Poaceae","Garden Origin","!HD","35C (16), 35B (5)","2007-0171"," "," "," ","Exemplar","Panicum","virgatum","","","","","Panicum virgatum"
"406","Phalaris arundinacea","Phalaris","Phalaris arundinacea",NA,NA,"Canary Grass",NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","Restoration","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","","Phalaris arundinacea 'Feesey'","strawberries & cream grass","Poaceae","Garden Origin","!HE","159 (2)                                                 ","1994-0412"," "," "," ","Valleybrook","Phalaris","arundinacea","","","","","Phalaris arundinacea"
"407","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","117 (3)                                                 ","1991-0382"," "," "," ","Alpine GC","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"408","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","80B (6), 80A (3)","2016-0248"," "," "," ","N.A.T.S.","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"409","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","22A (8)                                                 ","1974-0735"," "," "," ","Stich","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"410","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","79B (2)                                                 ","2018-0083"," "," "," ","N.A.T.S.","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"411","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","43 (3)                                                 ","2012-0161"," "," "," ","N.A.T.S.","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"412","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii 'Waterton'","western mock orange","Hydrangeaceae","Garden Origin","!SD","73 (4), 22B (5), 24E (1), 3 (1)","1980-0105"," "," "," ","Homestead","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"413","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","135C (3)                                                 ","1995-0277"," "," "," ","BC's Wild","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"414","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","88 (5)                                                 ","2010-0250"," "," "," ","Sunset","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"415","Philadelphus lewisii","Philadelphus","Philadelphus lewisii",NA,NA,"Mock-orange",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Philadelphus lewisii","western mock orange","Hydrangeaceae","WNA","!SD","24E (1)                                                 ","1996-0316"," "," "," ","ReidCollins","Philadelphus","lewisii","","","","","Philadelphus lewisii"
"416","Picea engelmannii","Picea","Picea engelmannii",NA,NA,"Spruce",NA,"Y","N","Y","gum, needles, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea engelmannii","Engelmann spruce","Pinaceae","WNA","!TC","81 (28)                                                 ","1988-0025"," "," "," ","Forster","Picea","engelmannii","","","","","Picea engelmannii"
"417","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Piie'","dwarf white spruce","Pinaceae","Garden Origin","!SC","75 (1)                                                 ","2008-0377"," "," "," ","PNW","Picea","glauca","","","","","Picea glauca"
"418","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Cy's Wonder'","dwarf white spruce","Pinaceae","Garden Origin","!SC","66B (1)                                                 ","2008-0376"," "," "," ","PNW","Picea","glauca","","","","","Picea glauca"
"419","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Echiniformis'","dwarf white spruce","Pinaceae","Garden Origin","!SC","52 (1), 77 (1)","1972-0147"," "," "," ","Lohbrunner","Picea","glauca","","","","","Picea glauca"
"420","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Coerulea'","white spruce","Pinaceae","Garden Origin","!TC","71 (1)                                                 ","1973-0581"," "," "," ","Hillier","Picea","glauca","","","","","Picea glauca"
"421","Picea mariana","Picea","Picea mariana",NA,NA,"Spruce",NA,"Y","N","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea mariana 'Aurea'","golden black spruce","Pinaceae","Garden Origin","!TC","76 (1)                                                 ","1973-0591"," "," "," ","Hillier","Picea","mariana","","","","","Picea mariana"
"422","Picea mariana","Picea","Picea mariana",NA,NA,"Spruce",NA,"Y","N","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea mariana 'Nana'","dwarf black spruce","Pinaceae","Garden Origin","!SC","77 (1)                                                 ","1973-0593"," "," "," ","Hillier","Picea","mariana","","","","","Picea mariana"
"423","Picea mariana","Picea","Picea mariana",NA,NA,"Spruce",NA,"Y","N","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea mariana","black spruce","Pinaceae","ENA","!TC","135B (1)                                                 ","1993-0497"," "," "," ","Barcelona","Picea","mariana","","","","","Picea mariana"
"424","Picea mariana","Picea","Picea mariana",NA,NA,"Spruce",NA,"Y","N","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea mariana","black spruce","Pinaceae","ENA","!TC","135B (1)                                                 ","2007-0122"," "," "," ","Forster","Picea","mariana","","","","","Picea mariana"
"425","Picea rubens","Picea","Picea rubens",NA,NA,"Spruce",NA,"Y","N","Y","needles, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea rubens","red spruce","Pinaceae","ENA","!TC","135A (1), 80 (9)","1984-0027"," "," "," ","MontrealBG","Picea","rubens","","","","","Picea rubens"
"426","Picea rubens","Picea","Picea rubens",NA,NA,"Spruce",NA,"Y","N","Y","needles, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea rubens","red spruce","Pinaceae","ENA","!TC","81C (1)                                                 ","1988-0014"," "," "," ","MontrealBG","Picea","rubens","","","","","Picea rubens"
"427","Picea sitchensis","Picea","Picea sitchensis",NA,NA,"Spruce",NA,"Y","N","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea sitchensis","Sitka spruce","Pinaceae","WNA","!TC","60A (1)                                                 ","2018-0111"," "," "," ","Linnaea","Picea","sitchensis","","","","","Picea sitchensis"
"428","Picea sitchensis","Picea","Picea sitchensis",NA,NA,"Spruce",NA,"Y","N","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea sitchensis","Sitka spruce","Pinaceae","WNA","!TC","60 (2)                                                 ","1973-0919"," "," "," ","Staff-VD","Picea","sitchensis","","","","","Picea sitchensis"
"429","Picea sitchensis","Picea","Picea sitchensis",NA,NA,"Spruce",NA,"Y","N","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea sitchensis","Sitka spruce","Pinaceae","WNA","!TC","118 (10)                                                 ","1998-0168","W"," "," ","UBC-BG","Picea","sitchensis","","","","","Picea sitchensis"
"430","Picea sitchensis","Picea","Picea sitchensis",NA,NA,"Spruce",NA,"Y","N","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea sitchensis 'Tenas'","dwarf Sitka spruce","Pinaceae","Garden Origin","!TC","TR27 (1)                                                 ","2006-0027"," "," "," ","Alpine GC","Picea","sitchensis","","","","","Picea sitchensis"
"431","Pinus albicaulis","Pinus","Pinus albicaulis",NA,NA,"Pine",NA,"Y","N","Y","seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus albicaulis 'Algonquin Pillar'","whitebark pine","Pinaceae","Garden Origin","!TC","96A (1), TR22 (1)","1990-0525"," "," "," ","Hortico","Pinus","albicaulis","","","","","Pinus albicaulis"
"432","Pinus banksiana","Pinus","Pinus banksiana",NA,NA,"Pine",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Pinus banksiana","jack pine","Pinaceae","ENA","!TC","81 (5), 137E (6)","1988-0013"," "," "," ","MontrealBG","Pinus","banksiana","","","","","Pinus banksiana"
"433","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","7 (2), 81 (1)","2011-0217"," "," "," ","Cedar Rim","Pinus","contorta","","","","","Pinus contorta"
"434","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","135C (2)                                                 ","1995-0429"," "," "," ","Plant Sale","Pinus","contorta","","","","","Pinus contorta"
"435","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","26A (1)                                                 ","2014-0138"," "," "," ","Pre-dates VanDusen","Pinus","contorta","","","","","Pinus contorta"
"436","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","7 (4)                                                 ","2013-0168"," "," "," ","Linnaea","Pinus","contorta","","","","","Pinus contorta"
"437","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","24C (1)                                                 ","1973-0203"," "," "," ","Sunset","Pinus","contorta","","","","","Pinus contorta"
"438","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta","shore pine, lodgepole pine","Pinaceae","WNA","!TC","60 (1), 24B (1), 56W (2), 135C (1)","1973-0915"," "," "," ","Staff-VD","Pinus","contorta","","","","","Pinus contorta"
"439","Pinus contorta","Pinus","Pinus contorta",NA,NA,"Pine",NA,"N","N","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus contorta 'Spaan's Dwarf'","dwarf shore pine","Pinaceae","Garden Origin","!SC","TR15 (1)                                                 ","1990-0191"," "," "," ","Adera","Pinus","contorta","","","","","Pinus contorta"
"440","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","ponderosa pine","Pinaceae","WNA","!TC","22A (3)                                                 ","1975-0103"," "," "," ","Collins","Pinus","ponderosa","","","","","Pinus ponderosa"
"441","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","ponderosa pine","Pinaceae","WNA","!TC","55 (1), 55C (1)","1974-0481"," "," "," ","Massot Nurs","Pinus","ponderosa","","","","","Pinus ponderosa"
"442","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","ponderosa pine","Pinaceae","WNA","!TC","122 (16)                                                 ","1979-1670"," "," "," ","Unknown","Pinus","ponderosa","","","","","Pinus ponderosa"
"443","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","ponderosa pine","Pinaceae","WNA","!TC","77 (1)                                                 ","1975-0049"," "," "," ","Riverview","Pinus","ponderosa","","","","","Pinus ponderosa"
"444","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","ponderosa pine","Pinaceae","WNA","!TC","35E (1)                                                 ","1973-0910"," "," "," ","Riverview","Pinus","ponderosa","","","","","Pinus ponderosa"
"445","Pinus rigida","Pinus","Pinus rigida",NA,NA,"Pine",NA,"Y","N","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Pinus rigida","pitch pine","Pinaceae","ENA","!TC","80B (10), 10 (1)","1988-0012"," "," "," ","MontrealBG","Pinus","rigida","","","","","Pinus rigida"
