"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Accession","Name","Taxonomy","Origin","Repository","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"33","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100010","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"34","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100043","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"35","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100132","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"36","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 103886","Native 'BC Collection: Site 6'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"37","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100431","Native 'BC Collection: Site 6'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"38","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100121","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"39","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100176","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"40","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99085","Native 'BC Collection: Site 28'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"41","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100165","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"42","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99647","Native 'BC Collection: Site 51'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"43","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99810","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"44","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100021","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"45","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99646","Native 'BC Collection: Site 50'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"46","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99107","Native 'BC Collection: Site 29'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"47","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99118","Native 'BC Collection: Site 29'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"48","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100065","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"49","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100143","Native 'BC Collection: Site 20'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"50","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100209","Native 'BC Collection: Site 6'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"51","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99063","Native 'BC Collection: Site 28'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
