"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"11","Populus balsamifera","Poplar","Populus","Populus balsamifera",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",74,14,60
"12","Quercus macrocarpa","Oak","Quercus","Quercus macrocarpa",NA,NA,"Y","Y","Y","acorns, seed meal","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",158,152,6
"13","Amelanchier arborea","Saskatoon","Amelanchier","Amelanchier arborea",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",22,12,10
"14","Amelanchier intermedia","Saskatoon","Amelanchier","Amelanchier intermedia",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",12,11,1
"15","Ribes americanum","Currant, Gooseberry","Ribes","Ribes americanum",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",23,12,11
"16","Prunus nigra","Apricot, Cherry, Peach, Plum","Prunus","Prunus nigra",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals","Food","Fruits","Ornamentals","Materials","Nuts",1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",12,11,1
"17","Pseudotsuga menziesii var. glauca","Douglas fir","Pseudotsuga","Pseudotsuga menziesii","var.","glauca","Y","Y","Y","needles, sugar, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",161,115,46
"18","Betula papyrifera","Birch","Betula","Betula papyrifera",NA,NA,"Y","Y","Y","leaves, twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1031,847,184
"19","Amelanchier humilis","Saskatoon","Amelanchier","Amelanchier humilis",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",15,15,0
"20","Asimina triloba","Pawpaw","Asimina","Asimina triloba",NA,NA,"Y","N","Y","pawpaw' or custard apple","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",51,31,20
"21","Betula lenta","Birch","Betula","Betula lenta",NA,NA,"Y","Y","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",86,72,14
"22","Lonicera involucrata","Honeysuckle","Lonicera","Lonicera involucrata",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,9,4
"23","Juglans nigra","Walnut","Juglans","Juglans nigra",NA,NA,"Y","Y","Y","black walnut; nut","Y","Food","Materials",NA,"Nuts","Materials","Ornamentals",NA,1,"Progenitor","1A","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",134,123,11
"24","Morella pensylvanica","Bayberry","Morella","Morella pensylvanica",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",32,16,16
"25","Picea rubens","Spruce","Picea","Picea rubens",NA,NA,"Y","Y","Y","needles, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",208,25,183
"26","Prunus americana","Apricot, Cherry, Peach, Plum","Prunus","Prunus americana",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals","Food","Fruits","Ornamentals","Materials","Nuts",1,"Progenitor","1A","Graftstock","","","","","","Dwarfing (AG)","Crop Quality (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",95,81,14
"27","Quercus rubra","Oak","Quercus","Quercus rubra",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",478,466,12
"28","Populus deltoides subsp. deltoides","Poplar","Populus","Populus deltoides","subsp.","deltoides","Y","Y","Y","buds, fruit","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",12,9,3
"29","Castanea dentata","Chestnut","Castanea","Castanea dentata",NA,NA,"Y","Y","Y","american chestnut'; nuts","Y","Food","Ornamentals",NA,"Nuts","Ornamentals","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",267,258,9
"30","Juniperus horizontalis","Juniper","Juniperus","Juniperus horizontalis",NA,NA,"Y","N","Y","tea, leaves and shoots edible","Y","Medicinals","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",71,66,5
"31","Pinus strobus","Pine","Pinus","Pinus strobus",NA,NA,"Y","Y","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1474,1195,279
"32","Juglans cinerea","Walnut","Juglans","Juglans cinerea",NA,NA,"Y","Y","Y","butternut; nut","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",85,47,38
"33","Quercus velutina","Oak","Quercus","Quercus velutina",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",34,26,8
"34","Carya cordiformis","Pecan, Hickory","Carya","Carya cordiformis",NA,NA,"Y","Y","Y","swamp hickory, bitternut hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",56,25,31
"35","Carya glabra","Pecan, Hickory","Carya","Carya glabra",NA,NA,"Y","Y","Y","pignut hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",51,22,29
"36","Carya ovata","Pecan, Hickory","Carya","Carya ovata",NA,NA,"N","Y","Y","shagbark hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",88,29,59
"37","Pinus contorta var. latifolia","Pine","Pinus","Pinus contorta","var.","latifolia","Y","Y","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",160,37,123
"38","Salix lucida","Willow","Salix","Salix lucida",NA,NA,"N","Y","Y","","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,13,0
"39","Quercus alba","Oak","Quercus","Quercus alba",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",43,27,16
"40","Prunus pensylvanica","Apricot, Cherry, Peach, Plum","Prunus","Prunus pensylvanica",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals","Food","Fruits","Ornamentals","Materials","Nuts",1,"Progenitor","1A","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",123,69,54
"41","Fraxinus nigra","Ash","Fraxinus","Fraxinus nigra",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",594,42,552
"42","Fraxinus quadrangulata","Ash","Fraxinus","Fraxinus quadrangulata",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",162,55,107
"43","Quercus bicolor","Oak","Quercus","Quercus bicolor",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",85,81,4
"44","Vitis aestivalis","Grape","Vitis","Vitis aestivalis",NA,NA,"N","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Progenitor","1A","Graftstock","","","Disease Resistance (B)","Pest Resistance (B)","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",61,13,48
"45","Corylus cornuta","Hazelnut","Corylus","Corylus cornuta",NA,NA,"Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Tertiary","1C","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",43,28,15
"46","Picea glauca","Spruce","Picea","Picea glauca",NA,NA,"Y","Y","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2374,890,1484
"47","Juniperus scopulorum","Juniper","Juniperus","Juniperus scopulorum",NA,NA,"Y","N","Y","tea, leaves and shoots edible","Y","Medicinals","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",118,39,79
"48","Cornus sericea","Dogwood","Cornus","Cornus sericea",NA,NA,"N","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","Forest Resources",NA,NA,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",238,212,26
"49","Celtis occidentalis","Hackberry","Celtis","Celtis occidentalis",NA,NA,"Y","Y","Y","hackberry; fruit","Y","Ornamentals","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,2,NA,"2","Graftstock","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020",62,46,16
"50","Cornus amomum","Dogwood","Cornus","Cornus amomum",NA,NA,"N","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","Forest Resources",NA,NA,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",57,26,31
"51","Rubus canadensis","Blackberry, Raspberry","Rubus","Rubus canadensis",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",29,6,23
"52","Viburnum acerifolium","Highbush cranberry","Viburnum","Viburnum acerifolium",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",57,8,49
"53","Taxus canadensis","Yew","Taxus","Taxus canadensis",NA,NA,"Y","Y","Y","twigs, fruit","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",25,19,6
"54","Corylus americana","Hazelnut","Corylus","Corylus americana",NA,NA,"Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",93,50,43
"55","Crataegus douglasii","Hawthorn","Crataegus","Crataegus douglasii",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",19,12,7
"56","Fagus grandifolia","Beech","Fagus","Fagus grandifolia",NA,NA,"Y","Y","Y","beechnut; nuts","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",38,28,10
"57","Fraxinus americana","Ash","Fraxinus","Fraxinus americana",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2012,570,1442
"58","Fraxinus pennsylvanica","Ash","Fraxinus","Fraxinus pennsylvanica",NA,NA,"Y","Y","Y","ash; inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1800,501,1299
"59","Hamamelis virginiana","Witch-Hazel","Hamamelis","Hamamelis virginiana",NA,NA,"Y","Y","Y","witch-hazel; leaves dried as tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,"Assume distant","2","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",113,72,41
"60","Tilia americana","Linden","Tilia","Tilia americana",NA,NA,"Y","Y","Y","leaves, inner bark, buds, twigs","Y","Forest Resources","Ornamentals",NA,"Forest Resources","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",101,79,22
"61","Shepherdia argentea","Buffaloberry","Shepherdia","Shepherdia argentea",NA,NA,"Y","N","Y","fruit","Y","Food","Food",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",24,4,20
"62","Quercus prinoides","Oak","Quercus","Quercus prinoides",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",14,12,2
"63","Viburnum lantana","Highbush cranberry","Viburnum","Viburnum lantana",NA,NA,"Y","Y","Y","fruit","N","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",49,44,5
"64","Populus tremuloides","Poplar","Populus","Populus tremuloides",NA,NA,"Y","Y","Y","bark, tea","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",175,97,78
"65","Juniperus communis var. depressa","Juniper","Juniperus","Juniperus communis","var.","depressa","Y","N","Y","","Y","Medicinals","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",110,60,50
"66","Malus coronaria","Apple","Malus","Malus coronaria",NA,NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",159,8,151
"67","Ulmus americana","Elm","Ulmus","Ulmus americana",NA,NA,"Y","Y","Y","bark","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",351,298,53
"68","Tsuga canadensis","Hemlock","Tsuga","Tsuga canadensis",NA,NA,"Y","Y","Y","leaves, tea, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",621,176,445
"69","Morus rubra","Mulberry","Morus","Morus rubra",NA,NA,"Y","Y","Y","mulberry; fruit","Y","Food","",NA,"Fruits","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",17,14,3
"70","Myrica gale","Bayberry","Myrica","Myrica gale",NA,NA,"Y","N","Y","fruit, leaves","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",26,21,5
"71","Opuntia fragilis","Prickly-pear cactus","Opuntia","Opuntia fragilis",NA,NA,"Y","N","Y","","Y","Food","",NA,"Fruit","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",24,22,2
"72","Picea engelmannii","Spruce","Picea","Picea engelmannii",NA,NA,"N","Y","Y","gum, needles, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",22,5,17
"73","Picea mariana","Spruce","Picea","Picea mariana",NA,NA,"Y","Y","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",449,39,410
"74","Pinus ponderosa","Pine","Pinus","Pinus ponderosa",NA,NA,"N","Y","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",438,15,423
"75","Populus grandidentata","Poplar","Populus","Populus grandidentata",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",77,14,63
"76","Populus trichocarpa","Poplar","Populus","Populus trichocarpa",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",5,4,1
"77","Viburnum lentago","Highbush cranberry","Viburnum","Viburnum lentago",NA,NA,"Y","Y","Y","Nannyberry, fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",170,126,44
"78","Prunus serotina","Apricot, Cherry, Peach, Plum","Prunus","Prunus serotina",NA,NA,"N","Y","Y","fruit","Y","Food","Ornamentals","Food","Fruits","Ornamentals","Materials","Nuts",1,"Tertiary","1C","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",231,179,52
"79","Prunus virginiana","Apricot, Cherry, Peach, Plum","Prunus","Prunus virginiana",NA,NA,"N","Y","Y","fruit, bark as tea","Y","Food","Ornamentals","Food","Fruits","Ornamentals","Materials","Nuts",1,"Tertiary","1C","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",340,90,250
"80","Salix barclayi","Willow","Salix","Salix barclayi",NA,NA,"Y","Y","Y","greens","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",1,1,0
"81","Amelanchier bartramiana","Saskatoon","Amelanchier","Amelanchier bartramiana",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,1,0
"82","Rosa setigera","Rose","Rosa","Rosa setigera",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",33,25,8
"83","Vitis riparia","Grape","Vitis","Vitis riparia",NA,NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Progenitor","1A","Graftstock","Cold Tolerance (AB)","","Disease Resistance (B)","Pest Resistance (B)","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",255,21,234
"84","Rosa blanda","Rose","Rosa","Rosa blanda",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",20,16,4
"85","Rubus flagellaris","Blackberry, Raspberry","Rubus","Rubus flagellaris",NA,NA,"Y","Y","Y","Northern dewberry","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",14,1,13
"86","Ribes aureum","Currant, Gooseberry","Ribes","Ribes aureum",NA,NA,"N","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1A","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",61,27,34
"87","Ribes cynosbati","Currant, Gooseberry","Ribes","Ribes cynosbati",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","","Crop Quality (AG)","Growth Habit (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",12,6,6
"88","Ribes lacustre","Currant, Gooseberry","Ribes","Ribes lacustre",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",28,7,21
"89","Rosa nutkana subsp. macdougalii","Rose","Rosa","Rosa nutkana","subsp.","macdougalii","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",29,21,8
