SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Helianthus pauciflorus,Helianthus pauciflorus,Helianthus pauciflorus Nutt.,Sunflower,1C,1,N,N4,G5,,Y,52,1,51,5,0,5,Y,N,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary
Helianthus pauciflorus,Helianthus pauciflorus subsp. pauciflorus,Helianthus pauciflorus subsp. pauciflorus,Sunflower,1C,1,N,NU,T5,,Y,52,1,51,0,0,0,Y,Y,Helianthus,subsp.,pauciflorus,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary
Helianthus pauciflorus,Helianthus pauciflorus subsp. subrhomboideus,Helianthus pauciflorus subsp. subrhomboideus (Rydb.) O.Spring & E.E.Schill.,Sunflower,1C,1,N,N4,T5,,Y,52,1,51,5,0,5,Y,Y,Helianthus,subsp.,subrhomboideus,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary
Helianthus petiolaris,Helianthus petiolaris,Helianthus petiolaris Nutt.,Sunflower,1B,1,N,N4,G5,,Y,164,1,163,7,0,7,Y,N,Helianthus,NA,NA,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary
Helianthus petiolaris,Helianthus petiolaris subsp. petiolaris,Helianthus petiolaris subsp. petiolaris,Sunflower,1B,1,N,N5,T5,,Y,164,1,163,7,0,7,Y,Y,Helianthus,subsp.,petiolaris,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary
Helianthus strumosus,Helianthus strumosus,Helianthus strumosus L.,Sunflower,1C,1,N,N5,G5,,Y,30,1,29,0,0,0,,Y,Helianthus,NA,NA,,Y,Food,,Food,Oils,Vegetables,,Oils,Tertiary
Helianthus tuberosus,Helianthus tuberosus,Helianthus tuberosus L.,Sunflower,1A,1,Y,N3,G5,,Y,95,0,95,3,0,3,,Y,Helianthus,NA,NA,jerusalem artichoke; tubers,Y,Food,,Food,Oils,Vegetables,,Oils,Progenitor
Heracleum maximum,Heracleum sphondylium,Heracleum sphondylium L.,Cow-parsnip,NA,NA,Y,N5,G5,,N,27,0,27,2,0,2,,Y,Heracleum,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA
Heuchera chlorantha,Heuchera chlorantha,Heuchera chlorantha Piper,Heuchera,NA,NA,Y,N4,G4,,N,0,0,0,0,0,0,,Y,Heuchera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Holodiscus discolor,Holodiscus discolor,Holodiscus discolor (Pursh) Maxim.,Oceanspray,NA,NA,Y,N5,G5,,N,37,16,21,4,4,0,Y,N,Holodiscus,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Holodiscus discolor,Holodiscus discolor var. discolor,Holodiscus discolor var. discolor,Oceanspray,NA,NA,Y,N5,G5,,N,37,16,21,4,4,0,Y,Y,Holodiscus,var.,discolor,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Honckenya peploides,Honckenya peploides,Honckenya peploides (L.) Ehrh.,Sea-sandwort,NA,NA,Y,N5,G5,,N,5,0,5,2,0,2,N,N,Honckenya,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA
Honckenya peploides,Honckenya peploides subsp. diffusa,Honckenya peploides subsp. diffusa (Hornem.) Hultén ex V.V.Petrovsky,Sea-sandwort,NA,NA,Y,N4,T5,,N,5,0,5,NA,NA,NA,N,Y,Honckenya,subsp.,diffusa,,Y,Food,,NA,Vegetables,,,NA,NA
Honckenya peploides,Honckenya peploides subsp. major,Honckenya peploides subsp. major (Hook.) Hultén,Sea-sandwort,NA,NA,Y,N5,T5,,N,5,0,5,NA,NA,NA,N,Y,Honckenya,subsp.,major,,Y,Food,,NA,Vegetables,,,NA,NA
Honckenya peploides,Honckenya peploides subsp. robusta,Honckenya peploides subsp. robusta (Fernald) Hultén,Sea-sandwort,NA,NA,Y,N5,T5,,N,5,0,5,NA,NA,NA,N,Y,Honckenya,subsp.,robusta,,Y,Food,,NA,Vegetables,,,NA,NA
Hordeum brachyantherum,Hordeum brachyantherum,Hordeum brachyantherum Nevski,Barley,1C,1,N,N5,G5,,Y,93,0,93,4,0,4,Y,N,Hordeum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum brachyantherum,Hordeum brachyantherum subsp. brachyantherum,Hordeum brachyantherum Nevski,Barley,1C,1,N,N5,T5,,Y,93,0,93,4,0,4,Y,Y,Hordeum,subsp.,brachyantherum,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum depressum,Hordeum depressum,Hordeum depressum (Scribn. & J.G.Sm.) Rydb.,Barley,1C,1,N,NNA,G5,,Y,0,0,0,0,0,0,,Y,Hordeum,NA,NA,,N,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum jubatum,Hordeum jubatum,Hordeum jubatum L.,Barley,1C,1,Y,N5,G5,,Y,26,0,26,0,0,0,N,N,Hordeum,NA,NA,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum jubatum,Hordeum jubatum subsp. intermedium,Hordeum jubatum subsp. intermedium Bowden,Barley,1C,1,Y,N5,T5,,Y,26,0,26,NA,NA,NA,N,Y,Hordeum,subsp.,intermedium,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum jubatum,Hordeum jubatum subsp. jubatum,Hordeum jubatum var. jubatum,Barley,1C,1,Y,N5,T5,,Y,26,0,26,NA,NA,NA,N,Y,Hordeum,subsp.,jubatum,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hordeum pusillum,Hordeum pusillum,Hordeum pusillum Nutt.,Barley,1C,1,N,NH,G5,DD - Data Deficient  (DD) / Donn�es insuffisantes (DI),Y,8,0,8,0,0,0,,Y,Hordeum,NA,NA,,N,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Hosackia gracilis,Hosackia gracilis,Hosackia gracilis Benth.,Trefoil,2,2,N,N2,G4,E - Endangered (E) / En voie de disparition (VD),Y,4,3,1,0,0,0,,Y,Hosackia,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Hosackia pinnata,Hosackia pinnata,Hosackia pinnata (Hook.) Abrams,Trefoil,2,2,N,N2,G4,E - Endangered (E) / En voie de disparition (VD),Y,0,0,0,0,0,0,,Y,Hosackia,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Humulus lupulus,Humulus lupulus,Humulus lupulus L.,Hops,1A,1,Y,N5,G5,,Y,164,10,154,4,0,4,Y,N,Humulus,NA,NA,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,Primary
Humulus lupulus,Humulus lupulus var. lupuloides,Humulus lupulus var. lupuloides E.Small,Hops,1A,1,Y,N5,T5,,Y,164,10,154,4,0,4,Y,Y,Humulus,var.,lupuloides,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,Primary
Ilex mucronata,Ilex mucronata,"Ilex mucronata (L.) M.Powell, Savol. & S.Andrews",Winterberry,2,2,N,N5,G5,,Y,18,2,16,13,2,11,,Y,Ilex,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Ilex verticillata,Ilex verticillata,Ilex verticillata (L.) A.Gray,Winterberry,2,2,N,N5,G5,,Y,221,163,58,41,32,9,,Y,Ilex,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Ribes oxyacanthoides,Ribes oxyacanthoides subsp. cognatum,Ribes oxyacanthoides subsp. cognatum (Greene) Q.P.Sinnott,"Currant, Gooseberry",1B,1,Y,N1,T4,,Y,9,1,8,0,0,0,Y,Y,Ribes,subsp.,cognatum,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Juglans nigra,Juglans nigra,Juglans nigra L.,Walnut,1A,1,Y,N4,G5,,Y,134,123,11,106,106,0,,Y,Juglans,NA,NA,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamentals,NA,Progenitor
Juniperus communis,Juniperus communis,Juniperus communis L.,Juniper,NA,NA,Y,N5,G5,,N,110,60,50,11,6,5,N,N,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus communis,Juniperus communis var. charlottensis,Juniperus communis var. charlottensis R.P.Adams,Juniper,NA,NA,Y,N3,T3,,N,110,60,50,NA,NA,NA,N,Y,Juniperus,var.,charlottensis,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus communis,Juniperus communis var. depressa,Juniperus communis var. depressa Pursh,Juniper,NA,NA,Y,N5,T5,,N,110,60,50,NA,NA,NA,N,Y,Juniperus,var.,depressa,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus communis,Juniperus communis var. megistocarpa,Juniperus communis var. megistocarpa Fernald & H.St.John,Juniper,NA,NA,Y,N3,T3,,N,110,60,50,NA,NA,NA,N,Y,Juniperus,var.,megistocarpa,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus communis,Juniperus communis var. saxatilis,Juniperus communis var. saxatilis Pall.,Juniper,NA,NA,Y,N5,T5,,N,110,60,50,NA,NA,NA,N,Y,Juniperus,var.,saxatilis,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus horizontalis,Juniperus horizontalis,Juniperus horizontalis Moench,Juniper,NA,NA,Y,N5,G5,,N,71,66,5,12,12,0,,Y,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Juniperus scopulorum,Juniperus scopulorum,Juniperus scopulorum Sarg.,Juniper,NA,NA,Y,N4,G5,,N,118,39,79,11,8,3,,Y,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA
Kalmia angustifolia,Kalmia angustifolia,Kalmia angustifolia L.,Mountain-laurel,NA,NA,Y,N5,G5,,N,1,0,1,1,0,1,Y,N,Kalmia,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Kalmia angustifolia,Kalmia angustifolia var. angustifolia,Kalmia angustifolia f. angustifolia,Mountain-laurel,NA,NA,Y,N5,T5,,N,1,0,1,1,0,1,Y,Y,Kalmia,var.,angustifolia,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Kalmia microphylla,Kalmia microphylla,Kalmia microphylla (Hook.) A.Heller,Mountain-laurel,NA,NA,Y,N5,G5,,N,7,5,2,0,0,0,Y,N,Kalmia,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Kalmia microphylla,Kalmia microphylla var. microphylla,Kalmia microphylla var. microphylla,Mountain-laurel,NA,NA,Y,N4,T5,,N,7,5,2,0,0,0,Y,Y,Kalmia,var.,microphylla,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Kalmia microphylla,Kalmia microphylla var. occidentalis,Kalmia microphylla var. occidentalis (Small) Ebinger,Mountain-laurel,NA,NA,Y,N5,TNR,,N,7,5,2,0,0,0,Y,Y,Kalmia,var.,occidentalis,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Lactuca tatarica,Lactuca tatarica,Lactuca tatarica (L.) C.A.Mey.,Lettuce,1C,1,Y,NNR,G5,,Y,1,0,1,0,0,0,Y,N,Lactuca,NA,NA,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,Tertiary
Lactuca tatarica,Lactuca tatarica subsp. pulchella,Lactuca tatarica subsp. pulchella (Pursh) Stebbins,Lettuce,1C,1,Y,NA,NA,,Y,1,0,1,0,0,0,Y,Y,Lactuca,subsp.,pulchella,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,Tertiary
Larix laricina,Larix laricina,Larix laricina (Du Roi) K.Koch,Larch,2,2,N,N5,G5,,Y,478,364,114,193,82,111,,Y,Larix,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Larix lyallii,Larix lyallii,Larix lyallii Parl.,Larch,2,2,N,N5,G5,,Y,1,1,0,0,0,0,,Y,Larix,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Larix occidentalis,Larix occidentalis,Larix occidentalis Nutt.,Larch,2,2,Y,N5,G5,,Y,17,2,15,14,2,12,,Y,Larix,NA,NA,"western larch; gum, inner bark, sap",Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Lathyrus japonicus,Lathyrus japonicus,Lathyrus japonicus Willd.,Lathyrus,2,2,Y,N5,G5,,Y,9,0,9,0,0,0,,Y,Lathyrus,NA,NA,beach pea; seeds,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus lanszwertii,Lathyrus lanszwertii,Lathyrus lanszwertii Kellogg,Lathyrus,2,2,N,N2,G4,,Y,0,0,0,0,0,0,Y,N,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus lanszwertii,Lathyrus lanszwertii var. bijugatus,Lathyrus lanszwertii var. bijugatus (T.G.White) Broich,Lathyrus,2,2,N,N1,G4,,Y,0,0,0,0,0,0,Y,Y,Lathyrus,var.,bijugatus,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus littoralis,Lathyrus littoralis,Lathyrus littoralis (Nutt.) Endl. ex Walp.,Lathyrus,2,2,N,N2,G3,T - Threatened (T) / Mec�e (M),Y,1,0,1,0,0,0,,Y,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus nevadensis,Lathyrus nevadensis,Lathyrus nevadensis S.Watson,Lathyrus,2,2,N,N5,G5,,Y,1,0,1,0,0,0,Y,N,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus nevadensis,Lathyrus nevadensis var. nevadensis,Lathyrus nevadensis var. nevadensis,Lathyrus,2,2,N,N5,T5,BC(S5),Y,1,0,1,0,0,0,Y,Y,Lathyrus,var.,nevadensis,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus palustris,Lathyrus palustris,Lathyrus palustris L.,Lathyrus,2,2,Y,N5,G5,,Y,1,0,1,0,0,0,,Y,Lathyrus,NA,NA,marsh vetchling; seeds,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus venosus,Lathyrus venosus,Lathyrus venosus Muhl. ex Willd.,Lathyrus,2,2,N,N5,G5,,Y,1,0,1,1,0,1,,N,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Lathyrus venosus,Lathyrus venosus var. intonsus,Lathyrus venosus var. intonsus Butters & H.St.John,Lathyrus,2,2,N,N5,T5,,Y,1,0,1,0,0,0,,Y,Lathyrus,var.,intonsus,,Y,Food,,NA,Forage and Feed,,,NA,NA
Leymus cinereus,Leymus cinereus,Leymus cinereus (Scribn. & Merr.) Á.Löve,Wheat,1C,1,Y,N5,G5,,Y,379,1,378,23,0,23,,Y,Leymus,NA,NA,wild rye grass; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Leymus innovatus,Leymus innovatus,Leymus innovatus (Beal) Pilg.,Wheat,1C,1,N,N5,G5,,Y,13,0,13,1,0,1,N,N,Leymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Leymus innovatus,Leymus innovatus subsp. innovatus,Leymus innovatus subsp. innovatus,Wheat,1C,1,N,N5,T5,,Y,13,0,13,NA,NA,NA,N,Y,Leymus,subsp.,innovatus,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Leymus innovatus,Leymus innovatus subsp. velutinus,Leymus innovatus subsp. velutinus (Bowden) Tzvelev,Wheat,1C,1,N,NNR,TNR,,Y,13,0,13,NA,NA,NA,N,Y,Leymus,subsp.,velutinus,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Leymus mollis,Leymus mollis,Leymus mollis (Trin.) Pilg.,Wheat,1C,1,Y,N5,G5,,Y,346,1,345,206,1,205,N,N,Leymus,NA,NA,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary
Leymus mollis,Leymus mollis subsp. mollis,Leymus mollis subsp. mollis,Wheat,1C,1,Y,N5,T5,,Y,346,1,345,NA,NA,NA,N,Y,Leymus,subsp.,mollis,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary
Leymus mollis,Leymus mollis subsp. villosissimus,Leymus mollis subsp. villosissimus (Scribn.) Á.Löve & D.Löve,Wheat,1C,1,Y,N4,TNR,,Y,346,1,345,NA,NA,NA,N,Y,Leymus,subsp.,villosissimus,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary
Leymus triticoides,Leymus triticoides,Leymus triticoides (Buckley) Pilg.,Wheat,1C,1,N,NNA,G4,,Y,20,0,20,0,0,0,,Y,Leymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary
Lilium columbianum,Lilium columbianum,Lilium columbianum Leichtlin,Lily,NA,NA,Y,N5,G5,,N,17,10,7,3,2,1,,Y,Lilium,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA
Lindera benzion,Lindera benzoin,Lindera benzoin (L.) Meisn.,Spicebush,2,2,N,N4,G5,,Y,63,32,31,15,11,4,,Y,Lindera,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Linum compactum,Linum compactum,Linum compactum A.Nelson,Flax,1C,1,N,N4,G4,,Y,0,0,0,0,0,0,,Y,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Linum lewisii,Linum lewisii,Linum lewisii Pursh,Flax,1C,1,N,N5,G5,,Y,68,5,63,3,0,3,Y,N,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary
Linum lewisii,Linum lewisii var. lepagei,Linum lewisii var. lepagei (B.Boivin) C.M.Rogers,Flax,1C,1,N,N3,T3,,Y,68,5,63,0,0,0,Y,Y,Linum,var.,lepagei,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary
Linum lewisii,Linum lewisii var. lewisii,Linum lewisii var. lewisii,Flax,1C,1,N,N5,T5,,Y,68,5,63,3,0,3,Y,Y,Linum,var.,lewisii,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary
Linum medium,Linum medium,Linum medium (Planch.) Britton ex Britton & A.Br.,Flax,1C,1,N,N3,G5,,Y,0,0,0,0,0,0,Y,N,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Linum medium,Linum medium var. medium,Linum medium var. medium,Flax,1C,1,N,N3,T3,,Y,0,0,0,0,0,0,Y,Y,Linum,var.,medium,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Vaccinium stamineum,Vaccinium stamineum,Vaccinium stamineum L.,"Blueberry, Cranberry",1C,1,Y,N1,G5,T - Threatened (T) / Mec�e (M),Y,25,5,20,0,0,0,,Y,Vaccinium,NA,NA,"fruit, leaves and fruit as tea",Y,Food,,NA,Fruits,,,NA,Assume distant
Linum perenne,Linum perenne,Linum perenne L.,Flax,1C,1,Y,NNA,GNR,,Y,20,2,18,0,0,0,,Y,Linum,NA,NA,seeds,N,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Linum rigidum,Linum rigidum,Linum rigidum Pursh,Flax,1C,1,N,N5,G5,,Y,3,0,3,1,0,1,,Y,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Amaranthus californicus,Amaranthus californicus,Amaranthus californicus (Moq.) S.Watson,Amaranth,1C,1,Y,N2,G4,,Y,1,0,1,0,0,0,,Y,Amaranthus,NA,NA,greens and seeds used,Y,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant
Linum sulcatum,Linum sulcatum,Linum sulcatum Riddell,Flax,1C,1,N,N3,G5,,Y,3,0,3,0,0,0,,Y,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant
Linum usitatissimum,Linum usitatissimum,Linum usitatissimum L.,Flax,1A,1,N,NNA,GNR,,Y,6337,0,6337,47,0,47,,Y,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Progenitor
Dichanthelium wilcoxianum,Dichanthelium wilcoxianum,Dichanthelium wilcoxianum (Vasey) Freckmann,Proso-millet,1C,1,N,N2,G5,,Y,0,0,0,0,0,0,,Y,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant
Lomatium ambiguum,Lomatium ambiguum,Lomatium ambiguum (Nutt.) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N5,G4,,N,5,0,5,0,0,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium cous,Lomatium cous,Lomatium cous (S.Watson) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N1,G5,,N,4,0,4,0,0,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium dissectum,Lomatium dissectum,Lomatium dissectum (Nutt. ex Torr. & Gray) Mathias & Constance,Biscuitroot,NA,NA,Y,NNR,G4,,N,72,2,70,2,2,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium foeniculaceum,Lomatium foeniculaceum,Lomatium foeniculaceum (Nutt.) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N5,G5,,N,15,0,15,0,0,0,Y,N,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium foeniculaceum,Lomatium foeniculaceum subsp. foeniculaceum,Lomatium foeniculaceum subsp. foeniculaceum,Biscuitroot,NA,NA,Y,N5,G5,,N,15,0,15,0,0,0,Y,Y,Lomatium,subsp.,foeniculaceum,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium geyeri,Lomatium geyeri,Lomatium geyeri (S.Watson) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N5,G4,,N,0,0,0,0,0,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium macrocarpum,Lomatium macrocarpum,Lomatium macrocarpum (Hook. & Arn.) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N5,G5,,N,18,1,17,0,0,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium nudicaule,Lomatium nudicaule,Lomatium nudicaule (Pursh) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N4,G5,,N,37,5,32,3,3,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium triternatum,Lomatium triternatum,Lomatium triternatum (Pursh) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N4,G5,,N,49,2,47,0,0,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lomatium utriculatum,Lomatium utriculatum,Lomatium utriculatum (Nutt. ex Torr. & Gray) J.M.Coult. & Rose,Biscuitroot,NA,NA,Y,N5,G5,,N,14,6,8,4,4,0,,Y,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA
Lonicera canadensis,Lonicera canadensis,Lonicera canadensis Bartram ex Marshall,Honeysuckle,2,2,N,N5,G5,,Y,11,10,1,9,8,1,,Y,Lonicera,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Lonicera ciliosa,Lonicera ciliosa,Lonicera ciliosa (Pursh) Poir.,Honeysuckle,NA,NA,Y,N5,G5,,N,16,11,5,8,8,0,,Y,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Lonicera involucrata,Lonicera involucrata,Lonicera involucrata (Richards.) Banks ex Spreng.,Honeysuckle,NA,NA,Y,N5,G5,,N,13,9,4,1,1,0,Y,N,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Lonicera involucrata,Lonicera involucrata var. involucrata,Lonicera involucrata var. involucrata,Honeysuckle,NA,NA,Y,N5,T4,,N,13,9,4,1,1,0,Y,Y,Lonicera,var.,involucrata,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Lonicera utahensis,Lonicera utahensis,Lonicera utahensis S.Watson,Honeysuckle,NA,NA,Y,N5,G5,,N,1,1,0,1,1,0,,Y,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA
Lupinus arbustus,Lupinus arbustus,Lupinus arbustus Douglas,Lupin,1C,1,Y,NNA,G5,,Y,16,0,16,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus arcticus,Lupinus arcticus,Lupinus arcticus S.Watson,Lupin,1C,1,Y,N5,G5,,Y,5,2,3,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus argenteus,Lupinus argenteus,Lupinus argenteus Pursh,Lupin,1C,1,Y,N4,G5,,Y,51,0,51,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus bicolor,Lupinus bicolor,Lupinus bicolor Lindl.,Lupin,1C,1,Y,N5,G5,,Y,24,0,24,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus depressus,Lupinus depressus,Lupinus depressus Rydb.,Lupin,1C,1,Y,NNA,G4,,Y,0,0,0,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus kuschei,Lupinus kuschei,Lupinus kuschei Eastw.,Lupin,1C,1,Y,N4,G4,,Y,0,0,0,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Lupinus latifolius,Lupinus latifolius,Lupinus latifolius Lindl. ex J.Agardh,Lupin,1C,1,Y,N5,G5,,Y,8,0,8,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Elymus scribneri,Elymus scribneri,Elymus scribneri (Vasey) M.E.Jones,Wheat,1C,1,N,N2,G5,,Y,2,0,2,0,0,0,,Y,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary
