SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Agrostis perennans,Agrostis perennans,Agrostis perennans (Walter) Tuck.,Bentgrass,2,2,N,N5,G5,,Y,3,0,3,2,0,2,,Y,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Agrostis scabra,Agrostis scabra,Agrostis scabra Willd.,Bentgrass,2,2,N,NNR,G5,,Y,15,0,15,3,0,3,,Y,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA
Allium acuminatum,Allium acuminatum,Allium acuminatum Hook.,"Onions, Garlic, Leeks",1C,1,Y,N5,G5,,Y,31,2,29,1,1,0,,Y,Allium,NA,NA,Hooker's onion; blubs,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium amplectens,Allium amplectens,Allium amplectens Torr.,"Onions, Garlic, Leeks",1C,1,Y,N3,G4,,Y,7,1,6,1,1,0,,Y,Allium,NA,NA,slim leaf onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium canadense,Allium canadense,Allium canadense L.,"Onions, Garlic, Leeks",1C,1,Y,N5,G5,,Y,4,2,2,2,2,0,Y,N,Allium,NA,NA,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium canadense,Allium canadense var. canadense,Allium canadense var. canadense,"Onions, Garlic, Leeks",1C,1,Y,N5,T5,,Y,4,2,2,2,2,0,Y,Y,Allium,var.,canadense,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium cernuum,Allium cernuum,Allium cernuum Roth,"Onions, Garlic, Leeks",1C,1,Y,NNR,G5,,Y,45,25,20,3,3,0,,Y,Allium,NA,NA,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium crenulatum,Allium crenulatum,Allium crenulatum Wiegand,"Onions, Garlic, Leeks",1C,1,Y,N4,G4,,Y,1,1,0,0,0,0,,Y,Allium,NA,NA,Olympic onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium geyeri,Allium geyeri,Allium geyeri S.Watson,"Onions, Garlic, Leeks",1C,1,Y,N4,G4,,Y,7,1,6,0,0,0,Y,N,Allium,NA,NA,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium geyeri,Allium geyeri var. tenerum,Allium geyeri var. tenerum M.E.Jones,"Onions, Garlic, Leeks",1C,1,Y,N4,T4,,Y,7,1,6,0,0,0,Y,Y,Allium,var.,tenerum,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
