TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Allium geyeri var. tenerum,Allium geyeri,1,Y,Y,Y,Y,T4,N4,,7,1,6,0,0,0,"Onions, Garlic, Leeks",Allium,var.,tenerum,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium schoenoprasum,Allium schoenoprasum,1,Y,Y,N,N,G5,N5,,49,16,33,0,0,0,"Onions, Garlic, Leeks",Allium,NA,NA,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Allium schoenoprasum var. schoenoprasum,Allium schoenoprasum,1,Y,Y,N,Y,T5,NNA,,49,16,33,NA,NA,NA,"Onions, Garlic, Leeks",Allium,var.,schoenoprasum,gathered as 'wild chives',N,Food,,NA,Vegetables,,,NA,Tertiary,1C
Allium schoenoprasum var. sibiricum,Allium schoenoprasum,1,Y,Y,N,Y,T5,N5,,49,16,33,NA,NA,NA,"Onions, Garlic, Leeks",Allium,var.,schoenoprasum,gathered as 'wild chives',N,Food,,NA,Vegetables,,,NA,Tertiary,1C
Allium stellatum,Allium stellatum,1,Y,Y,,Y,G5,N5,,4,4,0,0,0,0,"Onions, Garlic, Leeks",Allium,NA,NA,"prairie onion or pink flowered onion, both the bulbs and greens consumed",Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium textile,Allium textile,1,Y,Y,,Y,G5,N5,,33,0,33,0,0,0,"Onions, Garlic, Leeks",Allium,NA,NA,wild onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium tricoccum,Allium tricoccum,1,Y,Y,Y,N,G5,N4,,15,11,4,9,8,1,"Onions, Garlic, Leeks",Allium,NA,NA,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium tricoccum var. burdickii,Allium tricoccum,1,Y,Y,Y,Y,G4,N3,,15,11,4,0,0,0,"Onions, Garlic, Leeks",Allium,var.,burdickii,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium tricoccum var. tricoccum,Allium tricoccum,1,Y,Y,Y,Y,G5,N4,,15,11,4,9,8,1,"Onions, Garlic, Leeks",Allium,var.,tricoccum,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Alnus alnobetula,Alnus alnobetula,2,Y,Y,Y,N,G5,N5,,91,4,87,87,0,87,Alder,Alnus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus alnobetula subsp. crispa,Alnus alnobetula,2,Y,Y,Y,Y,T5,N5,,91,4,87,67,0,67,Alder,Alnus,subsp.,crispa,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus alnobetula subsp. sinuata,Alnus alnobetula,2,Y,Y,Y,Y,T5,N5,,91,4,87,20,0,20,Alder,Alnus,subsp.,sinuata,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus incana,Alnus incana,2,Y,Y,Y,N,G5,N5,,69,8,61,52,3,49,Alder,Alnus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus incana subsp. rugosa,Alnus incana,2,Y,Y,Y,Y,T5,N5,,69,8,61,42,3,39,Alder,Alnus,subsp.,rugosa,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus incana subsp. tenuifolia,Alnus incana,2,Y,Y,Y,Y,T5,N5,,69,8,61,10,0,10,Alder,Alnus,subsp.,tenuifolia,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus rubra,Alnus rubra,2,Y,Y,,Y,G5,N5,,44,6,38,33,0,33,Alder,Alnus,NA,NA,inner bark and catkins,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Alnus serrulata,Alnus serrulata,2,Y,Y,,Y,G5,N3,,5,0,5,5,0,5,Alder,Alnus,NA,NA,inner bark and catkins,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Amaranthus albus,Amaranthus albus,1,Y,Y,,Y,GNR,NNA,,8,0,8,1,0,1,Amaranth,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant,1C
Amaranthus californicus,Amaranthus californicus,1,Y,Y,,Y,G4,N2,,1,0,1,0,0,0,Amaranth,Amaranthus,NA,NA,greens and seeds used,Y,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant,1C
Amaranthus hybridus,Amaranthus hybridus,1,Y,Y,,Y,G5,NNA,,142,0,142,0,0,0,Amaranth,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Progenitor,1A
Amaranthus retroflexus,Amaranthus retroflexus,1,Y,Y,,Y,G5,N5,,29,0,29,2,0,2,Amaranth,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Secondary,1B
Amaranthus tuberculatus,Amaranthus tuberculatus,1,Y,N,,Y,GNR,N4,,52,0,52,0,0,0,Amaranth,Amaranthus,NA,NA,,Y,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant,1C
Ambrosia chamissonis,Ambrosia chamissonis,NA,N,Y,,Y,G5,N5,,1,0,1,0,0,0,Ragweed,Ambrosia,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Amelanchier alnifolia,Amelanchier alnifolia,1,Y,Y,N,N,G5,NNR,,176,71,105,32,27,5,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor,1A
Amelanchier alnifolia var. alnifolia,Amelanchier alnifolia,1,Y,Y,N,Y,T5,N5,,176,71,105,NA,NA,NA,Saskatoon,Amelanchier,var.,alnifolia,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor,1A
Amelanchier alnifolia var. humptulipensis,Amelanchier alnifolia,1,Y,Y,N,Y,T4,NNR,,176,71,105,NA,NA,NA,Saskatoon,Amelanchier,var.,humptulipensis,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor,1A
Amelanchier alnifolia var. pumila,Amelanchier alnifolia,1,Y,Y,N,Y,G5,NNR,,176,71,105,NA,NA,NA,Saskatoon,Amelanchier,var.,pumila,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier alnifolia var. semiintegrifolia,Amelanchier alnifolia,1,Y,Y,N,Y,T4,NNR,,176,71,105,NA,NA,NA,Saskatoon,Amelanchier,var.,semiintegrifolia,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor,1A
Amelanchier arborea,Amelanchier arborea,1,Y,Y,,Y,G5,NNR,,22,12,10,3,3,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier bartramiana,Amelanchier bartramiana,1,Y,Y,,Y,G5,N5,,1,1,0,1,1,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier canadensis,Amelanchier canadensis,1,Y,Y,,Y,G5,N4,,39,34,5,0,0,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier cusickii,Amelanchier cusickii,1,Y,Y,,Y,T5,N5,,6,4,2,4,2,2,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor,1A
Amelanchier humilis,Amelanchier humilis,1,Y,Y,,Y,G5,N5,,15,15,0,14,14,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier interior,Amelanchier interior,1,Y,Y,,Y,G5,N5,,1,1,0,0,0,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier intermedia,Amelanchier intermedia,1,Y,Y,,Y,GNA,N5,,12,11,1,7,7,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier laevis,Amelanchier laevis,1,Y,Y,,Y,G5,N5,,47,42,5,7,7,0,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier sanguinea,Amelanchier sanguinea,1,Y,Y,,Y,G5,NNR,,6,2,4,2,1,1,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amelanchier spicata,Amelanchier spicata,1,Y,Y,,Y,G5,N5,,14,0,14,2,0,2,Saskatoon,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant,1C
Amphicarpaea bracteata,Amphicarpaea bracteata,NA,N,Y,N,N,G5,N5,,3,1,2,0,0,0,Hog-peanut,Amphicarpaea,NA,NA,Hog-peanut; seeds,Y,Food,,NA,Pulses,,,NA,NA,NA
Amphicarpaea bracteata var. bracteata,Amphicarpaea bracteata,NA,N,Y,N,Y,T5,NNR,,3,1,2,NA,NA,NA,Hog-peanut,Amphicarpaea,var.,bracteata,Hog-peanut; seeds,Y,Food,,NA,Pulses,,,NA,NA,NA
Amphicarpaea bracteata var. comosa,Amphicarpaea bracteata,NA,N,Y,N,Y,T5,NNR,,3,1,2,NA,NA,NA,Hog-peanut,Amphicarpaea,var.,comosa,Hog-peanut; seeds,Y,Food,,NA,Pulses,,,NA,NA,NA
Andropogon hallii,Andropogon hallii,2,Y,N,,Y,G4,N2,,19,0,19,0,0,0,Bluestem,Andropogon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Apios americana,Apios americana,NA,N,Y,,Y,G5,N5,,9,9,0,3,3,0,Ground nut,Apios,NA,NA,ground nut' or 'potato bean' edible tuber,Y,Food,,NA,Vegetables,,,NA,NA,NA
Aralia nudicaulis,Aralia nudicaulis,NA,N,Y,,Y,G5,N5,,15,14,1,9,9,0,Wild-sarsaparilla,Aralia,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Arbutus menziesii,Arbutus menziesii,NA,N,Y,,Y,G5,N5,,34,32,2,15,15,0,Arbutus,Arbutus,NA,NA,medicinal properties,Y,Medicinals,Food,NA,Medicinals,Fruits,,NA,NA,NA
Arctopoa eminens,Arctopoa eminens,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,Bluegrass,Arctopoa,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Arctostaphylos columbiana,Arctostaphylos columbiana,NA,N,Y,,Y,G5,N5,,7,4,3,4,4,0,Bearberry,Arctostaphylos,NA,NA,berries edible,Y,Food,,NA,Fruits,,,NA,NA,NA
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,NA,N,Y,,Y,G5,N5,,48,36,12,9,9,0,Bearberry,Arctostaphylos,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Arctous rubra,Arctous rubra,NA,N,Y,,Y,G5,N5,,0,0,0,0,0,0,Bearberry,Arctous,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Arnica cordifolia,Arnica cordifolia,NA,N,Y,,Y,G5,N5,,10,4,6,2,2,0,Arnica,Arnica,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Aruncus dioicus,Aruncus dioicus,NA,N,Y,Y,N,G5,N5,,47,37,10,4,4,0,Goatsbeard,Aruncus,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Aruncus dioicus var. acuminatus,Aruncus dioicus,NA,N,Y,Y,Y,T5,N5,,47,37,10,4,4,0,Goatsbeard,Aruncus,var.,acuminatus,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Asarum canadense,Asarum canadense,NA,N,Y,,Y,G5,N5,,23,20,3,5,5,0,Wild-ginger,Asarum,NA,NA,wild ginger; rhizomes as condiment,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Asarum caudatum,Asarum caudatum,NA,N,Y,,Y,G5,NNR,,17,17,0,7,7,0,Wild-ginger,Asarum,NA,NA,wild ginger; rhizomes as condiment,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Asimina triloba,Asimina triloba,NA,N,Y,,Y,G5,N3,,51,31,20,13,12,1,Pawpaw,Asimina,NA,NA,pawpaw' or custard apple,Y,Food,,NA,Fruits,,,NA,NA,NA
Astragalus agrestis,Astragalus agrestis,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus alpinus,Astragalus alpinus,2,Y,N,N,N,G5,N5,,9,1,8,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus alpinus var. alpinus,Astragalus alpinus,2,Y,N,N,Y,T5,N5,,9,1,8,NA,NA,NA,Milk-vetch,Astragalus,var.,alpinus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus alpinus var. brunetianus,Astragalus alpinus,2,Y,N,N,Y,T3,N3,,9,1,8,NA,NA,NA,Milk-vetch,Astragalus,var.,brunetianus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus americanus,Astragalus americanus,2,Y,Y,,Y,G5,N5,,3,1,2,1,0,1,Milk-vetch,Astragalus,NA,NA,roots,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus beckwithii,Astragalus beckwithii,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus beckwithii var. weiserensis,Astragalus beckwithii,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,weiserensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus bisulcatus,Astragalus bisulcatus,2,Y,N,Y,N,G5,N4,,2,0,2,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus bisulcatus var. bisulcatus,Astragalus bisulcatus,2,Y,N,Y,Y,T5,N4,,2,0,2,0,0,0,Milk-vetch,Astragalus,var.,bisulcatus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus bodinii,Astragalus bodinii,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus bourgovii,Astragalus bourgovii,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus canadensis,Astragalus canadensis,2,Y,Y,N,N,G5,N5,,10,2,8,2,1,1,Milk-vetch,Astragalus,NA,NA,roots,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus canadensis var. brevidens,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,10,2,8,NA,NA,NA,Milk-vetch,Astragalus,var.,brevidens,roots,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus canadensis var. canadensis,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,10,2,8,NA,NA,NA,Milk-vetch,Astragalus,var.,canadensis,roots,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus canadensis var. mortonii,Astragalus canadensis,2,Y,Y,N,Y,T5,N5,,10,2,8,NA,NA,NA,Milk-vetch,Astragalus,var.,mortonii,roots,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus collinus,Astragalus collinus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus collinus var. collinus,Astragalus collinus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,collinus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus crassicarpus,Astragalus crassicarpus,2,Y,Y,Y,N,G5,N4,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,unripe pods and seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus crassicarpus var. crassicarpus,Astragalus crassicarpus,2,Y,Y,Y,Y,T5,N4,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,crassicarpus,unripe pods and seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
