"","Accession","Name","Taxonomy","Origin","Repository","Taxon","Genus","Species","Rank","Infraspecific"
"283","CN 100165","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"284","CN 100176","Native 'BC Collection: Site 20'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"285","CN 100198","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"286","CN 100210","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"287","CN 100221","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"288","CN 100232","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"289","CN 100243","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"290","CN 100254","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"291","CN 100276","Native 'BC Collection: Site 21'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"292","CN 100287","Native 'BC Collection: Site 25'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"293","CN 100332","Native 'BC Collection: Site 25'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"294","CN 100409","Native 'BC Collection: Site 25'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"295","CN 100464","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"296","CN 100475","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"297","CN 100486","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"298","CN 100497","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"299","CN 100508","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"300","CN 100519","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"301","CN 100530","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"302","CN 103892","Native 'BC Collection: Site 26'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"303","CN 99052","Native 'BC Collection: Site 28'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"304","CN 99063","Native 'BC Collection: Site 28'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"305","CN 99074","Native 'BC Collection: Site 28'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"306","CN 99085","Native 'BC Collection: Site 28'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"307","CN 99096","Native 'BC Collection: Site 29'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"308","CN 99107","Native 'BC Collection: Site 29'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"309","CN 99118","Native 'BC Collection: Site 29'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"310","CN 99129","Native 'BC Collection: Site 29'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"311","CN 99152","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"312","CN 99163","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"313","CN 99174","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"314","CN 99185","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"315","CN 99196","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"316","CN 99207","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"317","CN 99218","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"318","CN 99229","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"319","CN 99240","Native 'BC Collection: Site 34'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"320","CN 99251","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"321","CN 99263","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"322","CN 99274","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"323","CN 99285","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"324","CN 99296","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"325","CN 99307","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"326","CN 99318","Native 'BC Collection: Site 40'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"327","CN 99350","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"328","CN 99361","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"329","CN 99373","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"330","CN 99395","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"331","CN 99406","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"332","CN 99417","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"333","CN 99428","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"334","CN 99439","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"335","CN 99450","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"336","CN 99461","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"337","CN 99471","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"338","CN 99483","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"339","CN 99494","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"340","CN 99505","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"341","CN 99516","Native 'BC Collection: Site 44'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"342","CN 99527","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"343","CN 99538","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"344","CN 99549","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"345","CN 99560","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"346","CN 99579","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"347","CN 99591","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"348","CN 99602","Native 'BC Collection: Site 45'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"349","CN 99609","Native 'BC Collection: Site 46'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"350","CN 99613","Native 'BC Collection: Site 46'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"351","CN 99617","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"352","CN 99618","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"353","CN 99619","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"354","CN 99620","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"355","CN 99621","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"356","CN 99623","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"357","CN 99625","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"358","CN 99626","Native 'BC Collection: Site 47'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"359","CN 99627","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"360","CN 99628","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"361","CN 99629","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"362","CN 99630","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"363","CN 99631","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"364","CN 99632","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"365","CN 99634","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"366","CN 99635","Native 'BC Collection: Site 48'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"367","CN 99636","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"368","CN 99637","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"369","CN 99638","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"370","CN 99639","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"371","CN 99640","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"372","CN 99641","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"373","CN 99642","Native 'BC Collection: Site 49'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"374","CN 99643","Native 'BC Collection: Site 50'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"375","CN 99645","Native 'BC Collection: Site 50'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"376","CN 99646","Native 'BC Collection: Site 50'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"377","CN 99647","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"378","CN 99648","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"379","CN 99649","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
