"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"75","Pinus flexilis","Pine","Pinus","Pinus flexilis",NA,NA,"Y","Y","N","","Y","Forest Resources","Ornamentals",NA,"Forest Resources","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",478,3,475
"76","Pinus monticola","Pine","Pinus","Pinus monticola",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",164,3,161
"77","Poa pratensis","Bluegrass","Poa","Poa pratensis",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",957,1,956
"78","Prunella vulgaris","Heal-All","Prunella","Prunella vulgaris",NA,NA,"N","N","Y","flowers and leaves as tea","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020",61,5,56
"79","Rosa acicularis","Rose","Rosa","Rosa acicularis",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",24,13,11
"80","Rosa arkansana","Rose","Rosa","Rosa arkansana",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,2,5
"81","Rosa pisocarpa","Rose","Rosa","Rosa pisocarpa",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,8,4
"82","Salix arctica","Willow","Salix","Salix arctica",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"83","Salix arctophila","Willow","Salix","Salix arctophila",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"84","Salix scouleriana","Willow","Salix","Salix scouleriana",NA,NA,"Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,2,0
"85","Sambucus racemosa","Elderberry","Sambucus","Sambucus racemosa",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",42,9,33
"86","Schizachyrium scoparium","Bluestem","Schizachyrium","Schizachyrium scoparium",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",173,23,150
"87","Astragalus alpinus","Milk-vetch","Astragalus","Astragalus alpinus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",9,1,8
