"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"1","Abies balsamea","Fir","Abies","Abies balsamea",NA,NA,"Y","Y","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",225,96,129
"2","Abies grandis","Fir","Abies","Abies grandis",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",24,10,14
"3","Abies lasiocarpa","Fir","Abies","Abies lasiocarpa",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",32,19,13
"4","Alnus incana subsp. rugosa","Alder","Alnus","Alnus incana","subsp.","rugosa","Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",21,8,13
"5","Alnus rubra","Alder","Alnus","Alnus rubra",NA,NA,"Y","Y","Y","inner bark and catkins","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",44,6,38
"6","Betula alleghaniensis","Birch","Betula","Betula alleghaniensis",NA,NA,"Y","Y","Y","twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",247,55,192
"7","Populus balsamifera","Poplar","Populus","Populus balsamifera",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",74,14,60
"8","Quercus macrocarpa","Oak","Quercus","Quercus macrocarpa",NA,NA,"Y","Y","Y","acorns, seed meal","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",158,152,6
"9","Betula occidentalis","Birch","Betula","Betula occidentalis",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",19,10,9
"10","Pseudotsuga menziesii var. glauca","Douglas fir","Pseudotsuga","Pseudotsuga menziesii","var.","glauca","Y","Y","Y","needles, sugar, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",161,115,46
"11","Betula papyrifera","Birch","Betula","Betula papyrifera",NA,NA,"Y","Y","Y","leaves, twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1031,847,184
"12","Betula lenta","Birch","Betula","Betula lenta",NA,NA,"Y","Y","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",86,72,14
"13","Picea rubens","Spruce","Picea","Picea rubens",NA,NA,"Y","Y","Y","needles, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",208,25,183
"14","Quercus rubra","Oak","Quercus","Quercus rubra",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",478,466,12
"15","Quercus muehlenbergii","Oak","Quercus","Quercus muehlenbergii",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",140,119,21
"16","Populus deltoides subsp. deltoides","Poplar","Populus","Populus deltoides","subsp.","deltoides","Y","Y","Y","buds, fruit","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",12,9,3
"17","Pinus banksiana","Pine","Pinus","Pinus banksiana",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1051,51,1000
"18","Pinus strobus","Pine","Pinus","Pinus strobus",NA,NA,"Y","Y","Y","needles","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1474,1195,279
"19","Quercus velutina","Oak","Quercus","Quercus velutina",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",34,26,8
"20","Betula populifolia","Birch","Betula","Betula populifolia",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",87,33,54
"21","Pinus rigida","Pine","Pinus","Pinus rigida",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",47,9,38
"22","Pinus contorta var. latifolia","Pine","Pinus","Pinus contorta","var.","latifolia","Y","Y","Y","seeds, inner bark, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",160,37,123
"23","Salix lucida","Willow","Salix","Salix lucida",NA,NA,"N","Y","Y","","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,13,0
"24","Quercus alba","Oak","Quercus","Quercus alba",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",43,27,16
"25","Fraxinus nigra","Ash","Fraxinus","Fraxinus nigra",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",594,42,552
"26","Fraxinus quadrangulata","Ash","Fraxinus","Fraxinus quadrangulata",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",162,55,107
"27","Quercus bicolor","Oak","Quercus","Quercus bicolor",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",85,81,4
"28","Picea glauca","Spruce","Picea","Picea glauca",NA,NA,"Y","Y","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2374,890,1484
"29","Celtis occidentalis","Hackberry","Celtis","Celtis occidentalis",NA,NA,"Y","Y","Y","hackberry; fruit","Y","Ornamentals","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,2,NA,"2","Graftstock","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020",62,46,16
"30","Viburnum acerifolium","Highbush cranberry","Viburnum","Viburnum acerifolium",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",57,8,49
"31","Taxus canadensis","Yew","Taxus","Taxus canadensis",NA,NA,"Y","Y","Y","twigs, fruit","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",25,19,6
"32","Fagus grandifolia","Beech","Fagus","Fagus grandifolia",NA,NA,"Y","Y","Y","beechnut; nuts","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",38,28,10
"33","Fraxinus americana","Ash","Fraxinus","Fraxinus americana",NA,NA,"Y","Y","Y","ash; leaves and seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2012,570,1442
"34","Fraxinus pennsylvanica","Ash","Fraxinus","Fraxinus pennsylvanica",NA,NA,"Y","Y","Y","ash; inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1800,501,1299
"35","Hamamelis virginiana","Witch-Hazel","Hamamelis","Hamamelis virginiana",NA,NA,"Y","Y","Y","witch-hazel; leaves dried as tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,"Assume distant","2","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",113,72,41
"36","Tilia americana","Linden","Tilia","Tilia americana",NA,NA,"Y","Y","Y","leaves, inner bark, buds, twigs","Y","Forest Resources","Ornamentals",NA,"Forest Resources","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",101,79,22
"37","Quercus prinoides","Oak","Quercus","Quercus prinoides",NA,NA,"Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",14,12,2
"38","Viburnum lantana","Highbush cranberry","Viburnum","Viburnum lantana",NA,NA,"Y","Y","Y","fruit","N","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",49,44,5
"39","Populus tremuloides","Poplar","Populus","Populus tremuloides",NA,NA,"Y","Y","Y","bark, tea","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",175,97,78
"40","Larix laricina","Larch","Larix","Larix laricina",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",478,364,114
"41","Magnolia acuminata","Magnolia","Magnolia","Magnolia acuminata",NA,NA,"Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","Graftstock","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","",71,48,23
"42","Ulmus americana","Elm","Ulmus","Ulmus americana",NA,NA,"Y","Y","Y","bark","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",351,298,53
"43","Pinus resinosa","Pine","Pinus","Pinus resinosa",NA,NA,"Y","Y","N","","Y","Forest Resources","Ornamentals",NA,"Forest Resources","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",380,227,153
"44","Tsuga canadensis","Hemlock","Tsuga","Tsuga canadensis",NA,NA,"Y","Y","Y","leaves, tea, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",621,176,445
"45","Morus rubra","Mulberry","Morus","Morus rubra",NA,NA,"Y","Y","Y","mulberry; fruit","Y","Food","",NA,"Fruits","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",17,14,3
