TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Acmispon denticulatus,Acmispon denticulatus,Acmispon denticulatus,2,Y,N,,Y,G5,N4,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Trefoil,,Acmispon,NA,NA,Acmispon denticulatus (Drew) D.D.Sokoloff,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), NV(S2), OR(SNR), UT(SNR), WA(SNR)",BC(S4S5)
Acmispon parviflorus,Acmispon parviflorus,Acmispon parviflorus,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Trefoil,,Acmispon,NA,NA,Acmispon parviflorus (Benth.) D.D.Sokoloff,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CA(SNR), OR(SNR), WA(SNR)",BC(S4S5)
Agastache foeniculum,Agastache foeniculum,Agastache foeniculum,NA,N,Y,,Y,G5,N5,,15,15,30,0,30,0,0,4,0,4,Davidson 1995,Kuhnlein and Turner 2020,Hyssop,,Agastache,NA,NA,Agastache foeniculum (Pursh) Kuntze,,,,Y,Forage and Feed,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"CO(S2), CT(SNA), DE(SNA), IA(S1), IL(SNR), KY(SNA), MI(SNA), MN(SNR), MT(SU), ND(SNR), NE(S1), NH(SNR), NY(SNA), PA(SNR), SD(SNR), WA(SNR), WI(SNR), WY(S2)","AB(S4), BC(SNA), MB(S5), NB(SNA), NT(SNR), ON(S4), ON(S4), QC(SNA), SK(S4)"
Agastache nepetoides,Agastache nepetoides,Agastache nepetoides,NA,N,Y,,Y,G5,N4,,4,4,13,0,13,1,1,1,0,1,Davidson 1995,Kuhnlein and Turner 2020,Hyssop,,Agastache,NA,NA,Agastache nepetoides (L.) Kuntze,,,,Y,Forage and Feed,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"AL(S1), AR(SNR), CT(S1), DC(SNR), DE(S2), GA(S1), GS(P1), IA(S4), IL(SNR), IN(S4), KS(SNR), KY(S4?), MA(SNR), MD(SNR), MI(SNR), MN(S1), MO(SNR), NC(S1), NE(SNR), NJ(S2), NY(S2S3), OH(SNR), OK(SNR), PA(SNR), SC(SX), SD(SNR), TN(SNR), TV(SNR), VA(S5), VT(S1), WI(S3), WV(S4)","ON(S4), QC(S1)"
Agastache urticifolia,Agastache urticifolia,Agastache urticifolia,NA,N,Y,,Y,G5,N4,,1,1,41,0,41,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Hyssop,,Agastache,NA,NA,Agastache urticifolia (Benth.) Kuntze,,,,Y,Forage and Feed,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"CA(SNR), CO(SNR), ID(SNR), MT(S4S5), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S4)
Agrostis exarata,Agrostis exarata,Agrostis exarata,2,Y,N,,Y,G5,N5,,0,0,3,0,3,0,0,1,0,1,Davidson 1995,,Bentgrass,,Agrostis,NA,NA,Agrostis exarata Trin.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), KY(SNA), MT(S4S5), ND(S1), NE(SNR), NM(SNR), NN(SNR), NV(SNR), OK(SNR), OR(SNR), SD(SNR), TX(SNR), UT(SNR), VT(SNR), WA(SNR), WY(S3S4)","AB(S3), BC(S5), NT(S3), SK(S3S4), YT(S2S3)"
Agrostis hyemalis,Agrostis hyemalis,Agrostis hyemalis,2,Y,N,,Y,G5,N1,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,,Bentgrass,,Agrostis,NA,NA,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P3), IA(S4), IL(S5), IN(S5), KS(SNR), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S1), MO(SNR), MS(SNR), NC(S5), NE(SNR), NH(SNR), NJ(S5), NY(S4S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S4)",ON(S1)
Agrostis mertensii,Agrostis mertensii,Agrostis mertensii,2,Y,N,,Y,G5,N5,,0,0,5,0,5,0,0,2,0,2,Davidson 1995,,Bentgrass,,Agrostis,NA,NA,Agrostis mertensii Trin.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), CO(SNR), GS(P1), ME(S2), MT(S3?), NC(S1), NH(S3), NY(S2), TN(S1), TV(SNR), UT(SNR), VT(S1), WA(S1S2), WV(S1), WY(S2)","AB(S2), BC(S5), LB(S4S5), MB(S2S3), NB(S2), NF(S4S5), NT(S4), NU(S4), ON(S2), QC(S5?), SK(SH), YT(S3S4)"
Agrostis perennans,Agrostis perennans,Agrostis perennans,2,Y,N,,Y,G5,N5,,2,0,3,2,1,2,0,2,2,0,Davidson 1995,,Bentgrass,,Agrostis,NA,NA,Agrostis perennans (Walter) Tuck.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CA(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S4), IL(S4), IN(S5), KS(S2), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5)","NB(S5), NF(S2), NS(S4S5), ON(S4?), PE(S3), QC(S3S4)"
Agrostis scabra,Agrostis scabra,Agrostis scabra,2,Y,N,,Y,G5,NNR,,1,0,15,1,14,1,0,3,1,2,Davidson 1995,,Bentgrass,,Agrostis,NA,NA,Agrostis scabra Willd.,,,,Y,Forage and Feed,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GS(P2), IA(SNR), ID(SNR), IL(S3S4), IN(S3?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S3), MO(S1), MT(S4S5), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NN(SNR), NV(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S3?), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR)","AB(S5), BC(SNR), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(SNR), PE(SNR), QC(S5?), SK(SNR), YT(SNR)"
Allium acuminatum,Allium acuminatum,Allium acuminatum,1,Y,Y,,Y,G5,N5,,2,2,29,0,29,1,1,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Onions, Garlic, Leeks",,Allium,NA,NA,Allium acuminatum Hook.,,,Hooker's onion; blubs,Y,Forage and Feed,,NA,Vegetables,,,NA,Assume distant,1C,,,,,,,,,,,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S2S3), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S5)
Allium amplectens,Allium amplectens,Allium amplectens,1,Y,Y,,Y,G4,N3,,1,1,6,0,6,1,1,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Onions, Garlic, Leeks",,Allium,NA,NA,Allium amplectens Torr.,,,slim leaf onion; blubs and greens,Y,Forage and Feed,,NA,Vegetables,,,NA,Assume distant,1C,,,,,,,,,,,"CA(SNR), OR(SNR), WA(SNR)",BC(S3)
