TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Hedysarum boreale subsp. mackenziei,Hedysarum boreale subsp. mackenziei,Hedysarum boreale,2,Y,Y,Y,Y,T5,N5,,1,0,27,1,26,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,Sainfoin,,Hedysarum,subsp.,mackenziei,Hedysarum boreale subsp. mackenziei (Richardson) S.L.Welsh,,,northern hedysarum,Y,Food,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"AK(SNR), MT(SNR), OR(SNR)","AB(SNR), BC(S4S5), MB(S3), NF(S1), NT(SNR), NU(SU), ON(S5), QC(S4), SK(S4), YT(S5)"
Hedysarum occidentale,Hedysarum occidentale,Hedysarum occidentale,2,Y,N,,Y,G5,N4,,0,0,1,0,1,0,0,0,0,0,Davidson 1995,,Sainfoin,,Hedysarum,NA,NA,Hedysarum occidentale Greene,,,,Y,Food,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"CO(SNR), ID(SNR), MT(S4S5), OR(SNR), UT(S2?), WA(S2), WY(S4)",BC(S4)
Hedysarum sulphurescens,Hedysarum sulphurescens,Hedysarum sulphurescens,2,Y,N,,Y,G5,N5,,1,0,1,1,0,1,0,1,1,0,Davidson 1995,,Sainfoin,,Hedysarum,NA,NA,Hedysarum sulphurescens Rydb.,,,,Y,Food,,NA,Forage and Feed,,,NA,NA,2,,,,,,,,,,,"ID(SNR), MT(SNR), WA(SNR), WY(S3)","AB(S5), BC(S5)"
Helianthus annuus,Helianthus annuus,Helianthus annuus,1,Y,Y,,Y,G5,N4,,487,2,4295,485,3810,0,0,24,0,24,GRIN-Global 2021,Kuhnlein and Turner 2020,Sunflower,,Helianthus,NA,NA,Helianthus annuus L.,,,sunflower; seeds,N,Food,,NA,Oils,Vegetables,,NA,Primary,1A,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,Early Maturity (P),"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNA), DE(SNA), FL(SNR), GA(SNR), HI(SNA), IA(S5), ID(SNR), IL(SNA), IN(SNR), KS(SNR), KY(SNA), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(SNA), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(SNA), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNA), WY(S5)","AB(S4), BC(SNA), MB(S3), NB(SNA), NS(SNA), NT(SNA), ON(SNA), PE(SNA), QC(SNA), SK(S4)"
Helianthus decapetalus,Helianthus decapetalus,Helianthus decapetalus,1,Y,N,,Y,G5,N4,,1,1,29,0,29,0,0,2,0,2,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus decapetalus L.,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),,,,,"AL(SNR), CT(SNR), DC(SNR), DE(S3), GA(S4), GS(P3), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SH), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SU), MS(SNR), NC(S4), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S1), ON(S4), QC(S3)"
Helianthus divaricatus,Helianthus divaricatus,Helianthus divaricatus,1,Y,N,,Y,G5,N5,,6,6,25,0,25,5,5,0,0,0,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus divaricatus L.,,,,Y,Food,,Food,Oils,Vegetables,,Vegetables,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Growth Habit (AG),,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S1), FL(SNR), GA(SNR), GS(P2), IA(S3), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(S1), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","ON(S5), QC(S3)"
Helianthus giganteus,Helianthus giganteus,Helianthus giganteus,1,Y,Y,,Y,G5,N5,,1,1,27,0,27,0,0,2,0,2,GRIN-Global 2021,Kuhnlein and Turner 2020,Sunflower,,Helianthus,NA,NA,Helianthus giganteus L.,,,sunflower; seeds,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),Growth Habit (AG),,Early Maturity (P),"CT(SNR), DC(SNR), DE(S4), GA(S2S3), IA(S3), IL(S1), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MS(SNR), NC(S4), NJ(S5), NY(S4), OH(SNR), PA(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4)","MB(S3), NB(SNA), NF(SNA), NS(SNA), ON(S5), QC(SNA)"
Helianthus hirsutus,Helianthus hirsutus,Helianthus hirsutus,1,Y,N,,Y,G5,NNA,,0,0,14,0,14,0,0,0,0,0,GRIN-Global 2021,,Sunflower,Jerusalem-artichoke,Helianthus,NA,NA,Helianthus hirsutus Raf.,,"note, close genetic relationship (Category A) is for close relationship to jerusalem-artichoke (Helianthus tuberosus) and NOT to oil-seed sunflower, Helianthus annuus",,N,Food,,Food,Oils,Vegetables,,Oils,Progenitor,1A,,Drought Resistance (AB),,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,"AL(SNR), AR(SNR), CT(SNR), FL(SNR), GA(SNR), IA(S3), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MD(S1), MI(S3), MN(SNR), MO(SNR), MS(SNR), NC(S3?), NE(S5), NY(SNA), OH(SNR), OK(SNR), PA(SU), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S3), WI(SNR), WV(S4)",ON(SNA)
Helianthus laetiflorus,Helianthus laetiflorus,Helianthus laetiflorus,1,Y,N,,Y,GNA,NNA,,1,0,12,1,11,0,0,0,0,0,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus ◊laetiflorus Persoon,,,,N,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,"AL(SNA), CT(SNA), GA(SNR), IA(SNA), IL(SNA), IN(SNA), KS(S2), MA(SNR), MD(SNA), ME(SNA), MI(SNA), MN(SNA), MO(SNA), NC(SNA), NE(SNA), NH(SNA), NJ(SNA), NM(SNA), NY(SNA), OH(SNA), OK(SNA), OR(SNA), PA(SNA), RI(SNA), SC(SNA), TN(SNA), TX(SNA), VA(SNA), VT(SNA), WI(SNA), WV(S4)","AB(SNA), NB(SNA), NF(SNA), NS(SNA), ON(SNA), PE(SNA), QC(SNA)"
Helianthus maximiliani,Helianthus maximiliani,Helianthus maximiliani,1,Y,N,,Y,G5,N5,,2,0,77,2,75,0,0,13,0,13,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus maximiliani Schrad.,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),,,,,"AL(SNR), AR(SNR), CA(SNR), CO(SNR), CT(SNR), IA(S4), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNA), MA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MS(SNR), MT(S4), NC(SNA), ND(SNR), NE(SNR), NJ(SNA), NM(SNR), NY(SNA), OH(SNR), OK(SNR), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNA), WA(SNR), WI(SNR), WV(SNA), WY(S2)","AB(SU), BC(SNA), MB(S5), ON(SNA), PE(SNA), QC(SNA), SK(S5)"
Helianthus nuttallii,Helianthus nuttallii,Helianthus nuttallii,1,Y,N,Y,N,G5,N5,,0,0,22,0,22,0,0,11,0,11,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus nuttallii Torr. & A.Gray,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,Early Maturity (P),"AZ(SNR), CA(SNR), CO(SNR), IA(SNR), ID(SNR), KS(SNR), MN(S3), MO(SNR), MT(S4), ND(SNR), NE(SNR), NM(SNR), NV(SNR), OK(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S3S4)","AB(S5), BC(SU), MB(S4S5), ON(SNA), QC(SNA), SK(S4)"
Helianthus nuttallii subsp. rydbergii,Helianthus nuttallii subsp. rydbergii,Helianthus nuttallii,1,Y,N,Y,Y,T5,N4,,0,0,22,0,22,0,0,11,0,11,GRIN-Global 2021,,Sunflower,,Helianthus,subsp.,rydbergii,Helianthus nuttallii subsp. rydbergii (Britton) R.W.Long,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,,,,,,,,"CO(SNR), IA(SNR), KS(SNR), MN(S3), MT(SNR), ND(SNR), NE(SNR), SD(SNR)","AB(SU), BC(SU), MB(S2), ON(SNA), SK(S4)"
Helianthus pauciflorus,Helianthus pauciflorus,Helianthus pauciflorus,1,Y,N,Y,N,G5,N4,,3,1,51,2,49,0,0,5,0,5,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus pauciflorus Nutt.,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,"AR(SNR), CO(SNR), CT(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), ME(SNR), MI(S4), MN(SNR), MO(SNR), MT(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NY(SNR), OK(SNR), PA(SNR), RI(SNR), SD(SNR), TX(SNR), VA(SNA), VT(SNR), WI(SNR), WY(S3)","AB(S3), BC(SNA), MB(S3S4), ON(S2S3), ON(S2S3), QC(SNR), SK(S4), YT(SNA)"
Helianthus pauciflorus subsp. pauciflorus,Helianthus pauciflorus subsp. pauciflorus,Helianthus pauciflorus,1,Y,N,Y,Y,T5,NU,,3,1,51,2,49,0,0,0,0,0,GRIN-Global 2021,,Sunflower,,Helianthus,subsp.,pauciflorus,Helianthus pauciflorus subsp. pauciflorus,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,Disease Resistance (B),,,Crop Quality (AG),,,Early Maturity (P),"AR(S1), CT(SNR), GA(SNR), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), ME(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNA), NY(SNR), OK(SNR), RI(SNR), SD(SNR), TX(SNR), VA(SNA), VT(SNR), WI(SNR)","AB(SU), MB(SU), ON(SNA)"
Helianthus pauciflorus subsp. subrhomboideus,Helianthus pauciflorus subsp. subrhomboideus,Helianthus pauciflorus,1,Y,N,Y,Y,T5,N4,,3,1,51,2,49,0,0,5,0,5,GRIN-Global 2021,,Sunflower,,Helianthus,subsp.,subrhomboideus,Helianthus pauciflorus subsp. subrhomboideus (Rydb.) O.Spring & E.E.Schill.,,,,Y,Food,,NA,Oils,Vegetables,,NA,Tertiary,1C,,,,,,Cytoplasmic Male Sterility (F),,,,,"CO(SNR), CT(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NM(SNR), NY(SNR), PA(SNR), SD(SNR), TX(SNR), WI(SNR), WY(S3)","AB(SU), BC(SNA), MB(S3S4), ON(S2S3), QC(S3), SK(S4), YT(SNA)"
Helianthus petiolaris,Helianthus petiolaris,Helianthus petiolaris,1,Y,N,Y,N,G5,N4,,2,1,163,1,162,0,0,7,0,7,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus petiolaris Nutt.,,,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary,1B,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,"AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), IA(S4), ID(SNR), IL(SNA), IN(SNR), KS(SNR), LA(SNR), MA(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MT(S4), NC(SNA), ND(SNR), NE(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S4)","AB(S3), MB(S3), ON(SNA), SK(S4)"
Helianthus petiolaris subsp. petiolaris,Helianthus petiolaris subsp. petiolaris,Helianthus petiolaris,1,Y,N,Y,Y,T5,N5,,2,1,163,1,162,0,0,7,0,7,GRIN-Global 2021,,Sunflower,,Helianthus,subsp.,petiolaris,Helianthus petiolaris subsp. petiolaris,,,,Y,Food,,NA,Oils,Vegetables,,NA,Secondary,1B,,,,Disease Resistance (B),,,,,,,"AR(SNR), CA(SNR), CO(SNR), CT(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNA), LA(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNA), ND(SNR), NE(SNR), NJ(SNA), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TX(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S4)","AB(S3), MB(S3), ON(SNA), SK(S4)"
Helianthus strumosus,Helianthus strumosus,Helianthus strumosus,1,Y,N,,Y,G5,N5,,1,1,29,0,29,0,0,0,0,0,GRIN-Global 2021,,Sunflower,,Helianthus,NA,NA,Helianthus strumosus L.,,,,Y,Food,,Food,Oils,Vegetables,,Oils,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SH), FL(SNR), GA(SNR), IA(S5), IL(SNR), IN(SNR), KS(S2), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNA), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S2S3), WI(SNR), WV(S5)","ON(S5), QC(S2?)"
Helianthus tuberosus,Helianthus tuberosus,Helianthus tuberosus,1,Y,Y,,Y,G5,N3,,4,0,95,4,91,0,0,3,0,3,GRIN-Global 2021,Kuhnlein and Turner 2020,Sunflower,Jerusalem-artichoke,Helianthus,NA,NA,Helianthus tuberosus L.,,jerusalem artichoke; tubers,,Y,Food,,Food,Oils,Vegetables,,Oils,Progenitor,1A,,Drought Resistance (AB),,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),Growth Habit (AG),,,"AL(SNR), AR(SNR), CO(SNA), CT(SNR), DC(SNR), DE(SNA), FL(SNR), GA(SNR), GS(P1), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNA), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), OK(SNR), PA(SNA), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S1?)","BC(SNA), MB(S3S4), NB(SNA), NS(SNA), ON(SU), ON(SU), PE(SNA), QC(SNA), SK(S2)"
Heracleum sphondylium,Heracleum sphondylium,Heracleum maximum,NA,N,Y,,Y,G5,N5,,0,0,27,0,27,0,0,2,0,2,Kuhnlein and Turner 2020,,Cow-parsnip,,Heracleum,NA,NA,Heracleum sphondylium L.,,,,Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(S3), GA(S1), GS(P2), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(S1), KY(SH), MA(SNR), MD(S3), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S4), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NV(SNR), NY(S4), OH(SNR), OR(SNR), PA(S4), RI(SNR), SD(SNR), TN(S2), TV(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S4)","AB(S5), BC(S5), LB(S3S4), MB(S4S5), NB(S5), NF(S5), NS(S5), NT(S4), ON(S5), PE(S4), QC(S5), SK(S4), YT(S4)"
Heuchera chlorantha,Heuchera chlorantha,Heuchera chlorantha,NA,N,Y,,Y,G4,N4,,0,0,0,0,0,0,0,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Heuchera,,Heuchera,NA,NA,Heuchera chlorantha Piper,,,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(S4)
Holodiscus discolor var. discolor,Holodiscus discolor,Holodiscus discolor,NA,N,Y,Y,N,G5,N5,,16,16,21,0,21,4,4,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Oceanspray,,Holodiscus,NA,NA,Holodiscus discolor (Pursh) Maxim.,,,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S5)
Holodiscus discolor var. discolor,Holodiscus discolor var. discolor,Holodiscus discolor,NA,N,Y,Y,Y,G5,N5,,16,16,21,0,21,4,4,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Oceanspray,,Holodiscus,var.,discolor,Holodiscus discolor var. discolor,,,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,,,,,,,,,,,"AZ(SNR), CA(SNR), ID(SNR), MT(S5), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(SNR)",BC(S5)
Honckenya peploides,Honckenya peploides,Honckenya peploides,NA,N,Y,N,N,G5,N5,,0,0,5,0,5,0,0,2,0,2,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Sea-sandwort,,Honckenya,NA,NA,Honckenya peploides (L.) Ehrh.,,,,Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"AK(SNR), CT(S3), DE(SH), MA(SNR), MD(S1), ME(SNR), NH(SNR), NJ(SNR), NY(SNR), OR(SNR), RI(SNR), SD(SNR), VA(SH), WA(SNR)","BC(S5), LB(S4S5), MB(S2?), NB(S4), NF(S5), NS(S5), NT(SNR), NU(SU), ON(S4), PE(S2S3), QC(SNR), YT(S3)"
Honckenya peploides subsp. diffusa,Honckenya peploides subsp. diffusa,Honckenya peploides,NA,N,Y,N,Y,T5,N4,,0,0,5,0,5,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Sea-sandwort,,Honckenya,subsp.,diffusa,Honckenya peploides subsp. diffusa (Hornem.) Hult√©n ex V.V.Petrovsky,,,,Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,AK(SNR),"LB(S3), MB(S2?), NF(SNR), NT(SNR), NU(SNR), ON(S4), QC(S4), YT(S3)"
Honckenya peploides subsp. major,Honckenya peploides subsp. major,Honckenya peploides,NA,N,Y,N,Y,T5,N5,,0,0,5,0,5,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Sea-sandwort,,Honckenya,subsp.,major,Honckenya peploides subsp. major (Hook.) Hult√©n,,,,Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"AK(SNR), OR(SNR), WA(SNR)",BC(S5)
Honckenya peploides subsp. robusta,Honckenya peploides subsp. robusta,Honckenya peploides,NA,N,Y,N,Y,T5,N5,,0,0,5,0,5,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Sea-sandwort,,Honckenya,subsp.,robusta,Honckenya peploides subsp. robusta (Fernald) Hult√©n,,,,Y,Food,,NA,Vegetables,,,NA,NA,NA,,,,,,,,,,,"CT(SNR), DE(SH), MA(SNR), MD(SNR), ME(SNR), NH(SX), NJ(S1), NY(S3), RI(S2), SD(SNR), VA(SH)","LB(S3), NB(S4), NF(S5), NS(S5), NU(SNR), PE(S2S3), QC(S3S4)"
Hordeum brachyantherum subsp. brachyantherum,Hordeum brachyantherum,Hordeum brachyantherum,1,Y,N,Y,N,G5,N5,,72,0,93,72,21,4,0,4,4,0,GRIN-Global 2021,,Barley,,Hordeum,NA,NA,Hordeum brachyantherum Nevski,,,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), DE(SNA), GA(SNR), ID(SNR), IL(SNA), IN(SNR), ME(SNR), MO(SNR), MS(SNR), MT(S4), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNA), OR(SNR), PA(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S3), BC(S5), LB(S1S2), NF(S2), NS(S1), QC(SNR), SK(S1), YT(SNA)"
Hordeum brachyantherum subsp. brachyantherum,Hordeum brachyantherum subsp. brachyantherum,Hordeum brachyantherum,1,Y,N,Y,Y,T5,N5,,72,0,93,72,21,4,0,4,4,0,GRIN-Global 2021,,Barley,,Hordeum,subsp.,brachyantherum,Hordeum brachyantherum Nevski,,,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNA), DE(SNA), HI(SNR), ID(SNR), IL(SNR), IN(SNR), ME(SNR), MO(SNR), MS(SNR), MT(SNR), NH(SNR), NJ(SNA), NM(SNR), NV(SNR), NY(SNR), OR(SNR), PA(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S3), BC(S5), LB(S1S2), NF(S2), NS(S1), QC(S1), SK(S1), YT(SNA)"
Hordeum depressum,Hordeum depressum,Hordeum depressum,1,Y,N,,Y,G5,NNA,,0,0,0,0,0,0,0,0,0,0,GRIN-Global 2021,,Barley,,Hordeum,NA,NA,Hordeum depressum (Scribn. & J.G.Sm.) Rydb.,,,,N,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C,,,,,,,,,,,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(SNA)
Hordeum jubatum,Hordeum jubatum,Hordeum jubatum,1,Y,Y,N,N,G5,N5,,0,0,26,0,26,0,0,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,Barley,,Hordeum,NA,NA,Hordeum jubatum L.,,,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNA), IA(S5), ID(SNR), IL(S4S5), IN(SNR), KS(SNR), KY(SNA), MA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(SNR), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(SNA), WY(S5)","AB(S5), BC(S5), LB(S2S3), MB(S5), NB(S5), NF(S2S3), NS(S5), NT(S4), NU(S4), ON(S5?), ON(S5?), PE(S4), QC(SNR), SK(S5), YT(S5)"
Hordeum jubatum subsp. intermedium,Hordeum jubatum subsp. intermedium,Hordeum jubatum,1,Y,Y,N,Y,T5,N5,,0,0,26,0,26,NA,NA,NA,NA,NA,GRIN-Global 2021,Kuhnlein and Turner 2020,Barley,,Hordeum,subsp.,intermedium,Hordeum jubatum subsp. intermedium Bowden,,,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C,,,,,,,,,,,"CO(SNR), IL(SNR), MT(SNR), ND(SNR), NM(SNR), SD(SNR), UT(SNR), WY(SNR)","AB(SNR), BC(SU), MB(SNR), ON(SNA), QC(SNR), SK(S5), YT(SU)"
