"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"185","Carya glabra","y","y",NA,"Pecan, Hickory","Y","Y","Y","pignut hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Carya","Carya glabra",NA,NA
"186","Carya laciniosa","y","y",NA,"Pecan, Hickory","Y","Y","N","","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Carya","Carya laciniosa",NA,NA
"187","Carya ovalis","y","y",NA,"Pecan, Hickory","Y","Y","Y","false shagbark hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Carya","Carya ovalis",NA,NA
"188","Carya ovata","y","y",NA,"Pecan, Hickory","N","Y","Y","shagbark hickory; nuts","Y","Food","Materials",NA,"Nuts","Materials","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Carya","Carya ovata",NA,NA
"189","Castanea dentata","y","y",NA,"Chestnut","Y","Y","Y","american chestnut'; nuts","Y","Food","Ornamentals",NA,"Nuts","Ornamentals","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Castanea","Castanea dentata",NA,NA
"190","Celtis occidentalis","y","y",NA,"Hackberry","Y","Y","Y","hackberry; fruit","Y","Ornamentals","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,2,NA,"2","Graftstock","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Celtis","Celtis occidentalis",NA,NA
"191","Chamaenerion angustifolium","y","y",NA,"Fireweed","N","N","Y","greens food; honey plant","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Chamaenerion","Chamaenerion angustifolium",NA,NA
"192","Chamaenerion angustifolium subsp. angustifolium","y","y",NA,"Fireweed","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Chamaenerion","Chamaenerion angustifolium","subsp.","angustifolium"
"193","Chamaenerion angustifolium subsp. circumvagum","y","y",NA,"Fireweed","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Chamaenerion","Chamaenerion angustifolium","subsp.","circumvagum"
"194","Chenopodiastrum simplex","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Chenopodiastrum","Chenopodiastrum simplex",NA,NA
"195","Chenopodium berlandieri","y","y",NA,"Quinoa","N","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Chenopodium","Chenopodium berlandieri",NA,NA
"196","Chenopodium berlandieri var. bushianum","y","y",NA,"Quinoa","Y","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Chenopodium","Chenopodium berlandieri","var.","bushianum"
"197","Chenopodium berlandieri var. macrocalycium","y","y",NA,"Quinoa","Y","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Chenopodium","Chenopodium berlandieri","var.","macrocalycium"
"198","Chenopodium berlandieri var. zschackei","y","y",NA,"Quinoa","Y","Y","Y","lambsquarters; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Chenopodium","Chenopodium berlandieri","var.","zschackei"
"199","Chenopodium desiccatum","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Chenopodium","Chenopodium desiccatum",NA,NA
"200","Chenopodium fremontii","y","y",NA,"Quinoa","Y","Y","Y","fremont's goosefoot; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Chenopodium","Chenopodium fremontii",NA,NA
"201","Chenopodium hians","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Chenopodium","Chenopodium hians",NA,NA
"202","Chenopodium leptophyllum","y","y",NA,"Quinoa","Y","Y","Y","narrow leaved goosefoot; greens and seeds","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Chenopodium","Chenopodium leptophyllum",NA,NA
"203","Chenopodium watsonii","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Chenopodium","Chenopodium watsonii",NA,NA
"204","Claytonia caroliniana","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia caroliniana",NA,NA
"205","Claytonia lanceolata","y","y",NA,"Spring-beauty","Y","N","Y","greens, very important","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia lanceolata",NA,NA
"206","Claytonia megarhiza","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia megarhiza",NA,NA
"207","Claytonia perfoliata","y","y",NA,"Spring-beauty","N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia perfoliata",NA,NA
"208","Claytonia perfoliata subsp. intermontana","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia perfoliata","subsp.","intermontana"
"209","Claytonia perfoliata subsp. perfoliata","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia perfoliata","subsp.","perfoliata"
"210","Claytonia sibirica","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia sibirica",NA,NA
"211","Claytonia virginica","y","y",NA,"Spring-beauty","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Claytonia","Claytonia virginica",NA,NA
"212","Coleataenia longifolia","y","y",NA,"Proso-millet","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Coleataenia","Coleataenia longifolia",NA,NA
"213","Coleataenia longifolia subsp. longifolia","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Coleataenia","Coleataenia longifolia","subsp.","longifolia"
"214","Comarum palustre","y","y",NA,"Strawberry","Y","Y","Y","wild strawberry'","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020","Comarum","Comarum palustre",NA,NA
"215","Conioselinum gmelinii","y","y",NA,"Hemlock-parsley","Y","N","Y","wild carrot","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Conioselinum","Conioselinum gmelinii",NA,NA
"216","Cornus amomum","y","y",NA,"Dogwood","N","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus amomum",NA,NA
"217","Cornus amomum subsp. obliqua","y","y",NA,"Dogwood","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus amomum","subsp.","obliqua"
"218","Cornus canadensis","y","y",NA,"Dogwood","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus canadensis",NA,NA
"219","Cornus sericea","y","y",NA,"Dogwood","N","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus sericea",NA,NA
"220","Cornus sericea subsp. occidentalis","y","y",NA,"Dogwood","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus sericea","subsp.","occidentalis"
"221","Cornus sericea subsp. sericea","y","y",NA,"Dogwood","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus sericea","subsp.","sericea"
"222","Cornus suecica","y","y",NA,"Dogwood","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus suecica",NA,NA
"223","Cornus unalaschkensis","y","y",NA,"Dogwood","Y","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus","Cornus unalaschkensis",NA,NA
"224","Corylus americana","y","y",NA,"Filbert","Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Corylus","Corylus americana",NA,NA
"225","Corylus cornuta","y","y",NA,"Filbert","Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Tertiary","1C","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Corylus","Corylus cornuta",NA,NA
"226","Corylus californica","y","y",NA,"Filbert","Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Corylus","Corylus californica",NA,NA
"227","Crataegus douglasii","y","y",NA,"Hawthorn","Y","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Crataegus","Crataegus douglasii",NA,NA
"228","Crataegus macracantha","y","y",NA,"Hawthorn","Y","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Crataegus","Crataegus macracantha",NA,NA
"229","Dasiphora fruticosa","y","y",NA,"Strawberry","Y","Y","N","","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Dasiphora","Dasiphora fruticosa",NA,NA
"230","Daucus pusillus","y","y",NA,"Carrot","Y","Y","Y","american wild carrot; roots","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Daucus","Daucus pusillus",NA,NA
"231","Dicentra formosa","y","y",NA,"Bleeding-Heart","Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","","","Dicentra","Dicentra formosa",NA,NA
"232","Dioscorea villosa","y","y",NA,"Yam","Y","Y","Y","wild yam, atlantci yam; roots","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Dioscorea","Dioscorea villosa",NA,NA
"233","Drymocallis glandulosa","y","y",NA,"Strawberry","N","Y","N","","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Drymocallis","Drymocallis glandulosa",NA,NA
"234","Drymocallis glandulosa var. glandulosa","y","y",NA,"Strawberry","Y","Y","N","","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Drymocallis","Drymocallis glandulosa","var.","glandulosa"
"235","Elymus alaskanus","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus alaskanus",NA,NA
"236","Elymus alaskanus subsp. alaskanus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus alaskanus","subsp.","alaskanus"
"237","Elymus albicans","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus albicans",NA,NA
"238","Elymus canadensis","y","y",NA,"Wheat","N","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Elymus","Elymus canadensis",NA,NA
"239","Elymus canadensis var. canadensis","y","y",NA,"Wheat","Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Elymus","Elymus canadensis","var.","canadensis"
"240","Elymus curvatus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus curvatus",NA,NA
"241","Elymus elymoides","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus elymoides",NA,NA
"242","Elymus elymoides subsp. californicus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus elymoides","subsp.","californicus"
"243","Elymus elymoides subsp. elymoides","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus elymoides","subsp.","elymoides"
"244","Elymus glaucus","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus glaucus",NA,NA
"245","Elymus glaucus subsp. glaucus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus glaucus","subsp.","glaucus"
"246","Elymus glaucus subsp. virescens","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus glaucus","subsp.","virescens"
"247","Elymus hirsutus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus hirsutus",NA,NA
"248","Elymus hystrix","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus hystrix",NA,NA
"249","Elymus lanceolatus","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus lanceolatus",NA,NA
"250","Elymus lanceolatus subsp. lanceolatus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus lanceolatus","subsp.","lanceolatus"
"251","Elymus lanceolatus subsp. psammophilus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus lanceolatus","subsp.","psammophilus"
"252","Elymus macrourus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus macrourus",NA,NA
"253","Elymus riparius","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus riparius",NA,NA
"254","Elymus scribneri","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus scribneri",NA,NA
"255","Elymus sibiricus","y","y",NA,"Wheat","Y","Y","N","","N","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Elymus","Elymus sibiricus",NA,NA
"256","Pascopyrum smithii","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Pascopyrum","Pascopyrum smithii",NA,NA
"257","Pseudoroegneria spicata","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Pseudoroegneria","Pseudoroegneria spicata",NA,NA
"258","Elymus villosus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Elymus","Elymus villosus",NA,NA
"259","Elymus violaceus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus violaceus",NA,NA
"260","Elymus virginicus","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus virginicus",NA,NA
"261","Elymus virginicus var. halophilus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus virginicus","var.","halophilus"
"262","Elymus virginicus var. intermedius","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus virginicus","var.","intermedius"
"263","Elymus virginicus var. virginicus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Elymus","Elymus virginicus","var.","virginicus"
"264","Empetrum nigrum","y","y",NA,"Crowberry","N","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Empetrum","Empetrum nigrum",NA,NA
"265","Empetrum nigrum subsp. hermaphroditum","y","y",NA,"Crowberry","Y","N","Y","","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Empetrum","Empetrum nigrum","subsp.","hermaphroditum"
"266","Empetrum nigrum subsp. nigrum","y","y",NA,"Crowberry","Y","N","Y","","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Empetrum","Empetrum nigrum","subsp.","nigrum"
"267","Erythronium americanum","y","y",NA,"Fawn-Lily","N","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Erythronium","Erythronium americanum",NA,NA
"268","Erythronium americanum subsp. americanum","y","y",NA,"Fawn-Lily","Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Erythronium","Erythronium americanum","subsp.","americanum"
"269","Erythronium grandiflorum","y","y",NA,"Fawn-Lily","N","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Erythronium","Erythronium grandiflorum",NA,NA
"270","Erythronium grandiflorum subsp. grandiflorum","y","y",NA,"Fawn-Lily","Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Erythronium","Erythronium grandiflorum","subsp.","grandiflorum"
"271","Erythronium oregonum","y","y",NA,"Fawn-Lily","Y","Y","N","bulbs","Y","Food","Ornamentals",NA,"Vegetables","Ornamentals","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Erythronium","Erythronium oregonum",NA,NA
"272","Erythronium revolutum","y","y",NA,"Fawn-Lily","Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Erythronium","Erythronium revolutum",NA,NA
"273","Fagus grandifolia","y","y",NA,"Beech","Y","Y","Y","beechnut; nuts","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Fagus","Fagus grandifolia",NA,NA
"274","Festuca altaica","y","y",NA,"Fescue","Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Festuca","Festuca altaica",NA,NA
"275","Festuca occidentalis","y","y",NA,"Fescue","Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Festuca","Festuca occidentalis",NA,NA
"276","Festuca rubra","y","y",NA,"Fescue","N","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Festuca","Festuca rubra",NA,NA
"277","Festuca rubra subsp. arctica","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Festuca","Festuca rubra","subsp.","arctica"
"278","Festuca rubra subsp. aucta","y","y",NA,"Fescue","Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Festuca","Festuca rubra","subsp.","aucta"
"279","Festuca rubra subsp. commutata","y","y",NA,"Fescue","Y","Y","N","","N","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Festuca","Festuca rubra","subsp.","commutata"
