PRIMARY_ASSOCIATED_CROP_COMMON_NAME,TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
Sugar Maple,Acer pensylvanicum,Acer,Acer pensylvanicum,NA,NA,G5,N5,"CT(SNR), GA(S3S4), GS(P5), KY(S3S4), MA(SNR), MD(SNR), ME(SNR), MI(SNR), NC(S4), NH(SNR), NJ(S4), NY(S5), OH(S2), PA(S5), RI(S1), SC(S2), TN(SNR), VA(S5), VT(SNR), WI(S1), WV(S4)","NB(S5), NS(S5), ON(S4), PE(S5), QC(S5)",,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sugar Maple,Acer rubrum,Acer,Acer rubrum,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(PNR), IA(SU), IL(SNR), IN(S5), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","BC(SNA), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5)",,N,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sugar Maple,Acer rubrum var. rubrum,Acer,Acer rubrum,var.,rubrum,T5,NU,"AL(SNR), AR(SNR), CT(SNR), DE(S5), GA(S5), GS(P5), IA(SNR), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","BC(SNA), NB(SNR), NS(SNR), ON(SU), PE(SNR), QC(SNR)",,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sugar Maple,Acer rubrum var. trilobum,Acer,Acer rubrum,var.,trilobum,T5,NU,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), GS(P1P2), IL(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(S3S4), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5?), VT(SNR), WV(S3)","NB(SNR), NS(SNR), ON(SU), QC(SNR)",,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sugar Maple,Acer saccharinum,Acer,Acer saccharinum,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S3S4), GS(P1), IA(S5), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S4), NS(S1), ON(S5), QC(S3S4), SK(SNA)",,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Sugar Maple,Acer saccharum,Acer,Acer saccharum,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(SNA), DE(S4), GA(S3), GS(P5), IA(S5), IL(SNR), IN(S5), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(S5), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SH), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(S4), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S5), NS(S4S5), ON(S5), PE(S4), QC(S5)",,Y,Y,Y,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Progenitor,1A,,,,,,,,,,,Davidson 1995,GRIN-Global 2021,Kuhnlein and Turner 2020
Sugar Maple,Acer spicatum,Acer,Acer spicatum,NA,NA,G5,N5,"CT(SNR), GA(S2), GS(P4), IA(S2), KY(S1S2), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S3), NH(SNR), NJ(S4), NY(S4S5), OH(SNR), PA(S5), RI(S1), TN(SNR), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4)","LB(S2), MB(S5), NB(S5), NF(S5), NS(S5), ON(S5), PE(S5), QC(S5), SK(S4)",,Y,Y,Y,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Yarrow,Achillea millefolium,Achillea,Achillea millefolium,NA,NA,T5,NNA,"CA(SNA), FL(SNR), ID(SNA), IL(SNA), KS(SNA), KY(SNA), MA(SNR), ME(SNA), MI(SNA), MN(SNA), MO(SNA), NJ(SNA), NY(SNA), OR(SNA), PA(SNA), RI(SNA), VT(SNA), WA(SNA), WI(SNA)","AB(SNA), BC(SNA), MB(SNA), NB(SNA), NF(SNA), NS(SNA), ON(SNA), QC(SNA), SK(SNA)",,Y,N,Y,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Trefoil,Acmispon americanus,Acmispon,Acmispon americanus,NA,NA,G5,N4,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), GA(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), LA(SNR), MA(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), SC(SNR), SD(SNR), TX(SNR), VA(S1), WA(SNR), WI(SNR), WY(S2S3)","BC(S4), MB(S2S3), SK(S3)",,N,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Trefoil,Acmispon americanus var. americanus,Acmispon,Acmispon americanus,var.,americanus,T5,N4,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CT(SNR), IA(SNR), ID(SNR), IL(SNA), IN(SNR), KS(SNR), LA(S2), MA(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), SD(SNR), TX(SNR), WA(SNR), WI(SNR), WY(SNR)","BC(S4), MB(S2S3), SK(S3)",,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Trefoil,Acmispon denticulatus,Acmispon,Acmispon denticulatus,NA,NA,G5,N4,"CA(SNR), ID(SNR), NV(S2), OR(SNR), UT(SNR), WA(SNR)",BC(S4S5),,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Trefoil,Acmispon parviflorus,Acmispon,Acmispon parviflorus,NA,NA,G5,N4,"CA(SNR), OR(SNR), WA(SNR)",BC(S4S5),,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Hyssop,Agastache foeniculum,Agastache,Agastache foeniculum,NA,NA,G5,N5,"CO(S2), CT(SNA), DE(SNA), IA(S1), IL(SNR), KY(SNA), MI(SNA), MN(SNR), MT(SU), ND(SNR), NE(S1), NH(SNR), NY(SNA), PA(SNR), SD(SNR), WA(SNR), WI(SNR), WY(S2)","AB(S4), BC(SNA), MB(S5), NB(SNA), NT(SNR), ON(S4), ON(S4), QC(SNA), SK(S4)",,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Hyssop,Agastache nepetoides,Agastache,Agastache nepetoides,NA,NA,G5,N4,"AL(S1), AR(SNR), CT(S1), DC(SNR), DE(S2), GA(S1), GS(P1), IA(S4), IL(SNR), IN(S4), KS(SNR), KY(S4?), MA(SNR), MD(SNR), MI(SNR), MN(S1), MO(SNR), NC(S1), NE(SNR), NJ(S2), NY(S2S3), OH(SNR), OK(SNR), PA(SNR), SC(SX), SD(SNR), TN(SNR), TV(SNR), VA(S5), VT(S1), WI(S3), WV(S4)","ON(S4), QC(S1)",,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Hyssop,Agastache urticifolia,Agastache,Agastache urticifolia,NA,NA,G5,N4,"CA(SNR), CO(SNR), ID(SNR), MT(S4S5), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S4),,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Bentgrass,Agrostis exarata,Agrostis,Agrostis exarata,NA,NA,G5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), ID(SNR), KY(SNA), MT(S4S5), ND(S1), NE(SNR), NM(SNR), NN(SNR), NV(SNR), OK(SNR), OR(SNR), SD(SNR), TX(SNR), UT(SNR), VT(SNR), WA(SNR), WY(S3S4)","AB(S3), BC(S5), NT(S3), SK(S3S4), YT(S2S3)",,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Bentgrass,Agrostis hyemalis,Agrostis,Agrostis hyemalis,NA,NA,G5,N1,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P3), IA(S4), IL(S5), IN(S5), KS(SNR), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S1), MO(SNR), MS(SNR), NC(S5), NE(SNR), NH(SNR), NJ(S5), NY(S4S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S4)",ON(S1),,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Bentgrass,Agrostis mertensii,Agrostis,Agrostis mertensii,NA,NA,G5,N5,"AK(SNR), CO(SNR), GS(P1), ME(S2), MT(S3?), NC(S1), NH(S3), NY(S2), TN(S1), TV(SNR), UT(SNR), VT(S1), WA(S1S2), WV(S1), WY(S2)","AB(S2), BC(S5), LB(S4S5), MB(S2S3), NB(S2), NF(S4S5), NT(S4), NU(S4), ON(S2), QC(S5?), SK(SH), YT(S3S4)",,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Bentgrass,Agrostis perennans,Agrostis,Agrostis perennans,NA,NA,G5,N5,"AL(SNR), AR(SNR), CA(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S4), IL(S4), IN(S5), KS(S2), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5)","NB(S5), NF(S2), NS(S4S5), ON(S4?), PE(S3), QC(S3S4)",,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Bentgrass,Agrostis scabra,Agrostis,Agrostis scabra,NA,NA,NA,NA,NA,NA,,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
"Onions, Garlic, Leeks",Allium acuminatum,Allium,Allium acuminatum,NA,NA,G5,N5,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S2S3), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S5),,Y,Y,Y,Hooker's onion; blubs,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium amplectens,Allium,Allium amplectens,NA,NA,G4,N3,"CA(SNR), OR(SNR), WA(SNR)",BC(S3),,Y,Y,Y,slim leaf onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium canadense,Allium,Allium canadense,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S5), GS(P2), IA(SNR), IL(S5), IN(S5), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(S2), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(S1), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(S1), WI(SNR), WV(S5)","NB(S1), ON(S5), QC(SNR)",,N,Y,Y,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium canadense var. canadense,Allium,Allium canadense,var.,canadense,T5,N5,"AL(SNR), AR(SNR), CT(SNR), DE(S4), FL(SNR), GA(S4), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(S1), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(S1), WI(SNR), WV(S5)","NB(S1), ON(S5), QC(S3)",,Y,Y,Y,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium cernuum,Allium,Allium cernuum,NA,NA,G5,NNR,"AL(SNR), AR(SH), AZ(SNR), CO(SNR), DC(SNR), GA(S3S4), IA(S3), ID(SNR), IL(S2S3), IN(S4), KY(S3S4), MD(SNR), MI(SNR), MN(S3), MO(SNR), MS(SNR), MT(S5), NC(S4), NE(S2), NM(SNR), NN(SNR), NY(S2), OH(SNR), OR(SNR), PA(SNR), SC(S2), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), WA(SNR), WI(S4), WV(S4), WY(SNR)","AB(S5), BC(SNR), ON(SNR), SK(SNR)",,Y,Y,Y,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium crenulatum,Allium,Allium crenulatum,NA,NA,G4,N4,"OR(SNR), WA(SNR)",BC(S4),,Y,Y,Y,Olympic onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium geyeri,Allium,Allium geyeri,NA,NA,G4,N4,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S4), NM(SNR), NN(SNR), NV(SNR), OR(SNR), SD(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S3)","AB(S2), BC(S4)",,N,Y,Y,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium geyeri var. tenerum,Allium,Allium geyeri,var.,tenerum,T4,N4,"AZ(SNR), CA(S1), CO(SNR), ID(SNR), MT(S3?), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)","AB(SU), BC(S4)",,Y,Y,Y,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium schoenoprasum,Allium,Allium schoenoprasum,NA,NA,G5,N5,"AK(SNR), CO(S1), CT(SNR), ID(SNR), IL(SNA), IN(SNR), MA(SNR), MD(SNR), ME(SNA), MI(S2), MN(S1), MO(SNR), MT(S4), NH(S1), NV(SNR), NY(S1), OH(SNR), OR(SNR), PA(SNA), RI(SNA), UT(SNR), VA(SNR), VT(S1), VT(S1), WA(SNR), WI(SNR), WY(S4)","AB(S4), BC(S5), LB(SU), MB(S3S4), NB(S4), NF(S2S3), NS(S2), NT(S4), NU(SU), ON(S4), ON(S4), PE(SU), SK(S3), YT(S4)",,N,Y,Y,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium schoenoprasum var. schoenoprasum,Allium,Allium schoenoprasum,var.,schoenoprasum,T5,NNA,"AK(SNA), CT(SNA), ID(SNA), IL(SNA), IN(SNA), MA(SNR), ME(SNA), MI(SNA), OR(SNA), PA(SNA), RI(SNA), VT(SNA), WA(SNA)","NB(SNA), NF(SNA), NS(SNA), ON(SNA), QC(SNA), SK(SNA)",,Y,Y,Y,gathered as 'wild chives',N,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium stellatum,Allium,Allium stellatum,NA,NA,G5,N5,"AL(SNR), AR(S4), GA(S1), IA(S4), IL(S2), IN(SNA), KS(SNR), KY(S2?), MI(SNR), MN(SNR), MO(SNR), ND(SNR), NE(SNR), OH(SNR), OK(SNR), SD(SNR), TV(SNR), TX(SNR), WI(S3)","MB(S5), ON(S4), SK(S4)",,Y,Y,Y,"prairie onion or pink flowered onion, both the bulbs and greens consumed",Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium textile,Allium,Allium textile,NA,NA,G5,N5,"CO(SNR), IA(SNR), ID(SNR), KS(S2), MN(SNR), MT(S4), ND(SNR), NE(SNR), NM(SNR), NV(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S5), MB(S3), SK(S4S5)",,Y,Y,Y,wild onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
"Onions, Garlic, Leeks",Allium tricoccum,Allium,Allium tricoccum,NA,NA,G5,N4,NY(SNR),"MB(SNA), NB(S2), NS(S1), ON(S4), QC(S3)",,N,Y,Y,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
